time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.72905e-05	181.447
1	1.72905e-05	3.75161e-05	181.447
2	3.75161e-05	6.11749e-05	339.875
3	6.11749e-05	8.88499e-05	441.856
4	8.88499e-05	0.000121223	424.663
5	0.000121223	0.000159091	416.341
6	0.000159091	0.000203387	470.993
7	0.000203387	0.000255202	639.391
8	0.000255202	0.000315813	821.208
9	0.000315813	0.000386713	960.511
10	0.000386713	0.000469648	1053.78
11	0.000469648	0.000566661	1119.98
12	0.000566661	0.000680142	1168.9
13	0.000680142	0.000812887	1183.98
14	0.000812887	0.000968165	1150.34
15	0.000968165	0.0011498	1085.88
16	0.0011498	0.00136227	1023.06
17	0.00136227	0.00161081	977.578
18	0.00161081	0.00190153	951.787
19	0.00190153	0.00224161	943.421
20	0.00224161	0.00263941	947.223
21	0.00263941	0.00310474	971.131
22	0.00310474	0.00364906	1038.3
23	0.00364906	0.00428578	1136.11
24	0.00428578	0.00503058	1156.42
25	0.00503058	0.00590181	964.6
26	0.00590181	0.00692093	680.774
27	0.00692093	0.00811305	519.225
28	0.00811305	0.00950753	519.225
29	0.00950753	0.0111387	764.853
30	0.0111387	0.0130468	764.853
31	0.0130468	inf	764.853
