time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.56144e-05	164.282
1	1.56144e-05	3.36355e-05	164.282
2	3.36355e-05	5.44342e-05	338.752
3	5.44342e-05	7.84388e-05	338.752
4	7.84388e-05	0.000106143	446.036
5	0.000106143	0.000138118	425.008
6	0.000138118	0.000175021	429.244
7	0.000175021	0.000217612	523.33
8	0.000217612	0.000266768	686.802
9	0.000266768	0.000323501	844.447
10	0.000323501	0.000388978	970.818
11	0.000388978	0.000464547	1062.06
12	0.000464547	0.000551765	1127.39
13	0.000551765	0.000652425	1175.72
14	0.000652425	0.000768601	1197.39
15	0.000768601	0.000902683	1178.42
16	0.000902683	0.00105743	1127.33
17	0.00105743	0.00123603	1069.51
18	0.00123603	0.00144216	1021.01
19	0.00144216	0.00168007	984.259
20	0.00168007	0.00195464	960.011
21	0.00195464	0.00227153	949.683
22	0.00227153	0.00263726	952.367
23	0.00263726	0.00305937	972.789
24	0.00305937	0.00354654	1024.01
25	0.00354654	0.0041088	1101.85
26	0.0041088	0.00475772	1145.84
27	0.00475772	0.00550667	1054.34
28	0.00550667	0.00637105	848.478
29	0.00637105	0.00736866	765.51
30	0.00736866	0.00852004	765.51
31	0.00852004	0.00984889	765.51
32	0.00984889	0.0113826	151.036
33	0.0113826	0.0131526	151.036
34	0.0131526	inf	151.036
