time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.82115e-05	384.661
1	1.82115e-05	3.95143e-05	384.661
2	3.95143e-05	6.44333e-05	154.903
3	6.44333e-05	9.35823e-05	615.318
4	9.35823e-05	0.000127679	452.373
5	0.000127679	0.000167564	443.643
6	0.000167564	0.00021422	544.559
7	0.00021422	0.000268795	699.546
8	0.000268795	0.000332635	862.521
9	0.000332635	0.000407311	994.294
10	0.000407311	0.000494663	1087.57
11	0.000494663	0.000596844	1141.26
12	0.000596844	0.000716369	1150.34
13	0.000716369	0.000856185	1117.98
14	0.000856185	0.00101973	1060.07
15	0.00101973	0.00121104	995.315
16	0.00121104	0.00143483	937.366
17	0.00143483	0.0016966	891.219
18	0.0016966	0.00200281	849.644
19	0.00200281	0.002361	800.011
20	0.002361	0.00277999	741.316
21	0.00277999	0.00327011	690.334
22	0.00327011	0.00384342	670.053
23	0.00384342	0.00451406	695.444
24	0.00451406	0.00529853	762.182
25	0.00529853	0.00621616	824.502
26	0.00621616	0.00728957	832.926
27	0.00728957	0.00854518	843.984
28	0.00854518	0.0100139	843.984
29	0.0100139	0.011732	1329.75
30	0.011732	0.0137417	1329.75
31	0.0137417	inf	1329.75
