time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.54207e-05	242.603
1	1.54207e-05	3.32183e-05	242.603
2	3.32183e-05	5.37591e-05	467.134
3	5.37591e-05	7.7466e-05	467.134
4	7.7466e-05	0.000104827	626.705
5	0.000104827	0.000136405	504.586
6	0.000136405	0.000172851	537.89
7	0.000172851	0.000214914	665.577
8	0.000214914	0.00026346	839.832
9	0.00026346	0.000319489	1001.62
10	0.000319489	0.000384154	1112.46
11	0.000384154	0.000458786	1165.93
12	0.000458786	0.000544922	1178.55
13	0.000544922	0.000644334	1165.79
14	0.000644334	0.000759069	1134.83
15	0.000759069	0.000891488	1091.12
16	0.000891488	0.00104432	1040.78
17	0.00104432	0.0012207	988.619
18	0.0012207	0.00142428	937.108
19	0.00142428	0.00165923	888.035
20	0.00165923	0.00193039	844.664
21	0.00193039	0.00224336	811.742
22	0.00224336	0.00260456	793.435
23	0.00260456	0.00302143	792.14
24	0.00302143	0.00350256	807.912
25	0.00350256	0.00405784	837.187
26	0.00405784	0.00469872	869.676
27	0.00469872	0.00543837	891.13
28	0.00543837	0.00629204	897.954
29	0.00629204	0.00727728	1462.95
30	0.00727728	0.00841438	1462.95
31	0.00841438	0.00972675	1462.95
32	0.00972675	0.0112414	0.999529
33	0.0112414	0.0129895	0.999529
34	0.0129895	inf	0.999529
