time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.3588e-05	317.971
1	1.3588e-05	2.94825e-05	317.971
2	2.94825e-05	4.80752e-05	1239.34
3	4.80752e-05	6.98239e-05	457.782
4	6.98239e-05	9.52645e-05	626.073
5	9.52645e-05	0.000125024	1073.84
6	0.000125024	0.000159834	1478.26
7	0.000159834	0.000200554	1568.75
8	0.000200554	0.000248186	1402.18
9	0.000248186	0.000303904	1210.61
10	0.000303904	0.00036908	1136.95
11	0.00036908	0.000445319	1171.54
12	0.000445319	0.0005345	1255.22
13	0.0005345	0.000638819	1303.04
14	0.000638819	0.000760846	1305.57
15	0.000760846	0.000903588	1247.36
16	0.000903588	0.00107056	1162.76
17	0.00107056	0.00126588	1063.95
18	0.00126588	0.00149435	965.505
19	0.00149435	0.0017616	881.792
20	0.0017616	0.00207422	822.205
21	0.00207422	0.0024399	805.456
22	0.0024399	0.00286767	856.036
23	0.00286767	0.00336804	989.223
24	0.00336804	0.00395335	1224.95
25	0.00395335	0.00463802	1540.47
26	0.00463802	0.00543891	1850.5
27	0.00543891	0.00637576	2186.57
28	0.00637576	0.00747163	2186.57
29	0.00747163	0.00875353	257700
30	0.00875353	0.010253	257700
31	0.010253	inf	257700
