time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.26583e-05	492.061
1	1.26583e-05	2.74654e-05	492.061
2	2.74654e-05	4.4786e-05	1560.17
3	4.4786e-05	6.50468e-05	570.021
4	6.50468e-05	8.87469e-05	764.209
5	8.87469e-05	0.00011647	1321.58
6	0.00011647	0.000148899	1698.92
7	0.000148899	0.000186833	1633.42
8	0.000186833	0.000231206	1437.83
9	0.000231206	0.000283112	1309.21
10	0.000283112	0.000343828	1265.75
11	0.000343828	0.000414852	1277.43
12	0.000414852	0.000497931	1311.69
13	0.000497931	0.000595113	1335.44
14	0.000595113	0.000708792	1319.78
15	0.000708792	0.000841768	1254.52
16	0.000841768	0.000997316	1154.44
17	0.000997316	0.00117927	1044.16
18	0.00117927	0.00139211	943.115
19	0.00139211	0.00164108	865.743
20	0.00164108	0.00193231	825.384
21	0.00193231	0.00227297	835.614
22	0.00227297	0.00267147	912.331
23	0.00267147	0.00313761	1076.64
24	0.00313761	0.00368288	1349.04
25	0.00368288	0.0043207	1726.36
26	0.0043207	0.0050668	2148.07
27	0.0050668	0.00593955	2595.54
28	0.00593955	0.00696045	2595.54
29	0.00696045	0.00815464	4227.8
30	0.00815464	0.00955155	4227.8
31	0.00955155	inf	4227.8
