time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.162e-05	464.986
1	1.162e-05	2.5031e-05	464.986
2	2.5031e-05	4.05092e-05	1168.03
3	4.05092e-05	5.8373e-05	1168.03
4	5.8373e-05	7.89903e-05	474.429
5	7.89903e-05	0.000102785	912.502
6	0.000102785	0.000130248	1552.66
7	0.000130248	0.000161944	1859.65
8	0.000161944	0.000198525	1692.99
9	0.000198525	0.000240745	1402.45
10	0.000240745	0.000289472	1227.19
11	0.000289472	0.00034571	1190.9
12	0.00034571	0.000410616	1240.86
13	0.000410616	0.000485526	1315.85
14	0.000485526	0.000571982	1365.02
15	0.000571982	0.000671764	1361.35
16	0.000671764	0.000786926	1307.06
17	0.000786926	0.000919839	1221.46
18	0.000919839	0.00107324	1124.56
19	0.00107324	0.00125028	1028.71
20	0.00125028	0.00145461	942.014
21	0.00145461	0.00169044	875.294
22	0.00169044	0.00196261	839.202
23	0.00196261	0.00227674	839.207
24	0.00227674	0.00263929	877.256
25	0.00263929	0.00305771	956.251
26	0.00305771	0.00354063	1081.12
27	0.00354063	0.00409798	1244.27
28	0.00409798	0.00474125	1394.71
29	0.00474125	0.00548366	1433.43
30	0.00548366	0.0063405	1433.43
31	0.0063405	0.00732941	1433.43
32	0.00732941	0.00847074	1274.94
33	0.00847074	0.009788	1274.94
34	0.009788	inf	1274.94
