time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.18e-05	551.098
1	1.18e-05	2.54188e-05	551.098
2	2.54188e-05	4.11368e-05	1030.38
3	4.11368e-05	5.92774e-05	1030.38
4	5.92774e-05	8.02141e-05	511.996
5	8.02141e-05	0.000104378	939.793
6	0.000104378	0.000132266	1537.51
7	0.000132266	0.000164453	1803.4
8	0.000164453	0.000201601	1634.1
9	0.000201601	0.000244475	1373.72
10	0.000244475	0.000293957	1224.68
11	0.000293957	0.000351066	1194.06
12	0.000351066	0.000416977	1233.83
13	0.000416977	0.000493048	1295.53
14	0.000493048	0.000580843	1338.05
15	0.000580843	0.000682172	1334.53
16	0.000682172	0.000799118	1281.89
17	0.000799118	0.00093409	1196.43
18	0.00093409	0.00108987	1098.76
19	0.00108987	0.00126965	1003.62
20	0.00126965	0.00147715	919.64
21	0.00147715	0.00171663	854.375
22	0.00171663	0.00199302	816.436
23	0.00199302	0.00231201	813.964
24	0.00231201	0.00268018	852.869
25	0.00268018	0.00310508	936.825
26	0.00310508	0.00359548	1069.42
27	0.00359548	0.00416147	1254.27
28	0.00416147	0.0048147	1481.88
29	0.0048147	0.00556861	1732.07
30	0.00556861	0.00643873	1732.07
31	0.00643873	0.00744296	1732.07
32	0.00744296	0.00860198	1940.83
33	0.00860198	0.00993964	1940.83
34	0.00993964	inf	1940.83
