time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.34858e-06	387.005
1	8.34858e-06	1.7984e-05	387.005
2	1.7984e-05	2.91045e-05	1921.27
3	2.91045e-05	4.19391e-05	1921.27
4	4.19391e-05	5.67519e-05	1201.66
5	5.67519e-05	7.3848e-05	1877.51
6	7.3848e-05	9.35791e-05	1963.76
7	9.35791e-05	0.000116351	1767.17
8	0.000116351	0.000142634	1653.66
9	0.000142634	0.000172967	1635.77
10	0.000172967	0.000207976	1701.61
11	0.000207976	0.000248381	1834.36
12	0.000248381	0.000295014	1987.55
13	0.000295014	0.000348834	2098.54
14	0.000348834	0.00041095	2122.76
15	0.00041095	0.00048264	2056.21
16	0.00048264	0.00056538	1935.98
17	0.00056538	0.000660874	1816.3
18	0.000660874	0.000771086	1728.72
19	0.000771086	0.000898285	1659.48
20	0.000898285	0.00104509	1560.74
21	0.00104509	0.00121452	1397.31
22	0.00121452	0.00141007	1186.11
23	0.00141007	0.00163576	979.602
24	0.00163576	0.00189624	820.509
25	0.00189624	0.00219686	721.593
26	0.00219686	0.00254383	676.594
27	0.00254383	0.00294427	674.694
28	0.00294427	0.00340643	707.029
29	0.00340643	0.00393982	821.828
30	0.00393982	0.00455544	821.828
31	0.00455544	0.00526594	821.828
32	0.00526594	0.00608595	983.385
33	0.00608595	0.00703235	983.385
34	0.00703235	inf	983.385
