time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.19467e-06	374.956
1	9.19467e-06	1.99501e-05	374.956
2	1.99501e-05	3.25313e-05	3232.24
3	3.25313e-05	4.72482e-05	929.819
4	4.72482e-05	6.44633e-05	1513.54
5	6.44633e-05	8.46006e-05	1879.74
6	8.46006e-05	0.000108156	1797.31
7	0.000108156	0.00013571	1703.41
8	0.00013571	0.000167942	1698.61
9	0.000167942	0.000205645	1742.78
10	0.000205645	0.000249747	1826.55
11	0.000249747	0.000301337	1932.98
12	0.000301337	0.000361683	2030.1
13	0.000361683	0.000432274	2082.89
14	0.000432274	0.000514847	2063.75
15	0.000514847	0.000611437	1972.92
16	0.000611437	0.000724423	1844.75
17	0.000724423	0.000856588	1712.11
18	0.000856588	0.00101119	1571.46
19	0.00101119	0.00119203	1398.8
20	0.00119203	0.00140357	1196.58
21	0.00140357	0.00165103	999.611
22	0.00165103	0.00194048	842.727
23	0.00194048	0.00227907	738.9
24	0.00227907	0.00267514	679.326
25	0.00267514	0.00313844	650.412
26	0.00313844	0.00368039	657.79
27	0.00368039	0.00431433	780.318
28	0.00431433	0.00505588	780.318
29	0.00505588	0.00592331	1796.55
30	0.00592331	0.00693798	1796.55
31	0.00693798	inf	1796.55
