population,population2,values,tri_partition
"Shark
Bay","Shark
Bay",NA,diagonal
"Shark
Bay","Coastal
WA",0.009268590139394059,upper
"Shark
Bay","Offshore
WA",0.05881831433175271,upper
"Shark
Bay","Gulf of
Carpentaria",0.09662248621736501,upper
"Shark
Bay","New
Caledonia",0.22861945799174038,upper
"Coastal
WA","Shark
Bay",0.0015781153028499757,lower
"Coastal
WA","Coastal
WA",NA,diagonal
"Coastal
WA","Offshore
WA",0.038815600290969934,upper
"Coastal
WA","Gulf of
Carpentaria",0.08749342554567328,upper
"Coastal
WA","New
Caledonia",0.1867760449805331,upper
"Offshore
WA","Shark
Bay",0.00335557203646949,lower
"Offshore
WA","Coastal
WA",0.0017269768278433035,lower
"Offshore
WA","Offshore
WA",NA,diagonal
"Offshore
WA","Gulf of
Carpentaria",0.10494590779939673,upper
"Offshore
WA","New
Caledonia",0.20143593796615852,upper
"Gulf of
Carpentaria","Shark
Bay",0.0064569665001663135,lower
"Gulf of
Carpentaria","Coastal
WA",0.00500339419794678,lower
"Gulf of
Carpentaria","Offshore
WA",0.005523399193183568,lower
"Gulf of
Carpentaria","Gulf of
Carpentaria",NA,diagonal
"Gulf of
Carpentaria","New
Caledonia",0.14100895690510887,upper
"New
Caledonia","Shark
Bay",0.010515366361000814,lower
"New
Caledonia","Coastal
WA",0.009149381862251943,lower
"New
Caledonia","Offshore
WA",0.009550010619036195,lower
"New
Caledonia","Gulf of
Carpentaria",0.007286702751235247,lower
"New
Caledonia","New
Caledonia",NA,diagonal
