population,population2,values,tri_partition
"Coastal
WA","Coastal
WA",NA,diagonal
"Coastal
WA","Gulf of
Carpentaria",0.032848724189541455,upper
"Coastal
WA","New
Caledonia",0.18568365360870515,upper
"Coastal
WA","Shark
Bay",0.04207300212325602,upper
"Gulf of
Carpentaria","Coastal
WA",0.0042725972473954205,lower
"Gulf of
Carpentaria","Gulf of
Carpentaria",NA,diagonal
"Gulf of
Carpentaria","New
Caledonia",0.17404995873041448,upper
"Gulf of
Carpentaria","Shark
Bay",0.08616193842814501,upper
"New
Caledonia","Coastal
WA",0.018877537718152402,lower
"New
Caledonia","Gulf of
Carpentaria",0.017878309764825493,lower
"New
Caledonia","New
Caledonia",NA,diagonal
"New
Caledonia","Shark
Bay",0.25859665394774123,upper
"Shark
Bay","Coastal
WA",0.006119206274802823,lower
"Shark
Bay","Gulf of
Carpentaria",0.0105672045880631,lower
"Shark
Bay","New
Caledonia",0.025210913081335988,lower
"Shark
Bay","Shark
Bay",NA,diagonal
