Species,Region,Sample,reads_raw,reads_sum_len_raw,reads_qc,reads_sum_len_qc,reads_ipyrad,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
Aipysurus laevis,Broome,ALA-AL401-3991432,1487777,92838445,1336783,86996586,961623,664983,296640,70554,22800,0.002331,0.001857,22536,20983
Aipysurus laevis,Ashmore,ALA-AL402-3991433,1469147,93628525,1336507,88382064,961318,666505,294813,71054,23588,0.00231,0.00179,23380,21855
Aipysurus laevis,Ashmore,ALA-AL403-3991434,1368121,88690813,1255430,83773454,931524,678799,252725,69958,22969,0.002182,0.001739,22762,21188
Aipysurus laevis,Ashmore,ALA-AL404-3991435,1309487,86374532,1196295,81895015,895330,629117,266213,56488,20242,0.00131,0.00139,20036,15145
Aipysurus laevis,Ashmore,ALA-AL405-3991436,1502182,85572321,1315177,78918335,882467,559052,323415,50710,17961,0.002167,0.001879,17773,16382
Aipysurus laevis,Ashmore,ALA-AL406-3991437,1377072,86815057,1249507,81477966,894120,596580,297540,62079,20698,0.002211,0.001836,20511,19030
Aipysurus laevis,Ashmore,ALA-AL407-3991438,1533610,92454416,1364347,85908043,952642,603215,349427,56989,19319,0.002377,0.001991,19099,17623
Aipysurus laevis,Ashmore,ALA-AL408-3991439,1415995,90070207,1296219,85141144,938296,660126,278170,70938,23748,0.002168,0.001704,23540,22033
Aipysurus laevis,Ashmore,ALA-AL409-3991440,1433078,93054166,1309997,87449681,957958,631072,326886,63760,21920,0.002252,0.001783,21732,20218
Aipysurus laevis,Ashmore,ALA-AL410-3991441,1444187,94984803,1316401,89816678,984795,677837,306958,75415,24296,0.002275,0.001824,24063,22495
Aipysurus laevis,Ashmore,ALA-AL411-3991442,1291368,86197458,1180574,81345541,879998,599424,280574,66356,21881,0.002335,0.001712,21679,20139
Aipysurus laevis,Ashmore,ALA-AL412-3991443,1454045,89690359,1322989,84479679,947123,690644,256479,66829,22153,0.002306,0.001842,21944,20404
