sample,reads_raw,reads_passed_filter,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
HMA-Dm001-3991498,929014,702955,469367,233588,70912,18998,0.001813,0.001586,18791,17037
HMA-Dm004-3991499,1225368,834225,513553,320672,41489,15108,0.002107,0.001718,14993,13506
HMA-Dm005-3991500,1269529,920074,696876,223198,65349,20333,0.002041,0.001666,20106,18396
HMA-Dm007-3991501,1186098,835905,615090,220815,51881,17714,0.002008,0.001619,17592,15924
HMA-Dm008-3991502,1005936,791539,543708,247831,71489,20578,0.001951,0.001328,20422,18760
HMA-Dm010-3991503,1292016,801482,608543,192939,36101,13781,0.002215,0.001919,13675,12247
HMA-Dm011-3991504,1250546,792516,588513,204003,50543,15937,0.002126,0.001707,15775,14318
HMA-Dm014-3991505,1271445,863253,657926,205327,49889,17608,0.002113,0.001851,17463,15767
HMA-Dm015-3991506,1191270,830668,630821,199847,56491,17943,0.002058,0.001667,17796,16129
HMA-Dm018-3991507,1349297,934088,721246,212842,63317,20767,0.002002,0.001886,20582,18818
HMA-Dm028-3991509,987831,789155,405589,383566,11367,8567,0.001746,0.001604,8515,7495
HMA-Dm029-4019824,1113057,769867,571701,198166,47579,18720,0.002723,0.002361,18553,16773
HMA-Dm032-4019825,1178275,803001,563137,239864,32139,19226,0.002876,0.001892,19037,13653
HMA-Dm045_was_He078-4019826,881989,712559,496088,216471,76493,21666,0.001909,0.001372,21530,19701
HMA-J84471-2117859,982323,680033,451246,228787,22213,14140,0.001342,0.002481,14077,11031
HMA-J87200-2117846,1190121,786571,430744,355827,64196,15928,0.001457,0.00232,15693,10762
HMA-J87202-2117845,1222149,808441,521854,286587,94749,15505,0.001678,0.002385,15323,13398
HMA-J88474-2117828,1010851,668672,454174,214498,41817,17781,0.001141,0.002253,17704,13774
HMA-J89073-2117861,954171,587635,337595,250040,7835,6143,6.25e-4,0.002191,6107,4579
HMA-KLS0629-2117699,1073848,787392,594217,193175,74054,22087,0.001892,0.002376,21944,20465
HMA-KLS0630-2117717,1024767,795235,394992,400243,83761,18225,0.001567,0.002362,18082,17210
HMA-KLS0631-2117697,1089321,817775,594039,223736,73527,22512,0.0017,0.0024,22390,20963
HMA-KLS0633-2117719,1742275,1329167,960640,368527,102732,32520,0.001752,0.002513,32192,29744
HMA-KLS0647-2117698,1070690,768846,561357,207489,68758,20990,0.001667,0.002501,20845,19397
HMA-KLS0652-2117715,1163839,899217,665312,233905,82144,24833,0.001748,0.00236,24687,23120
HMA-KLS0662-2117700,943918,698515,523080,175435,61874,19499,0.001921,0.002482,19396,18037
HMA-KLS0676-2117735,1448388,1182536,883756,298780,107470,32161,0.00164,0.002294,31864,29422
HMA-KLS0762-2117712,1219294,885321,627153,258168,70202,22318,0.001798,0.002414,22152,20647
HMA-KLS0798-2117733,1026354,781429,555630,225799,69371,21096,0.001789,0.002294,20970,19514
HMA-KLS0799-2117731,1214277,909325,607911,301414,74768,22821,0.001721,0.002191,22717,21173
HMA-KLS0801-2117727,1381531,1071007,790079,280928,89310,27970,0.00183,0.002157,27816,26104
HMA-KLS0808-2117740,1123143,841785,619473,222312,70376,22110,0.001656,0.002413,21971,20539
HMA-KLS0813-2117730,1211062,919930,683515,236415,86353,26026,0.001631,0.002293,25871,24272
HMA-KLS0898-2117745,1130058,747032,615428,131604,30253,11318,0.001896,0.002239,11230,10193
HMA-KLS0913-2117749,1031879,769218,568121,201097,60358,19964,0.001741,0.002332,19843,18368
HMA-KLS0933-2117744,1361446,957515,697845,259670,66420,23828,0.001666,0.002317,23711,21812
HMA-KLS1016-2117701,1047903,794257,548434,245823,77405,21050,0.001768,0.00216,20933,19412
HMA-KLS1017-2117720,1358484,1085094,813460,271634,106897,29909,0.001725,0.002258,29727,27943
HMA-KLS1020-2117696,1170570,903243,638168,265075,83396,23884,0.001773,0.002205,23761,22189
HMA-KLS1379-3593334,2122484,1784521,1355659,428862,105054,43193,0.002443,0.001239,42773,37936
HMA-KLS1416-3593319,2197869,1830354,1393849,436505,107299,43191,0.002365,0.001186,42822,38131
HMA-KLS1421-3593374,2122471,1768088,1374252,393836,107772,44039,0.002494,0.001297,43708,38923
HMA-KLS1514-3593378,2019527,1693408,1268398,425010,121457,47498,0.002465,0.001305,47102,41135
HMA-KLS1522-3593369,2167757,1808322,1373713,434609,119589,47881,0.002358,0.001222,47541,41888
HMA-KLS1538-3593349,2110824,1767849,1284522,483327,118706,47556,0.002521,0.001182,47212,41231
HMA-KLS1553-3593325,2023106,1721870,1258233,463637,119555,47102,0.002263,0.00118,46749,41101
HMA-KLS1554-3593316,2078433,1756499,1304437,452062,122687,47360,0.002377,0.001183,47022,41511
HMA-KLS1692-4013432,1907637,1567495,1152887,414608,102006,37943,0.002306,0.001218,37639,34490
HMA-KLS1694-4013434,1861982,1506609,1106432,400177,98170,35917,0.002162,0.001286,35642,32668
HMA-KLS1697-4013437,1888847,1579507,1036135,543372,106758,34335,0.002246,0.001333,33810,31034
HMA-KLS1699-4013439,1960176,1620373,1175328,445045,98815,37442,0.002147,0.001193,37116,33956
HMA-KLS1703-4013443,1821077,1530757,1154580,376177,108723,35718,0.002144,0.001259,35239,32398
HMA-KLS1705-4013445,1848513,1522067,1170719,351348,101544,37203,0.002137,0.001223,36892,33702
HMA-KLS1711-4013451,1895042,1569637,1132363,437274,109298,37069,0.00219,0.001128,36711,33741
HMA-MAGNT-R36643-2117742,1072959,835585,607066,228519,77715,21959,0.001631,0.002293,21849,20338
HMA-NC_166-2117725,1085213,823919,569057,254862,78079,22537,0.001124,0.002237,22430,20949
HMA-NC_167-2117726,980826,786936,558136,228800,95230,24404,9.65e-4,0.002161,24240,22682
HMA-NC_169-2117729,1378799,1000161,730033,270128,67532,22832,0.001232,0.002337,22701,20969
HMA-NC_173-2117703,1408448,1070316,767130,303186,94969,28035,0.001254,0.002192,27906,26063
HMA-NC_174-2117743,1500218,1181338,863026,318312,99003,30798,0.001319,0.002206,30639,28718
HMA-NC_176-2117714,842092,619411,443017,176394,60435,18083,0.00129,0.002346,18012,16663
HMA-NC_179-2117695,1172444,918780,664012,254768,90140,26128,0.001266,0.00217,25989,24383
HMA-NC_180-2117713,1187918,920893,676036,244857,87892,25418,0.001419,0.002225,25289,23726
HMA-NC_181-2117711,1209436,1001814,739640,262174,110612,29578,0.001077,0.002102,29365,27567
HMA-NC_189-2117710,1070024,772700,529371,243329,66857,21026,0.001154,0.002387,20937,19486
HMA-R154981-2117752,1309718,851689,587244,264445,60034,16845,0.001753,0.002377,16694,15161
HMA-R29873-2117819,1086400,815183,564080,251103,74429,20829,0.003341,0.003121,20524,18872
HMA-R29875-2117836,989771,719766,526799,192967,65627,18981,0.002339,0.002838,18820,17425
HMA-R36496-2117767,1382610,1078260,775873,302387,74327,24433,0.001671,0.002309,24278,22036
HMA-R36640-2117798,1135791,836826,630309,206517,73793,22917,0.001795,0.002434,22759,21214
HMA-R36656-2117844,1046143,734584,509901,224683,53578,17154,0.00172,0.002372,17078,15585
HMA-R36660-2117840,1060511,822864,587451,235413,89116,24172,0.00161,0.002342,24052,22613
HMA-R36982-2117760,1206726,780469,516435,264034,27965,14484,0.001839,0.002558,14390,12466
HMA-R37004-2117761,1170886,759387,493393,265994,38277,18577,0.00112,0.002268,18472,12986
HMA-R37005-2117762,1266584,872636,613199,259437,56702,18773,0.001617,0.002466,18667,15880
HMA-R37023-2117763,1075526,715490,491779,223711,24661,11154,0.001887,0.002438,11055,9840
HMA-R37031-2117764,1089589,795191,575293,219898,63848,19150,0.001867,0.002576,19038,17486
HMA-R37037-2117765,1096883,818039,555053,262986,59842,17875,0.001823,0.00234,17754,16246
HMA-R37138-2117766,1034758,731681,476029,255652,57280,15544,0.001656,0.002413,15435,14020
HMA-SS170809_02-2117728,1325339,963115,672281,290834,64174,24056,0.001453,0.002314,23858,21384
HMA-SS170812_01-2117751,1215319,826967,574714,252253,34360,17127,0.001694,0.002497,17042,15417
HMA-SS170814_02-2117746,1160193,797404,643903,153501,31487,15058,0.001716,0.002359,14950,13547
HMA-SS170818_01-2117748,928650,664223,441751,222472,31465,15934,0.001667,0.002501,15865,14396
HMA-SS170820_01-2117747,1119256,778398,514206,264192,35887,12909,0.002017,0.002219,12797,11573
HMA-SS171024_01-2117723,1257794,916313,680221,236092,70265,22915,0.001762,0.002151,22765,21115
HMA-VU46-2117754,933753,629660,477078,152582,26711,16448,8.75e-4,0.002141,16402,14330
HMA-VU55-2117702,981930,754753,547737,207016,79238,22051,0.001849,0.002218,21931,20555
HMA-VU61-2117705,1265691,976441,710704,265737,86615,26192,0.001752,0.002266,26065,24390
HMA-WAM-R154978-2562207,1450075,1145777,742529,403248,92918,26643,0.001797,0.002805,26391,24028
HMA-WAM-R154980-2562264,1074451,823531,428172,395359,55668,19091,0.001711,0.002521,18923,13969
HMA-WAM-R154981-2562169,1267031,938546,647044,291502,58624,23727,0.00196,0.002758,23531,20504
HMA-WAMR154978-2117736,495370,276351,80997,195354,4937,3308,8.2e-4,0.002215,3294,2114
