Species,Region,Sample,reads_raw,reads_sum_len_raw,reads_qc,reads_sum_len_qc,reads_ipyrad,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
Hydrophis stokesii,Gulf_of_Carpentaria,HST-As004-3991479,1230740,84813232,1089703,78057436,841090,608253,232837,58750,20882,0.001492,0.001515,20710,19035
Hydrophis stokesii,Gulf_of_Carpentaria,HST-As005-3991480,1235926,86207867,1085462,78756459,841124,624913,216211,62439,21690,0.001522,0.001557,21538,19764
Hydrophis stokesii,Gulf_of_Carpentaria,HST-As006-3991481,1411139,80813508,1223960,75151816,834328,637444,196884,55163,18896,0.001658,0.001876,18718,17152
Hydrophis stokesii,Gulf_of_Carpentaria,HST-As007-3991482,1455735,88277515,1285389,82613668,910789,684656,226133,40436,19609,0.001896,0.002098,19454,17443
Hydrophis stokesii,Ashmore,HST-As008-3991483,1530646,79536767,1302922,72840652,816584,663721,152863,30301,18459,0.003337,0.002317,18217,16210
Hydrophis stokesii,NA,HST-As009-3991484,1382062,83943551,1205741,78161062,863494,652527,210967,44168,17717,0.001762,0.001742,17571,15866
Hydrophis stokesii,Gulf_of_Carpentaria,HST-As010-3991485,1540675,81944855,1326185,75381541,846673,662734,183939,43379,16755,0.001918,0.001853,16588,14899
Hydrophis stokesii,Gulf_of_Carpentaria,HST-As011-3991486,1661721,86561600,1430244,79668876,908469,692191,216278,49453,14885,0.001711,0.001718,14728,13374
Hydrophis stokesii,NA,HST-As012-3991487,1362321,86786739,1202396,81150158,885794,652693,233101,68559,21961,0.00175,0.001597,21756,20138
Hydrophis stokesii,NA,HST-J82337-2562260,1413075,195004350,864695,65841772,658098,458333,199765,61711,18101,0.001382,0.002447,17925,16206
Hydrophis stokesii,Hibernia Reef,HST-KLS0360-2562274,1419725,195922050,645129,40673869,382455,1548,380907,1216,1,5.91e-4,9.3e-5,1,1
Hydrophis stokesii,Hibernia Reef,HST-KLS0362-2562256,1331450,183740100,722927,52921217,524994,222211,302783,49458,11187,0.002131,0.002773,11057,10498
Hydrophis stokesii,Broome,HST-KLS0490-2892498,1414500,195201000,1216857,90230517,948733,699029,249704,68748,23941,0.001674,0.002857,23671,21691
Hydrophis stokesii,Broome,HST-KLS0527-2892409,1307776,180473088,1182458,97742301,1004795,737564,267231,90087,30746,0.001536,0.002757,30507,28893
Hydrophis stokesii,Broome,HST-KLS0528-2892531,1486271,205105398,1274835,101566296,1040005,772620,267385,77580,28088,0.001499,0.002433,27856,26257
Hydrophis stokesii,Pilbara,HST-KLS0559-2892377,1418578,195763764,1212456,93215161,969051,712689,256362,80105,27643,0.001448,0.002273,27422,25923
Hydrophis stokesii,Broome,HST-KLS0566-2892525,1458635,201291630,1267771,98882772,1014842,745282,269560,74504,27688,0.001594,0.002612,27457,25790
Hydrophis stokesii,Broome,HST-KLS0573-2892480,1544501,213141138,1289074,95945670,1008637,699510,309127,69258,25971,0.001535,0.002761,25734,24121
Hydrophis stokesii,Broome,HST-KLS0604-2892450,1445294,199450572,1247664,88352896,945459,677544,267915,65191,25645,0.001674,0.002857,25416,23817
Hydrophis stokesii,Broome,HST-KLS0634-2892478,1432515,197687070,1285552,106479761,1090744,67893,1022851,4394,2129,6.74e-4,0.001426,2056,954
Hydrophis stokesii,Broome,HST-KLS0635-2562180,1297878,179107164,1142060,90945068,939710,669357,270353,88869,28264,0.001441,0.002555,28004,26597
Hydrophis stokesii,Broome,HST-KLS0636-2562216,1556895,214851510,1391780,111003847,1154954,860225,294729,83841,31490,0.001531,0.002903,31157,29219
Hydrophis stokesii,Broome,HST-KLS0660-2892454,1480854,204357852,1254117,85457917,913523,719566,193957,29982,18157,0.001979,0.002673,18013,15595
Hydrophis stokesii,Broome,HST-KLS0675-2892455,1422104,196250352,1246979,98303346,1012609,789506,223103,75869,28259,0.001546,0.002469,28041,26361
Hydrophis stokesii,Broome,HST-KLS0677-2892491,1480980,204375240,1253920,98987815,1010791,727924,282867,82773,29044,0.001384,0.002525,28824,27061
Hydrophis stokesii,Broome,HST-KLS0678-2892468,1367500,188715000,1234674,97850235,1010379,786664,223715,84309,30328,0.0014,0.002432,30090,28370
Hydrophis stokesii,Broome,HST-KLS0679-2892438,1480528,204312864,1262502,98453340,1014617,773783,240834,78444,28517,0.0015,0.002441,28299,26689
Hydrophis stokesii,Broome,HST-KLS0680-2892474,1495278,206348364,1263343,97307611,1007056,281514,725542,58050,14883,0.001481,0.002279,14771,13892
Hydrophis stokesii,Broome,HST-KLS0681-2892443,1382339,190762782,1219075,94727407,976545,712932,263613,81043,29259,0.00147,0.002446,29030,27354
Hydrophis stokesii,Broome,HST-KLS0682-2892504,1491848,205875024,1269675,100053987,1027528,731560,295968,91447,30479,0.001406,0.002425,30247,28481
Hydrophis stokesii,Broome,HST-KLS0686-2892505,1454862,200770956,1244034,96389881,1002569,753380,249189,80204,28459,0.001567,0.002345,28211,26637
Hydrophis stokesii,Broome,HST-KLS0687-2892451,1373443,189535134,1217148,98665129,1011278,747125,264153,85274,29951,0.0015,0.002441,29725,28178
Hydrophis stokesii,Exmouth Gulf,HST-KLS0794-2562199,1314566,181410108,1192238,99629578,1007420,778493,228927,94895,29867,0.001473,0.002506,29550,28021
Hydrophis stokesii,Exmouth Gulf,HST-KLS0795-2892379,1531517,211349346,1356222,110979706,1132347,824069,308278,92145,32823,0.001379,0.002323,32568,30645
Hydrophis stokesii,Exmouth Gulf,HST-KLS0804-2892392,1421976,196232688,1267411,100770564,1035750,728458,307292,86994,29604,0.001383,0.002681,29355,27647
Hydrophis stokesii,Exmouth Gulf,HST-KLS0843-2892452,1578535,217837830,1378776,109791892,1133238,868484,264754,75947,31570,0.001576,0.002628,31321,28862
Hydrophis stokesii,Exmouth Gulf,HST-KLS0847-2892542,1396476,192713688,1138593,68824988,744963,476961,268002,33562,19229,0.001296,0.002315,19083,14537
Hydrophis stokesii,Exmouth Gulf,HST-KLS0858-2892456,1336927,184495926,1242115,106069892,1074559,777714,296845,90973,33428,0.001234,0.002767,33138,30692
Hydrophis stokesii,Exmouth Gulf,HST-KLS0883-2892509,1525159,210471942,1382383,111076709,1130270,871726,258544,73572,29800,0.001471,0.002391,29582,27670
Hydrophis stokesii,Exmouth Gulf,HST-KLS0886-2892390,1661401,229273338,1437419,104073944,1109899,91717,1018182,36784,3692,0.001337,0.002416,3644,3540
Hydrophis stokesii,Exmouth Gulf,HST-KLS0896-2892403,1415907,195395166,1289160,104826271,1065404,786175,279229,91129,30526,0.001925,0.002381,30282,27563
Hydrophis stokesii,Exmouth Gulf,HST-KLS0897-2892551,1507384,208018992,1196121,86606625,917431,730159,187272,49868,19328,0.002126,0.002633,19125,17342
Hydrophis stokesii,Exmouth Gulf,HST-KLS0923-2892400,1341673,185150874,1246776,104927049,1067427,770046,297381,89696,30871,0.001382,0.002525,30628,28798
Hydrophis stokesii,Exmouth Gulf,HST-KLS0938-2892388,1284408,177248304,1174122,98675099,1000021,746160,253861,95339,31967,0.001378,0.002327,31755,30021
Hydrophis stokesii,Exmouth Gulf,HST-KLS0941-2892545,1273447,175735686,1054370,77726040,824250,571616,252634,39876,20202,0.001619,0.002572,20081,17797
Hydrophis stokesii,Exmouth Gulf,HST-KLS0983-2892406,1476100,203701800,1335847,109540955,1111513,830625,280888,93861,32806,0.001386,0.002382,32547,30679
Hydrophis stokesii,Exmouth Gulf,HST-KLS0986-2892407,1373996,189611448,1183983,94361218,964881,715019,249862,86342,28547,0.001572,0.002449,28309,26914
Hydrophis stokesii,Broome,HST-KLS1157-3593388,2141375,176329439,2004084,169133520,1684575,1169339,515236,105570,42387,0.001946,0.00123,41956,39165
