,0,1,2
ALA-AL402-3991433,0.0128,0.0034,0.9838
ALA-AL403-3991434,0.0407,0.0085,0.9508
ALA-AL405-3991436,0.0284,0.0055,0.9661
ALA-AL406-3991437,0.0189,0.0079,0.9732
ALA-AL407-3991438,0.0118,0.0028,0.9854
ALA-AL408-3991439,0.0457,0.0347,0.9196
ALA-AL409-3991440,0.0088,0.0102,0.981
ALA-AL410-3991441,0.0092,0.0025,0.9883
ALA-AL411-3991442,0.0082,0.0142,0.9776
ALA-AL412-3991443,0.0222,0.0046,0.9732
ALA-AL413-3991444,0.0138,0.0038,0.9824
ALA-AL414-3991445,0.0176,0.0034,0.979
ALA-AL415-3991446,0.0332,0.0036,0.9632
ALA-AL416-3991447,0.0245,0.0159,0.9596
ALA-AL417-3991448,0.0332,0.0127,0.9541
ALA-AL418-3991449,0.0154,0.0023,0.9823
ALA-AL419-3991450,0.0476,0.0234,0.929
ALA-AL420-3991451,0.0375,0.0141,0.9484
ALA-AL422-3991452,0.0108,0.0046,0.9846
ALA-AL423-3991453,0.0181,0.0089,0.973
ALA-AL424-4013486,0.1648,0.1781,0.6571
ALA-AL425-3991454,0.0352,0.0126,0.9522
ALA-AL426-3991455,0.0068,0.0054,0.9878
ALA-AL427-3991456,0.0075,0.0051,0.9874
ALA-AL429-3991457,0.0685,0.0025,0.929
ALA-AL430-3991458,0.011,0.0035,0.9855
ALA-AL431-3991459,0.0475,0.0073,0.9452
ALA-AL432-3991460,0.0133,0.0025,0.9842
ALA-AL433-3991461,0.0276,0.0023,0.9701
ALA-AL434-3991462,0.0061,0.003,0.9909
ALA-AL435-3991463,0.0196,0.0032,0.9772
ALA-AL436-3991464,0.0115,0.0034,0.9851
ALA-AL437-3991465,0.0244,0.0428,0.9328
ALA-AL439-3991466,0.0294,0.0049,0.9657
ALA-AL440-3991467,0.0472,0.1351,0.8177
ALA-AL441-3991468,0.2716,0.0059,0.7225
ALA-AL442-3991469,0.0121,0.0049,0.983
ALA-Al003-3991431,0.0182,0.027,0.9548
ALA-Al272-3991284,0.0156,0.0056,0.9788
ALA-Al274-3991285,0.007,0.0034,0.9896
ALA-Al275-3991286,0.0367,0.0055,0.9578
ALA-Al277-3991287,0.0819,0.0028,0.9153
ALA-Al278-3991288,0.0232,0.0044,0.9724
ALA-Al279-3991289,0.0732,0.0032,0.9236
ALA-Al280-3991290,0.0096,0.0078,0.9826
ALA-Al281-3991291,0.0822,0.0074,0.9104
ALA-Al282-3991292,0.0155,0.0074,0.9771
ALA-Al283-3991293,0.0286,0.0091,0.9623
ALA-Al285-3991294,0.0541,0.0194,0.9265
ALA-Al286-3991295,0.0927,0.0313,0.876
ALA-Al287-3991296,0.0241,0.005,0.9709
ALA-Al288-3991297,0.0511,0.0066,0.9423
ALA-Al290-3991298,0.0244,0.0042,0.9714
ALA-Al291-3991299,0.1271,0.0193,0.8536
ALA-Al292-3991300,0.041,0.0069,0.9521
ALA-Al293-3991301,0.0262,0.0089,0.9649
ALA-Al295-3991302,0.0086,0.0176,0.9738
ALA-Al296-3991303,0.0141,0.0029,0.983
ALA-Al297-3991304,0.0073,0.0329,0.9598
ALA-Al299-3991305,0.024,0.0053,0.9707
ALA-Al300-3991306,0.0837,0.0475,0.8688
ALA-Al301-3991307,0.0498,0.0049,0.9453
ALA-Al302-3991308,0.0061,0.0028,0.9911
ALA-Al303-3991309,0.0982,0.0023,0.8995
ALA-Al304-3991310,0.0126,0.0122,0.9752
ALA-Al305-3991311,0.0294,0.0053,0.9653
ALA-Al306-3991312,0.053,0.0067,0.9403
ALA-Al307-3991313,0.0203,0.0094,0.9703
ALA-Al308-3991314,0.0253,0.0154,0.9593
ALA-Al318-3991315,0.0371,0.0099,0.953
ALA-Al319-3991316,0.0228,0.0024,0.9748
ALA-Al320-3991317,0.0647,0.0058,0.9295
ALA-Al321-3991414,0.0192,0.0036,0.9772
ALA-Al324-3991415,0.0165,0.0032,0.9803
ALA-Al325-3991416,0.0292,0.0311,0.9397
ALA-Al326-3991417,0.0176,0.0052,0.9772
ALA-Al327-3991418,0.0217,0.0072,0.9711
ALA-Al329-3991419,0.0059,0.0063,0.9878
ALA-Al331-3991420,0.0078,0.0058,0.9864
ALA-Al333-3991421,0.0046,0.0034,0.992
ALA-Al336-3991422,0.0473,0.0036,0.9491
ALA-Al338-3991423,0.018,0.0061,0.9759
ALA-Al342-3991424,0.0088,0.0031,0.9881
