,0,1,2,3
ALA-AL402-3991433,0.9588,0.0059,0.0336,0.0017
ALA-AL403-3991434,0.9163,0.0216,0.0608,0.0013
ALA-AL405-3991436,0.9478,0.0115,0.0352,0.0055
ALA-AL406-3991437,0.9415,0.0217,0.0357,0.0011
ALA-AL407-3991438,0.985,0.0041,0.01,0.0009
ALA-AL408-3991439,0.7862,0.1485,0.064,0.0013
ALA-AL409-3991440,0.9507,0.0112,0.0371,0.001
ALA-AL410-3991441,0.9788,0.0043,0.0155,0.0014
ALA-AL411-3991442,0.9533,0.0155,0.0274,0.0038
ALA-AL412-3991443,0.9562,0.0078,0.035,0.001
ALA-AL413-3991444,0.952,0.0058,0.0401,0.0021
ALA-AL414-3991445,0.8399,0.0065,0.1522,0.0014
ALA-AL415-3991446,0.9613,0.0128,0.0249,0.001
ALA-AL416-3991447,0.9626,0.0063,0.0279,0.0032
ALA-AL417-3991448,0.9112,0.0281,0.0587,0.002
ALA-AL418-3991449,0.961,0.0046,0.0331,0.0013
ALA-AL419-3991450,0.8217,0.046,0.126,0.0063
ALA-AL420-3991451,0.9569,0.0195,0.0134,0.0102
ALA-AL422-3991452,0.9703,0.0101,0.0135,0.0061
ALA-AL423-3991453,0.8683,0.0341,0.0943,0.0033
ALA-AL424-4013486,0.8158,0.0061,0.0877,0.0904
ALA-AL425-3991454,0.9341,0.0207,0.0429,0.0023
ALA-AL426-3991455,0.9424,0.0153,0.0392,0.0031
ALA-AL427-3991456,0.9389,0.0186,0.0378,0.0047
ALA-AL429-3991457,0.8722,0.0067,0.12,0.0011
ALA-AL430-3991458,0.9705,0.0094,0.0179,0.0022
ALA-AL431-3991459,0.8693,0.0144,0.1136,0.0027
ALA-AL432-3991460,0.9672,0.0069,0.0247,0.0012
ALA-AL433-3991461,0.9414,0.0041,0.0526,0.0019
ALA-AL434-3991462,0.9443,0.0049,0.0478,0.003
ALA-AL435-3991463,0.9681,0.0049,0.0179,0.0091
ALA-AL436-3991464,0.9668,0.005,0.0267,0.0015
ALA-AL437-3991465,0.9128,0.0137,0.0411,0.0324
ALA-AL439-3991466,0.9164,0.0076,0.0741,0.0019
ALA-AL440-3991467,0.8561,0.0182,0.0308,0.095
ALA-AL441-3991468,0.6626,0.0132,0.3043,0.0198
ALA-AL442-3991469,0.9655,0.0063,0.0274,0.0008
ALA-Al003-3991431,0.9145,0.0226,0.0616,0.0013
ALA-Al272-3991284,0.9776,0.0095,0.0115,0.0014
ALA-Al274-3991285,0.9505,0.0097,0.038,0.0018
ALA-Al275-3991286,0.9571,0.0052,0.0261,0.0116
ALA-Al277-3991287,0.9133,0.0063,0.0792,0.0012
ALA-Al278-3991288,0.9318,0.0236,0.0434,0.0012
ALA-Al279-3991289,0.908,0.0053,0.0769,0.0098
ALA-Al280-3991290,0.9538,0.0264,0.0176,0.0022
ALA-Al281-3991291,0.6788,0.0165,0.303,0.0017
ALA-Al282-3991292,0.9415,0.0172,0.0304,0.0109
ALA-Al283-3991293,0.9307,0.0158,0.0521,0.0014
ALA-Al285-3991294,0.9181,0.0382,0.0416,0.0021
ALA-Al286-3991295,0.8936,0.0335,0.0717,0.0012
ALA-Al287-3991296,0.9701,0.0111,0.0183,0.0005
ALA-Al288-3991297,0.9625,0.0141,0.0177,0.0057
ALA-Al290-3991298,0.9628,0.009,0.0249,0.0033
ALA-Al291-3991299,0.8089,0.0369,0.1498,0.0044
ALA-Al292-3991300,0.9208,0.0186,0.0587,0.0019
ALA-Al293-3991301,0.9537,0.0074,0.0292,0.0097
ALA-Al295-3991302,0.9502,0.0167,0.0303,0.0028
ALA-Al296-3991303,0.9112,0.0051,0.0822,0.0015
ALA-Al297-3991304,0.9003,0.0862,0.0121,0.0014
ALA-Al299-3991305,0.9447,0.0154,0.0392,0.0007
ALA-Al300-3991306,0.8888,0.015,0.0183,0.0779
ALA-Al301-3991307,0.8283,0.015,0.1541,0.0025
ALA-Al302-3991308,0.9549,0.0081,0.0331,0.0039
ALA-Al303-3991309,0.9255,0.0034,0.0624,0.0087
ALA-Al304-3991310,0.9497,0.0122,0.0342,0.0039
ALA-Al305-3991311,0.9379,0.0042,0.043,0.0149
ALA-Al306-3991312,0.9547,0.0103,0.0336,0.0014
ALA-Al307-3991313,0.886,0.0219,0.0912,0.0009
ALA-Al308-3991314,0.9586,0.018,0.0219,0.0015
ALA-Al318-3991315,0.9363,0.0306,0.0288,0.0043
ALA-Al319-3991316,0.9769,0.0045,0.016,0.0026
ALA-Al320-3991317,0.8415,0.014,0.143,0.0015
ALA-Al321-3991414,0.9636,0.0039,0.0282,0.0043
ALA-Al324-3991415,0.9594,0.0074,0.0322,0.001
ALA-Al325-3991416,0.9277,0.008,0.0199,0.0444
ALA-Al326-3991417,0.9406,0.0085,0.0495,0.0014
ALA-Al327-3991418,0.9305,0.0105,0.0403,0.0187
ALA-Al329-3991419,0.9593,0.0064,0.0292,0.0051
ALA-Al331-3991420,0.9723,0.0089,0.0117,0.0071
ALA-Al333-3991421,0.9464,0.0204,0.032,0.0012
ALA-Al336-3991422,0.941,0.0065,0.0369,0.0156
ALA-Al338-3991423,0.9818,0.0059,0.0118,0.0005
ALA-Al342-3991424,0.9447,0.0087,0.0454,0.0012
ALA-Al344-3991425,0.9349,0.0384,0.0244,0.0023
ALA-Al346-3991426,0.9495,0.0201,0.0263,0.0041
ALA-Al4-2562181,0.7189,0.0273,0.2483,0.0055
ALA-KLS1661-4013402,0.1702,0.0272,0.7733,0.0293
ALA-KLS1663-4013404,0.1922,0.0254,0.7544,0.028
ALA-KLS1664-4013405,0.1918,0.0078,0.7849,0.0155
ALA-KLS1682-4013423,0.1156,0.008,0.8682,0.0082
ALA-KLS1690-4013430,0.1243,0.0272,0.8204,0.0281
ALA-KLS1140-2892558,0.1431,0.0387,0.7949,0.0233
ALA-KLS1161-2892441,0.2872,0.0047,0.6936,0.0145
ALA-KLS1162-2892512,0.1185,0.0599,0.8094,0.0122
ALA-KLS1163-2892427,0.1704,0.0188,0.7954,0.0154
ALA-KLS1165-2892485,0.3139,0.0103,0.6446,0.0313
ALA-KLS1166-2892541,0.1976,0.0098,0.7828,0.0098
ALA-KLS1167-2892484,0.1187,0.0044,0.8482,0.0287
ALA-KLS1168-2892413,0.1742,0.0056,0.804,0.0162
ALA-KLS1169-2892448,0.2339,0.0229,0.7225,0.0207
ALA-KLS1170-2892511,0.1648,0.0213,0.7936,0.0203
ALA-KLS1366-3593364,0.1725,0.0063,0.7972,0.024
ALA-KLS1373-3593328,0.0882,0.1829,0.685,0.0439
ALA-KLS1387-3593387,0.3187,0.0143,0.662,0.005
ALA-KLS1413-3593365,0.1307,0.0049,0.8573,0.0071
ALA-KLS1415-3593359,0.1634,0.0432,0.766,0.0274
ALA-VU15-2892510,0.1188,0.0303,0.8272,0.0237
ALA-VU20-2892394,0.1565,0.0129,0.8235,0.0071
ALA-VU21-2892380,0.2215,0.0071,0.7585,0.0129
ALA-VU33-2892383,0.1045,0.058,0.8069,0.0306
ALA-VU37-2892482,0.3307,0.0194,0.6373,0.0126
ALA-VU47-2892477,0.3012,0.0076,0.6885,0.0027
ALA-VU50-2892527,0.3515,0.0147,0.6092,0.0246
ALA-KLS0793-2892513,0.1077,0.0197,0.8693,0.0033
ALA-KLS0796-2892514,0.1388,0.0209,0.8205,0.0198
ALA-KLS0797-2892471,0.1236,0.0132,0.8462,0.017
ALA-KLS0857-2892463,0.1124,0.0208,0.8381,0.0287
ALA-KLS0871-2892523,0.1404,0.0203,0.806,0.0333
ALA-KLS0872-2892526,0.1213,0.0064,0.8665,0.0058
ALA-KLS1444-3593398,0.1215,0.0442,0.8,0.0344
ALA-KLS1448-3593341,0.1247,0.0064,0.8355,0.0334
ALA-KLS1452-3593342,0.2747,0.0135,0.7043,0.0075
ALA-KLS1467-3593390,0.1875,0.0321,0.7685,0.0119
ALA-KLS1474-3593384,0.1564,0.0128,0.8059,0.0249
ALA-KLS1479-3593389,0.1668,0.009,0.8067,0.0175
ALA-KLS1492-3593391,0.1409,0.0095,0.8434,0.0062
APO-KLS1002-2562146,0.1824,0.0069,0.7871,0.0236
ALA-MAGNT-R36654-2583996,0.1223,0.6011,0.273,0.0036
ALA-R29880-2892521,0.1683,0.6308,0.1963,0.0046
ALA-R36967-2892426,0.2759,0.4871,0.1701,0.0669
ALA-R36974-2892437,0.1782,0.7283,0.0289,0.0646
ALA-R37003-2892459,0.0863,0.5797,0.2964,0.0376
ALA-R37010-2892460,0.054,0.7281,0.1699,0.048
ALA-R37025-2892461,0.111,0.7766,0.0867,0.0257
ALA-R37027-2892458,0.1141,0.5501,0.305,0.0308
ALA-R37032-2892401,0.2492,0.6178,0.132,0.001
ALA-R37034-2892486,0.183,0.6786,0.1322,0.0062
ALA-R37101-2892544,0.0854,0.5539,0.3508,0.0099
ALA-R37113-2892490,0.0581,0.6311,0.1081,0.2027
ALA-R37116-2892470,0.2487,0.6767,0.0716,0.0029
ALA-R37122-2892464,0.1315,0.6156,0.1471,0.1058
ALA-R37128-2892424,0.2096,0.7051,0.0822,0.0031
ALA-R37140-2892462,0.3291,0.634,0.0295,0.0074
ALA-VU121-2562122,0.7414,0.0245,0.2245,0.0096
ALA-VU130-2562201,0.3352,0.0817,0.5253,0.0578
ALA-VU132-2562114,0.3434,0.0717,0.579,0.0059
ALA-NC_2019_217-2117818,0.0037,0.9925,0.0038,0.0
ALA-NC_2019_247-2117816,0.0039,0.9917,0.0043,0.0001
ALA-NC_Jan2019_208-2562133,0.0038,0.9923,0.0039,0.0
ALA-NC_Jan2019_213-2892489,0.012,0.9776,0.0099,0.0005
ALA-NC_Jan2019_217-2892446,0.0036,0.9915,0.0043,0.0006
ALA-NC_Jan2019_227-2892537,0.0111,0.9542,0.0337,0.001
ALA-NC_Jan2019_247-2892476,0.0038,0.9912,0.0041,0.0009
ALA-NC_Jan2019_253-3446972,0.0038,0.9484,0.0067,0.0411
ALA-NC_Jan2019_269-3446978,0.0191,0.9175,0.0156,0.0478
ALA-NC_Jan2019_271-2892518,0.0261,0.9466,0.0261,0.0012
ALA-NC_Jan2019_275-3446981,0.0035,0.9707,0.0048,0.021
ALA-NC_Jan2019_282-2562143,0.0031,0.9917,0.0047,0.0005
ALA-Al376-3991427,0.151,0.6264,0.2184,0.0042
ALA-Al377-3991428,0.2208,0.6601,0.1107,0.0084
ALA-Al378-3991429,0.2742,0.584,0.1409,0.0009
ALA-Al379-3991430,0.276,0.5573,0.1622,0.0045
ALA-KLS0564-R174540-2892378,0.1179,0.0566,0.8017,0.0238
ALA-KLS1526-3593366,0.2139,0.0042,0.7697,0.0122
ALA-KLS1548-3593373,0.1767,0.0082,0.79,0.0251
ALA-KLS1549-3593354,0.1278,0.015,0.8248,0.0324
ALA-KLS1555-3593323,0.1138,0.0163,0.8507,0.0192
ALA-SS170808-01-2562218,0.1081,0.0041,0.878,0.0098
ALA-SS170808-06-2892529,0.1963,0.007,0.7838,0.0129
ALA-SS170809-01-2892375,0.1143,0.0074,0.842,0.0363
ALA-SS170809-03-2892475,0.1783,0.0317,0.7719,0.0181
ALA-SS170810-01-2892386,0.1231,0.0075,0.8466,0.0228
ALA-SS170813-01-2892422,0.175,0.0079,0.8107,0.0064
ALA-SS170815-01-2892435,0.3345,0.0164,0.6371,0.012
ALA-SS170815-03-2892473,0.1392,0.0103,0.8215,0.029
ALA-SS170815-04-2892440,0.1243,0.0122,0.8187,0.0448
ALA-SS170816-01-2892493,0.1509,0.0101,0.8059,0.0331
ALA-SS170820-05-2892447,0.2063,0.0306,0.7131,0.05
ALA-SS170822-01-2892494,0.1595,0.0115,0.8012,0.0278
ALA-SS170822-02-2892495,0.1052,0.0043,0.8331,0.0574
ALA-SS170822-03-2892528,0.1832,0.0075,0.7794,0.0299
ALA-SS171011-02-2892425,0.1588,0.0163,0.8027,0.0222
ALA-SS171011-03-2892496,0.2425,0.0317,0.7003,0.0255
ALA-SS171018-02-2892517,0.1142,0.0058,0.8473,0.0327
ALA-SS171025-01-2892506,0.1079,0.0382,0.8268,0.0271
ALA-SS171104-01-2892432,0.1637,0.0169,0.8151,0.0043
ALA-SS171105-01-2892472,0.1319,0.0087,0.8349,0.0245
ALA-SS171106-02-2892479,0.236,0.0143,0.7426,0.0071
ALA-SS171106-03-2892404,0.3185,0.0089,0.6708,0.0018
ALA-VU51-2892500,0.1313,0.0214,0.8398,0.0075
ALA-VU53-2892376,0.1582,0.0217,0.8082,0.0119
ALA-VU62-2892417,0.3542,0.02,0.5988,0.027
ALA-KLS0327-2892561,0.9539,0.022,0.022,0.0021
APO-BD304-2892487,0.1337,0.0071,0.8253,0.0339
APO-BD320-2892516,0.1308,0.0119,0.8394,0.0179
APO-BD325-2892538,0.2518,0.0246,0.7092,0.0144
APO-BD326-2892550,0.1894,0.0104,0.7936,0.0066
APO-BD330-2892535,0.1151,0.0075,0.873,0.0044
APO-BD331-2892519,0.1684,0.0131,0.8006,0.0179
APO-BD337-2892483,0.1051,0.0072,0.8815,0.0062
APO-BD338-2892540,0.1347,0.0043,0.8453,0.0157
APO-BD339-2892520,0.2108,0.0056,0.7655,0.0181
APO-BD342-2892423,0.1975,0.0086,0.7703,0.0236
