,0,1,2,3,4
ALA-AL402-3991433,0.9699,0.0016,0.0016,0.0209,0.006
ALA-AL403-3991434,0.9228,0.0019,0.0017,0.0548,0.0188
ALA-AL405-3991436,0.9461,0.0028,0.0028,0.0405,0.0078
ALA-AL406-3991437,0.9395,0.0003,0.0003,0.0497,0.0102
ALA-AL407-3991438,0.9734,0.0005,0.0006,0.0226,0.0029
ALA-AL408-3991439,0.7766,0.0005,0.0006,0.1563,0.066
ALA-AL409-3991440,0.954,0.0013,0.0013,0.0264,0.017
ALA-AL410-3991441,0.9738,0.0013,0.0015,0.0205,0.0029
ALA-AL411-3991442,0.949,0.0024,0.0024,0.0156,0.0306
ALA-AL412-3991443,0.921,0.0011,0.0011,0.0676,0.0092
ALA-AL413-3991444,0.9623,0.0011,0.0011,0.0309,0.0046
ALA-AL414-3991445,0.8893,0.0011,0.0011,0.1063,0.0022
ALA-AL415-3991446,0.8836,0.0016,0.0013,0.1096,0.0039
ALA-AL416-3991447,0.9663,0.0043,0.0042,0.0153,0.0099
ALA-AL417-3991448,0.928,0.0036,0.0033,0.0513,0.0138
ALA-AL418-3991449,0.9314,0.0015,0.0015,0.063,0.0026
ALA-AL419-3991450,0.8557,0.0036,0.0038,0.1142,0.0227
ALA-AL420-3991451,0.9207,0.0057,0.0052,0.0481,0.0203
ALA-AL422-3991452,0.9672,0.0012,0.0013,0.024,0.0063
ALA-AL423-3991453,0.9299,0.001,0.001,0.0533,0.0148
ALA-AL424-4013486,0.8003,0.0436,0.0451,0.1016,0.0094
ALA-AL425-3991454,0.878,0.0014,0.0015,0.1029,0.0162
ALA-AL426-3991455,0.9654,0.0006,0.0007,0.0242,0.0091
ALA-AL427-3991456,0.9648,0.001,0.0008,0.0186,0.0148
ALA-AL429-3991457,0.9253,0.0025,0.0024,0.067,0.0028
ALA-AL430-3991458,0.9641,0.0012,0.0013,0.0279,0.0055
ALA-AL431-3991459,0.8277,0.0011,0.0011,0.1594,0.0107
