,0,1
ALA-AL402-3991433,0.0017,0.9983
ALA-AL403-3991434,0.0071,0.9929
ALA-AL405-3991436,0.0038,0.9962
ALA-AL406-3991437,0.0041,0.9959
ALA-AL407-3991438,0.0018,0.9982
ALA-AL408-3991439,0.0264,0.9736
ALA-AL409-3991440,0.0037,0.9963
ALA-AL410-3991441,0.0017,0.9983
ALA-AL411-3991442,0.0133,0.9867
ALA-AL412-3991443,0.0033,0.9967
ALA-AL413-3991444,0.0021,0.9979
ALA-AL414-3991445,0.0021,0.9979
ALA-AL415-3991446,0.0033,0.9967
ALA-AL416-3991447,0.0019,0.9981
ALA-AL417-3991448,0.0085,0.9915
ALA-AL418-3991449,0.0022,0.9978
ALA-AL419-3991450,0.0097,0.9903
ALA-AL420-3991451,0.0143,0.9857
ALA-AL422-3991452,0.0034,0.9966
ALA-AL423-3991453,0.0075,0.9925
ALA-AL424-4013486,0.154,0.846
ALA-AL425-3991454,0.0035,0.9965
ALA-AL426-3991455,0.0037,0.9963
ALA-AL427-3991456,0.0045,0.9955
ALA-AL429-3991457,0.0028,0.9972
ALA-AL430-3991458,0.0058,0.9942
ALA-AL431-3991459,0.004,0.996
ALA-AL432-3991460,0.0031,0.9969
ALA-AL433-3991461,0.0018,0.9982
ALA-AL434-3991462,0.0024,0.9976
ALA-AL435-3991463,0.0027,0.9973
ALA-AL436-3991464,0.0025,0.9975
ALA-AL437-3991465,0.01,0.99
ALA-AL439-3991466,0.0063,0.9937
ALA-AL440-3991467,0.129,0.871
ALA-AL441-3991468,0.011,0.989
ALA-AL442-3991469,0.0024,0.9976
ALA-Al003-3991431,0.0048,0.9952
ALA-Al272-3991284,0.0038,0.9962
ALA-Al274-3991285,0.0038,0.9962
ALA-Al275-3991286,0.0018,0.9982
ALA-Al277-3991287,0.0016,0.9984
ALA-Al278-3991288,0.0056,0.9944
ALA-Al279-3991289,0.0028,0.9972
ALA-Al280-3991290,0.0057,0.9943
ALA-Al281-3991291,0.0041,0.9959
ALA-Al282-3991292,0.0044,0.9956
ALA-Al283-3991293,0.003,0.997
ALA-Al285-3991294,0.0119,0.9881
ALA-Al286-3991295,0.0106,0.9894
ALA-Al287-3991296,0.0042,0.9958
ALA-Al288-3991297,0.0052,0.9948
ALA-Al290-3991298,0.0041,0.9959
ALA-Al291-3991299,0.0084,0.9916
ALA-Al292-3991300,0.0037,0.9963
ALA-Al293-3991301,0.0041,0.9959
ALA-Al295-3991302,0.0027,0.9973
ALA-Al296-3991303,0.0019,0.9981
ALA-Al297-3991304,0.046,0.954
ALA-Al299-3991305,0.0052,0.9948
ALA-Al300-3991306,0.0337,0.9663
ALA-Al301-3991307,0.0025,0.9975
ALA-Al302-3991308,0.0045,0.9955
ALA-Al303-3991309,0.0015,0.9985
ALA-Al304-3991310,0.0052,0.9948
ALA-Al305-3991311,0.0027,0.9973
ALA-Al306-3991312,0.003,0.997
ALA-Al307-3991313,0.0032,0.9968
ALA-Al308-3991314,0.0052,0.9948
ALA-Al318-3991315,0.004,0.996
ALA-Al319-3991316,0.0024,0.9976
ALA-Al320-3991317,0.0029,0.9971
ALA-Al321-3991414,0.0014,0.9986
ALA-Al324-3991415,0.0028,0.9972
ALA-Al325-3991416,0.0149,0.9851
ALA-Al326-3991417,0.0034,0.9966
ALA-Al327-3991418,0.0093,0.9907
ALA-Al329-3991419,0.0027,0.9973
ALA-Al331-3991420,0.0037,0.9963
ALA-Al333-3991421,0.0029,0.9971
ALA-Al336-3991422,0.002,0.998
ALA-Al338-3991423,0.0024,0.9976
ALA-Al342-3991424,0.0022,0.9978
ALA-Al344-3991425,0.0056,0.9944
ALA-Al346-3991426,0.011,0.989
ALA-Al4-2562181,0.0132,0.9868
ALA-KLS1661-4013402,0.0149,0.9851
ALA-KLS1663-4013404,0.0105,0.9895
ALA-KLS1664-4013405,0.0046,0.9954
ALA-KLS1682-4013423,0.0075,0.9925
ALA-KLS1690-4013430,0.0517,0.9483
ALA-KLS1140-2892558,0.0211,0.9789
ALA-KLS1161-2892441,0.0023,0.9977
ALA-KLS1162-2892512,0.0247,0.9753
ALA-KLS1163-2892427,0.0114,0.9886
ALA-KLS1165-2892485,0.0049,0.9951
ALA-KLS1166-2892541,0.006,0.994
ALA-KLS1167-2892484,0.0038,0.9962
ALA-KLS1168-2892413,0.0041,0.9959
ALA-KLS1169-2892448,0.0077,0.9923
ALA-KLS1170-2892511,0.0063,0.9937
ALA-KLS1366-3593364,0.0035,0.9965
ALA-KLS1373-3593328,0.2038,0.7962
ALA-KLS1387-3593387,0.0044,0.9956
ALA-KLS1413-3593365,0.0021,0.9979
ALA-KLS1415-3593359,0.0277,0.9723
ALA-VU15-2892510,0.0251,0.9749
ALA-VU20-2892394,0.0095,0.9905
ALA-VU21-2892380,0.0026,0.9974
ALA-VU33-2892383,0.072,0.928
ALA-VU37-2892482,0.0084,0.9916
ALA-VU47-2892477,0.0037,0.9963
ALA-VU50-2892527,0.0044,0.9956
ALA-KLS0793-2892513,0.0098,0.9902
ALA-KLS0796-2892514,0.0135,0.9865
ALA-KLS0797-2892471,0.0099,0.9901
ALA-KLS0857-2892463,0.0201,0.9799
ALA-KLS0871-2892523,0.0156,0.9844
ALA-KLS0872-2892526,0.004,0.996
ALA-KLS1444-3593398,0.0368,0.9632
ALA-KLS1448-3593341,0.008,0.992
ALA-KLS1452-3593342,0.0096,0.9904
ALA-KLS1467-3593390,0.0257,0.9743
ALA-KLS1474-3593384,0.0078,0.9922
ALA-KLS1479-3593389,0.0053,0.9947
ALA-KLS1492-3593391,0.0081,0.9919
APO-KLS1002-2562146,0.0052,0.9948
ALA-MAGNT-R36654-2583996,0.7386,0.2614
ALA-R29880-2892521,0.8162,0.1838
ALA-R36967-2892426,0.8182,0.1818
ALA-R36974-2892437,0.9448,0.0552
ALA-R37003-2892459,0.7854,0.2146
ALA-R37010-2892460,0.8897,0.1103
ALA-R37025-2892461,0.8959,0.1041
ALA-R37027-2892458,0.6783,0.3217
ALA-R37032-2892401,0.7813,0.2187
ALA-R37034-2892486,0.8328,0.1672
ALA-R37101-2892544,0.7389,0.2611
ALA-R37113-2892490,0.8743,0.1257
ALA-R37116-2892470,0.7796,0.2204
ALA-R37122-2892464,0.8733,0.1267
ALA-R37128-2892424,0.8207,0.1793
ALA-R37140-2892462,0.7373,0.2627
ALA-VU121-2562122,0.0192,0.9808
ALA-VU130-2562201,0.1138,0.8862
ALA-VU132-2562114,0.0473,0.9527
ALA-NC_2019_217-2117818,0.9978,0.0022
ALA-NC_2019_247-2117816,0.9981,0.0019
ALA-NC_Jan2019_208-2562133,0.9978,0.0022
ALA-NC_Jan2019_213-2892489,0.9934,0.0066
ALA-NC_Jan2019_217-2892446,0.9976,0.0024
ALA-NC_Jan2019_227-2892537,0.9921,0.0079
ALA-NC_Jan2019_247-2892476,0.998,0.002
ALA-NC_Jan2019_253-3446972,0.9987,0.0013
ALA-NC_Jan2019_269-3446978,0.9952,0.0048
ALA-NC_Jan2019_271-2892518,0.9957,0.0043
ALA-NC_Jan2019_275-3446981,0.9987,0.0013
ALA-NC_Jan2019_282-2562143,0.9982,0.0018
ALA-Al376-3991427,0.736,0.264
ALA-Al377-3991428,0.8295,0.1705
ALA-Al378-3991429,0.714,0.286
ALA-Al379-3991430,0.7036,0.2964
ALA-KLS0564-R174540-2892378,0.1049,0.8951
ALA-KLS1526-3593366,0.0022,0.9978
ALA-KLS1548-3593373,0.0032,0.9968
ALA-KLS1549-3593354,0.0138,0.9862
ALA-KLS1555-3593323,0.0317,0.9683
ALA-SS170808-01-2562218,0.0024,0.9976
ALA-SS170808-06-2892529,0.0029,0.9971
ALA-SS170809-01-2892375,0.0075,0.9925
ALA-SS170809-03-2892475,0.0128,0.9872
ALA-SS170810-01-2892386,0.0037,0.9963
ALA-SS170813-01-2892422,0.0024,0.9976
ALA-SS170815-01-2892435,0.0056,0.9944
ALA-SS170815-03-2892473,0.0063,0.9937
ALA-SS170815-04-2892440,0.0154,0.9846
ALA-SS170816-01-2892493,0.0065,0.9935
ALA-SS170820-05-2892447,0.0542,0.9458
ALA-SS170822-01-2892494,0.0056,0.9944
ALA-SS170822-02-2892495,0.007,0.993
ALA-SS170822-03-2892528,0.0081,0.9919
ALA-SS171011-02-2892425,0.0129,0.9871
ALA-SS171011-03-2892496,0.0157,0.9843
ALA-SS171018-02-2892517,0.0043,0.9957
ALA-SS171025-01-2892506,0.0414,0.9586
ALA-SS171104-01-2892432,0.004,0.996
ALA-SS171105-01-2892472,0.0102,0.9898
ALA-SS171106-02-2892479,0.0091,0.9909
ALA-SS171106-03-2892404,0.0026,0.9974
ALA-VU51-2892500,0.0065,0.9935
ALA-VU53-2892376,0.0067,0.9933
ALA-VU62-2892417,0.0097,0.9903
ALA-KLS0327-2892561,0.004,0.996
APO-BD304-2892487,0.0042,0.9958
APO-BD320-2892516,0.0072,0.9928
APO-BD325-2892538,0.0143,0.9857
APO-BD326-2892550,0.021,0.979
APO-BD330-2892535,0.0039,0.9961
APO-BD331-2892519,0.0068,0.9932
APO-BD337-2892483,0.0056,0.9944
APO-BD338-2892540,0.0025,0.9975
APO-BD339-2892520,0.003,0.997
APO-BD342-2892423,0.0064,0.9936
