,0,1,2,3,4
ALA-AL402-3991433,0.0008,0.0008,0.9691,0.0264,0.0029
ALA-AL403-3991434,0.0007,0.0008,0.9372,0.0469,0.0144
ALA-AL405-3991436,0.0023,0.002,0.969,0.0199,0.0068
ALA-AL406-3991437,0.0009,0.0009,0.9677,0.0147,0.0158
ALA-AL407-3991438,0.0001,0.0,0.9889,0.0083,0.0027
ALA-AL408-3991439,0.0008,0.0009,0.869,0.0394,0.0899
ALA-AL409-3991440,0.0004,0.0004,0.9713,0.0184,0.0095
ALA-AL410-3991441,0.0005,0.0005,0.9878,0.0087,0.0025
ALA-AL411-3991442,0.0036,0.0037,0.959,0.0166,0.0171
ALA-AL412-3991443,0.0008,0.0006,0.9661,0.0266,0.0059
ALA-AL413-3991444,0.001,0.001,0.9789,0.0158,0.0033
ALA-AL414-3991445,0.0007,0.0006,0.8565,0.1383,0.0039
ALA-AL415-3991446,0.0006,0.0006,0.9769,0.0155,0.0064
ALA-AL416-3991447,0.002,0.0019,0.9721,0.02,0.004
ALA-AL417-3991448,0.001,0.001,0.9034,0.057,0.0376
ALA-AL418-3991449,0.0003,0.0003,0.9702,0.0252,0.004
ALA-AL419-3991450,0.0035,0.0035,0.8632,0.1079,0.0219
ALA-AL420-3991451,0.005,0.0051,0.9749,0.0077,0.0073
ALA-AL422-3991452,0.0038,0.0036,0.9767,0.0093,0.0066
ALA-AL423-3991453,0.0021,0.0021,0.9059,0.0725,0.0174
ALA-AL424-4013486,0.0492,0.0487,0.8328,0.0648,0.0045
ALA-AL425-3991454,0.0022,0.002,0.9628,0.024,0.009
ALA-AL426-3991455,0.001,0.001,0.964,0.0274,0.0066
ALA-AL427-3991456,0.0019,0.0019,0.9637,0.0237,0.0088
ALA-AL429-3991457,0.0013,0.0013,0.9055,0.0889,0.003
ALA-AL430-3991458,0.002,0.0019,0.9821,0.009,0.005
ALA-AL431-3991459,0.0014,0.0014,0.886,0.1074,0.0038
ALA-AL432-3991460,0.0004,0.0003,0.9843,0.0109,0.0041
ALA-AL433-3991461,0.0011,0.0012,0.9653,0.0301,0.0023
ALA-AL434-3991462,0.002,0.0022,0.955,0.0368,0.004
ALA-AL435-3991463,0.0053,0.0058,0.9709,0.0135,0.0045
ALA-AL436-3991464,0.0004,0.0005,0.9774,0.0184,0.0033
