,0,1
HMA-KLS0629-2117699,0.9378,0.0622
HMA-KLS0630-2117717,0.9721,0.0279
HMA-KLS0631-2117697,0.9602,0.0398
HMA-KLS0633-2117719,0.9637,0.0363
HMA-KLS0647-2117698,0.9751,0.0249
HMA-KLS0652-2117715,0.9619,0.0381
HMA-KLS0662-2117700,0.9431,0.0569
HMA-KLS0676-2117735,0.9432,0.0568
HMA-KLS0762-2117712,0.9641,0.0359
HMA-KLS1016-2117701,0.9424,0.0576
HMA-KLS1017-2117720,0.9602,0.0398
HMA-KLS1020-2117696,0.9725,0.0275
HMA-KLS1379-3593334,0.9327,0.0673
HMA-KLS1416-3593319,0.9403,0.0597
HMA-KLS1421-3593374,0.9691,0.0309
HMA-VU46-2117754,0.9215,0.0785
HMA-KLS0798-2117733,0.9535,0.0465
HMA-KLS0799-2117731,0.9579,0.0421
HMA-KLS0801-2117727,0.9614,0.0386
HMA-KLS0808-2117740,0.9575,0.0425
HMA-KLS0813-2117730,0.9532,0.0468
HMA-KLS0898-2117745,0.9306,0.0694
HMA-KLS0913-2117749,0.9491,0.0509
HMA-KLS0933-2117744,0.9317,0.0683
HMA-Dm001-3991498,0.911,0.089
HMA-Dm004-3991499,0.9306,0.0694
HMA-Dm005-3991500,0.9261,0.0739
HMA-Dm007-3991501,0.9248,0.0752
HMA-Dm008-3991502,0.9095,0.0905
HMA-Dm010-3991503,0.9518,0.0482
HMA-Dm011-3991504,0.9519,0.0481
HMA-Dm014-3991505,0.9413,0.0587
HMA-Dm015-3991506,0.9559,0.0441
HMA-Dm018-3991507,0.9591,0.0409
HMA-Dm028-3991509,0.8784,0.1216
HMA-Dm029-4019824,0.932,0.068
HMA-Dm032-4019825,0.8766,0.1234
HMA-Dm045_was_He078-4019826,0.9559,0.0441
HMA-J84471-2117859,0.9006,0.0994
HMA-MAGNT-R36643-2117742,0.9372,0.0628
HMA-R29873-2117819,0.8819,0.1181
HMA-R29875-2117836,0.9165,0.0835
HMA-R36496-2117767,0.9267,0.0733
HMA-R36640-2117798,0.955,0.045
HMA-R36656-2117844,0.9181,0.0819
HMA-R36660-2117840,0.929,0.071
HMA-R36982-2117760,0.9277,0.0723
HMA-R37004-2117761,0.9416,0.0584
HMA-R37005-2117762,0.9183,0.0817
HMA-R37023-2117763,0.9149,0.0851
HMA-R37031-2117764,0.9354,0.0646
HMA-R37037-2117765,0.9155,0.0845
HMA-R37138-2117766,0.911,0.089
HMA-NC_166-2117725,0.8012,0.1988
HMA-NC_167-2117726,0.8003,0.1997
HMA-NC_169-2117729,0.8013,0.1987
HMA-NC_173-2117703,0.8027,0.1973
HMA-NC_174-2117743,0.8011,0.1989
HMA-NC_176-2117714,0.8017,0.1983
HMA-NC_179-2117695,0.8007,0.1993
HMA-NC_180-2117713,0.8028,0.1972
HMA-NC_181-2117711,0.8012,0.1988
HMA-NC_189-2117710,0.8073,0.1927
HMA-KLS1514-3593378,0.9619,0.0381
HMA-KLS1522-3593369,0.9684,0.0316
HMA-KLS1538-3593349,0.9627,0.0373
HMA-KLS1553-3593325,0.9721,0.0279
HMA-KLS1554-3593316,0.9625,0.0375
HMA-SS170809_02-2117728,0.9603,0.0397
HMA-SS170812_01-2117751,0.9347,0.0653
HMA-SS170814_02-2117746,0.9436,0.0564
HMA-SS170818_01-2117748,0.951,0.049
HMA-SS170820_01-2117747,0.9461,0.0539
HMA-SS171024_01-2117723,0.9684,0.0316
HMA-VU55-2117702,0.9529,0.0471
HMA-VU61-2117705,0.9441,0.0559
HMA-KLS1692-4013432,0.9681,0.0319
HMA-KLS1694-4013434,0.9685,0.0315
HMA-KLS1697-4013437,0.9724,0.0276
HMA-KLS1699-4013439,0.9704,0.0296
HMA-KLS1703-4013443,0.9681,0.0319
HMA-KLS1705-4013445,0.9687,0.0313
HMA-R154981-2117752,0.972,0.028
HMA-WAM-R154978-2562207,0.9736,0.0264
HMA-WAM-R154980-2562264,0.9629,0.0371
HMA-WAM-R154981-2562169,0.9693,0.0307
HMA-WAMR154978-2117736,0.8964,0.1036
HMA-KLS1711-4013451,0.9782,0.0218
HMA-J87200-2117846,0.8967,0.1033
HMA-J87202-2117845,0.8794,0.1206
HMA-J88474-2117828,0.8719,0.1281
HMA-J89073-2117861,0.8757,0.1243
