,0,1,2
HMA-KLS0629-2117699,0.0151,0.8815,0.1034
HMA-KLS0630-2117717,0.0257,0.9635,0.0108
HMA-KLS0631-2117697,0.0336,0.9407,0.0257
HMA-KLS0633-2117719,0.0341,0.9462,0.0197
HMA-KLS0647-2117698,0.0313,0.9527,0.016
HMA-KLS0652-2117715,0.0451,0.9399,0.015
HMA-KLS0662-2117700,0.0301,0.9004,0.0695
HMA-KLS0676-2117735,0.0451,0.9107,0.0442
HMA-KLS0762-2117712,0.0341,0.9458,0.0201
HMA-KLS1016-2117701,0.0467,0.9055,0.0478
HMA-KLS1017-2117720,0.0256,0.929,0.0454
HMA-KLS1020-2117696,0.0253,0.9496,0.0251
HMA-KLS1379-3593334,0.0287,0.8186,0.1526
HMA-KLS1416-3593319,0.0354,0.9068,0.0578
HMA-KLS1421-3593374,0.0361,0.9534,0.0105
HMA-VU46-2117754,0.0539,0.829,0.1171
HMA-KLS0798-2117733,0.0239,0.9282,0.0479
HMA-KLS0799-2117731,0.0372,0.9226,0.0402
HMA-KLS0801-2117727,0.0484,0.9406,0.011
HMA-KLS0808-2117740,0.0288,0.9281,0.0431
HMA-KLS0813-2117730,0.0312,0.9395,0.0293
HMA-KLS0898-2117745,0.0273,0.8671,0.1056
HMA-KLS0913-2117749,0.0319,0.9028,0.0653
HMA-KLS0933-2117744,0.0301,0.8842,0.0857
HMA-Dm001-3991498,0.0228,0.7256,0.2516
HMA-Dm004-3991499,0.0361,0.895,0.0689
HMA-Dm005-3991500,0.0261,0.8475,0.1264
HMA-Dm007-3991501,0.0239,0.839,0.1371
HMA-Dm008-3991502,0.0467,0.803,0.1503
HMA-Dm010-3991503,0.0232,0.8931,0.0837
HMA-Dm011-3991504,0.0384,0.9233,0.0383
HMA-Dm014-3991505,0.0228,0.8262,0.151
HMA-Dm015-3991506,0.0182,0.9045,0.0773
HMA-Dm018-3991507,0.0363,0.9293,0.0344
HMA-Dm028-3991509,0.1975,0.7847,0.0178
HMA-Dm029-4019824,0.0458,0.8618,0.0924
HMA-Dm032-4019825,0.2056,0.7706,0.0238
HMA-Dm045_was_He078-4019826,0.0165,0.901,0.0825
HMA-J84471-2117859,0.098,0.8631,0.0389
HMA-MAGNT-R36643-2117742,0.026,0.8735,0.1005
HMA-R29873-2117819,0.1742,0.7868,0.039
HMA-R29875-2117836,0.0651,0.8073,0.1276
HMA-R36496-2117767,0.0484,0.8391,0.1124
HMA-R36640-2117798,0.0304,0.9383,0.0313
HMA-R36656-2117844,0.0249,0.7908,0.1843
HMA-R36660-2117840,0.0469,0.867,0.0861
HMA-R36982-2117760,0.0488,0.8863,0.0649
HMA-R37004-2117761,0.0548,0.8918,0.0534
HMA-R37005-2117762,0.0386,0.7776,0.1838
HMA-R37023-2117763,0.0173,0.8041,0.1786
HMA-R37031-2117764,0.0312,0.8552,0.1136
HMA-R37037-2117765,0.0287,0.8126,0.1587
HMA-R37138-2117766,0.0203,0.8217,0.158
HMA-NC_166-2117725,0.001,0.0902,0.9088
HMA-NC_167-2117726,0.0013,0.0441,0.9546
HMA-NC_169-2117729,0.001,0.0967,0.9023
HMA-NC_173-2117703,0.0018,0.0641,0.9341
HMA-NC_174-2117743,0.0014,0.0972,0.9014
HMA-NC_176-2117714,0.001,0.0599,0.9391
HMA-NC_179-2117695,0.0016,0.086,0.9124
HMA-NC_180-2117713,0.001,0.1471,0.8519
HMA-NC_181-2117711,0.0016,0.0287,0.9697
HMA-NC_189-2117710,0.001,0.0956,0.9034
HMA-KLS1514-3593378,0.0412,0.9392,0.0196
HMA-KLS1522-3593369,0.0331,0.9576,0.0093
HMA-KLS1538-3593349,0.0408,0.9445,0.0147
HMA-KLS1553-3593325,0.0354,0.9543,0.0103
HMA-KLS1554-3593316,0.0553,0.9295,0.0152
HMA-SS170809_02-2117728,0.0354,0.9446,0.02
HMA-SS170812_01-2117751,0.0457,0.8836,0.0707
HMA-SS170814_02-2117746,0.0516,0.915,0.0334
HMA-SS170818_01-2117748,0.0641,0.896,0.0399
HMA-SS170820_01-2117747,0.037,0.8964,0.0666
HMA-SS171024_01-2117723,0.0253,0.9427,0.032
HMA-VU55-2117702,0.0192,0.9196,0.0612
HMA-VU61-2117705,0.0249,0.9017,0.0734
HMA-KLS1692-4013432,0.0361,0.9507,0.0132
HMA-KLS1694-4013434,0.0391,0.9531,0.0078
HMA-KLS1697-4013437,0.0256,0.9574,0.017
HMA-KLS1699-4013439,0.0148,0.9591,0.0261
HMA-KLS1703-4013443,0.0369,0.9539,0.0092
HMA-KLS1705-4013445,0.0373,0.951,0.0117
HMA-R154981-2117752,0.025,0.9527,0.0223
HMA-WAM-R154978-2562207,0.0404,0.9529,0.0067
HMA-WAM-R154980-2562264,0.0486,0.9376,0.0138
HMA-WAM-R154981-2562169,0.0377,0.952,0.0103
HMA-WAMR154978-2117736,0.1515,0.8296,0.0189
HMA-KLS1711-4013451,0.0246,0.9669,0.0085
HMA-J87200-2117846,0.0167,0.6624,0.3209
HMA-J87202-2117845,0.006,0.5856,0.4084
HMA-J88474-2117828,0.0186,0.594,0.3874
HMA-J89073-2117861,0.101,0.6268,0.2722
