,0,1,2,3
HMA-KLS0629-2117699,0.0092,0.0085,0.8484,0.1339
HMA-KLS0630-2117717,0.0081,0.0112,0.9734,0.0073
HMA-KLS0631-2117697,0.0189,0.0164,0.9487,0.016
HMA-KLS0633-2117719,0.0079,0.0096,0.9727,0.0098
HMA-KLS0647-2117698,0.0156,0.0126,0.9588,0.013
HMA-KLS0652-2117715,0.0188,0.0162,0.9572,0.0078
HMA-KLS0662-2117700,0.0213,0.0167,0.9561,0.0059
HMA-KLS0676-2117735,0.0194,0.0153,0.9402,0.0251
HMA-KLS0762-2117712,0.0201,0.0176,0.9486,0.0137
HMA-KLS1016-2117701,0.0205,0.0182,0.9424,0.0189
HMA-KLS1017-2117720,0.0099,0.0117,0.9713,0.0071
HMA-KLS1020-2117696,0.0185,0.0148,0.9544,0.0123
HMA-KLS1379-3593334,0.0062,0.0078,0.6963,0.2897
HMA-KLS1416-3593319,0.0089,0.0108,0.9588,0.0215
HMA-KLS1421-3593374,0.0202,0.0169,0.9584,0.0045
HMA-VU46-2117754,0.0334,0.0285,0.8303,0.1078
HMA-KLS0798-2117733,0.01,0.0116,0.9696,0.0088
HMA-KLS0799-2117731,0.0121,0.0166,0.9621,0.0092
HMA-KLS0801-2117727,0.0236,0.0201,0.9506,0.0057
HMA-KLS0808-2117740,0.0086,0.0097,0.9744,0.0073
HMA-KLS0813-2117730,0.0242,0.0193,0.9468,0.0097
HMA-KLS0898-2117745,0.0154,0.0217,0.892,0.0709
HMA-KLS0913-2117749,0.017,0.0153,0.9593,0.0084
HMA-KLS0933-2117744,0.011,0.0118,0.9525,0.0247
HMA-Dm001-3991498,0.0144,0.0124,0.6797,0.2935
HMA-Dm004-3991499,0.0135,0.0106,0.9607,0.0152
HMA-Dm005-3991500,0.0113,0.0084,0.9411,0.0392
HMA-Dm007-3991501,0.0186,0.0149,0.7901,0.1764
HMA-Dm008-3991502,0.0239,0.0182,0.9051,0.0528
HMA-Dm010-3991503,0.0176,0.0136,0.905,0.0638
HMA-Dm011-3991504,0.0231,0.0182,0.8857,0.073
HMA-Dm014-3991505,0.0145,0.0108,0.8165,0.1582
HMA-Dm015-3991506,0.0134,0.0197,0.8947,0.0722
HMA-Dm018-3991507,0.0201,0.0161,0.9501,0.0137
