,0,1,2,3,4
HMA-KLS0629-2117699,0.8554,0.0066,0.0073,0.0037,0.127
HMA-KLS0630-2117717,0.9702,0.0063,0.0062,0.0127,0.0046
HMA-KLS0631-2117697,0.9535,0.0159,0.0154,0.0054,0.0098
HMA-KLS0633-2117719,0.974,0.0053,0.0055,0.0107,0.0045
HMA-KLS0647-2117698,0.9589,0.0147,0.0153,0.0035,0.0076
HMA-KLS0652-2117715,0.9581,0.013,0.0132,0.0112,0.0045
HMA-KLS0662-2117700,0.9589,0.0147,0.0152,0.007,0.0042
HMA-KLS0676-2117735,0.948,0.0167,0.0173,0.0059,0.0121
HMA-KLS0762-2117712,0.9508,0.0173,0.0178,0.0056,0.0085
HMA-KLS1016-2117701,0.9495,0.0162,0.0166,0.009,0.0087
HMA-KLS1017-2117720,0.9699,0.008,0.0079,0.0098,0.0044
HMA-KLS1020-2117696,0.9523,0.0161,0.0168,0.0044,0.0104
HMA-KLS1379-3593334,0.7135,0.0054,0.0055,0.0097,0.2659
HMA-KLS1416-3593319,0.9559,0.0077,0.0072,0.0102,0.019
HMA-KLS1421-3593374,0.957,0.0175,0.0181,0.0046,0.0028
HMA-VU46-2117754,0.8643,0.0276,0.0319,0.008,0.0682
HMA-KLS0798-2117733,0.9708,0.0074,0.0069,0.0104,0.0045
HMA-KLS0799-2117731,0.9613,0.0088,0.0097,0.0153,0.0049
HMA-KLS0801-2117727,0.9491,0.0192,0.0198,0.0086,0.0033
HMA-KLS0808-2117740,0.9732,0.0091,0.0087,0.0048,0.0042
HMA-KLS0813-2117730,0.9581,0.0154,0.0157,0.0062,0.0046
HMA-KLS0898-2117745,0.9064,0.0074,0.0074,0.0337,0.0451
HMA-KLS0913-2117749,0.9568,0.0153,0.0155,0.0044,0.008
HMA-KLS0933-2117744,0.9464,0.0056,0.0056,0.018,0.0244
HMA-Dm001-3991498,0.7119,0.0115,0.0113,0.0031,0.2622
HMA-Dm004-3991499,0.9673,0.0111,0.0114,0.0032,0.007
HMA-Dm005-3991500,0.956,0.0078,0.0077,0.0031,0.0254
HMA-Dm007-3991501,0.8412,0.0149,0.0141,0.004,0.1258
HMA-Dm008-3991502,0.912,0.019,0.0195,0.007,0.0425
HMA-Dm010-3991503,0.9471,0.0104,0.0103,0.0044,0.0278
HMA-Dm011-3991504,0.8878,0.0186,0.0188,0.0048,0.07
HMA-Dm014-3991505,0.8376,0.0115,0.0118,0.0032,0.1359
HMA-Dm015-3991506,0.9173,0.002,0.0022,0.0496,0.029
HMA-Dm018-3991507,0.9522,0.017,0.017,0.0046,0.0092
HMA-Dm028-3991509,0.7835,0.0974,0.0884,0.0197,0.0109
HMA-Dm029-4019824,0.9398,0.0169,0.0171,0.0062,0.02
HMA-Dm032-4019825,0.7638,0.0936,0.1096,0.0184,0.0147
HMA-Dm045_was_He078-4019826,0.9182,0.0016,0.0016,0.0473,0.0313
HMA-J84471-2117859,0.8958,0.0446,0.0414,0.0087,0.0095
HMA-MAGNT-R36643-2117742,0.9288,0.0131,0.0122,0.0046,0.0413
HMA-R29873-2117819,0.817,0.0859,0.0755,0.0135,0.0081
HMA-R29875-2117836,0.928,0.0233,0.0221,0.0058,0.0208
HMA-R36496-2117767,0.9184,0.0244,0.0249,0.0063,0.026
HMA-R36640-2117798,0.9664,0.0118,0.0116,0.0034,0.0068
HMA-R36656-2117844,0.8108,0.0055,0.0054,0.0025,0.1758
HMA-R36660-2117840,0.9596,0.0123,0.0117,0.0067,0.0097
HMA-R36982-2117760,0.914,0.0253,0.0257,0.0051,0.0299
HMA-R37004-2117761,0.9391,0.0188,0.0182,0.004,0.0199
HMA-R37005-2117762,0.9098,0.019,0.0182,0.005,0.048
HMA-R37023-2117763,0.9379,0.0117,0.0113,0.0031,0.036
HMA-R37031-2117764,0.9484,0.0131,0.013,0.0041,0.0214
HMA-R37037-2117765,0.8722,0.0124,0.0122,0.0064,0.0968
HMA-R37138-2117766,0.8785,0.0113,0.0107,0.0038,0.0957
HMA-NC_166-2117725,0.1022,0.0001,0.0001,0.0,0.8976
HMA-NC_167-2117726,0.1,0.0007,0.0007,0.0007,0.8979
HMA-NC_169-2117729,0.0681,0.0,0.0,0.0,0.9319
HMA-NC_173-2117703,0.0797,0.0003,0.0003,0.0001,0.9196
HMA-NC_174-2117743,0.0862,0.0009,0.0009,0.0005,0.9115
HMA-NC_176-2117714,0.077,0.0,0.0,0.0,0.923
HMA-NC_179-2117695,0.0824,0.001,0.001,0.0009,0.9147
HMA-NC_180-2117713,0.1664,0.0001,0.0001,0.0002,0.8332
HMA-NC_181-2117711,0.0582,0.0001,0.0001,0.0,0.9416
HMA-NC_189-2117710,0.1556,0.0001,0.0001,0.0,0.8442
HMA-KLS1514-3593378,0.9467,0.0138,0.0148,0.0193,0.0054
HMA-KLS1522-3593369,0.9737,0.0091,0.0088,0.0044,0.004
HMA-KLS1538-3593349,0.9475,0.019,0.0202,0.0068,0.0065
HMA-KLS1553-3593325,0.9659,0.0115,0.011,0.0075,0.0041
