,0,1
HST-As008-3991483,0.2162,0.7838
HST-KLS0362-2562256,0.1112,0.8888
HST-KLS1662-4013403,0.0254,0.9746
HST-KLS1665-4013406,0.0171,0.9829
HST-KLS1666-4013407,0.0232,0.9768
HST-KLS1667-4013408,0.0243,0.9757
HST-KLS1668-4013409,0.0211,0.9789
HST-KLS1669-4013410,0.024,0.976
HST-KLS1670-4013411,0.0129,0.9871
HST-KLS1671-4013412,0.0113,0.9887
HST-KLS1673-4013414,0.0245,0.9755
HST-KLS1674-4013415,0.0236,0.9764
HST-KLS1675-4013416,0.0183,0.9817
HST-KLS1676-4013417,0.0174,0.9826
HST-KLS1678-4013419,0.0169,0.9831
HST-KLS1680-4013421,0.0224,0.9776
HST-KLS1681-4013422,0.0172,0.9828
HST-KLS1683-4013424,0.0147,0.9853
HST-KLS1684-4013425,0.0204,0.9796
HST-KLS1685-4013426,0.0187,0.9813
HST-KLS1686-4013427,0.0177,0.9823
HST-KLS1688-4013428,0.0356,0.9644
HST-KLS1689-4013429,0.0207,0.9793
HST-KLS1691-4013431,0.0119,0.9881
HST-KLS0490-2892498,0.0191,0.9809
HST-KLS0527-2892409,0.0232,0.9768
HST-KLS0528-2892531,0.0221,0.9779
HST-KLS0566-2892525,0.0219,0.9781
HST-KLS0573-2892480,0.016,0.984
HST-KLS0604-2892450,0.0259,0.9741
HST-KLS0635-2562180,0.0233,0.9767
HST-KLS0636-2562216,0.0271,0.9729
HST-KLS0675-2892455,0.02,0.98
HST-KLS0677-2892491,0.0136,0.9864
HST-KLS0678-2892468,0.0164,0.9836
HST-KLS0679-2892438,0.0257,0.9743
HST-KLS0680-2892474,0.0196,0.9804
HST-KLS0681-2892443,0.0213,0.9787
HST-KLS0682-2892504,0.0193,0.9807
HST-KLS0686-2892505,0.0179,0.9821
HST-KLS0687-2892451,0.0172,0.9828
HST-KLS1157-3593388,0.0257,0.9743
HST-KLS1158-3593383,0.024,0.976
HST-KLS1159-3593340,0.0227,0.9773
HST-KLS1367-3593339,0.0273,0.9727
HST-KLS1369-3593347,0.0188,0.9812
HST-KLS1370-3593333,0.0097,0.9903
HST-KLS1371-3593312,0.02,0.98
HST-KLS1372-3593318,0.0216,0.9784
HST-KLS1380-3593381,0.0102,0.9898
HST-KLS1384-3593379,0.0195,0.9805
HST-KLS1385-3593310,0.023,0.977
HST-KLS1412-3593322,0.0287,0.9713
HST-KLS1414-3593346,0.028,0.972
HST-KLS1417-3593370,0.0249,0.9751
HST-KLS1418-3593309,0.0189,0.9811
HST-KLS1419-3593306,0.0252,0.9748
HST-KLS1420-3593353,0.0241,0.9759
HST-KLS1422-3593399,0.0205,0.9795
HST-KLS1424-3593329,0.0139,0.9861
HST-KLS1429-3593311,0.0219,0.9781
HST-VU38-2892414,0.0187,0.9813
HST-KLS0794-2562199,0.0214,0.9786
HST-KLS0795-2892379,0.0214,0.9786
HST-KLS0804-2892392,0.0134,0.9866
HST-KLS0843-2892452,0.0231,0.9769
HST-KLS0847-2892542,0.0859,0.9141
HST-KLS0858-2892456,0.0212,0.9788
HST-KLS0883-2892509,0.0321,0.9679
HST-KLS0923-2892400,0.0145,0.9855
HST-KLS0938-2892388,0.0119,0.9881
HST-KLS0983-2892406,0.0181,0.9819
HST-KLS0986-2892407,0.0184,0.9816
HST-KLS1273-2892431,0.0147,0.9853
HST-KLS1274-2892410,0.0237,0.9763
HST-As004-3991479,0.0528,0.9472
HST-As005-3991480,0.0553,0.9447
HST-As006-3991481,0.0612,0.9388
HST-As007-3991482,0.0763,0.9237
HST-As009-3991484,0.0536,0.9464
HST-As011-3991486,0.0524,0.9476
HST-MW04488-2562113,0.0487,0.9513
HST-VU127-2562116,0.0199,0.9801
HST-VU135-2892457,0.0324,0.9676
HST-VU141-2562238,0.0178,0.9822
HST-VU143-2892418,0.0192,0.9808
HST-VU116-2892391,0.0299,0.9701
HST-J82337-2562260,0.0372,0.9628
HST-KLS0559-2892377,0.0136,0.9864
HST-KLS1173-2892444,0.0186,0.9814
HST-KLS1182-2892449,0.0226,0.9774
HST-KLS1200-2892434,0.0155,0.9845
HST-KLS1206-3593330,0.0128,0.9872
HST-KLS1227-2892412,0.0247,0.9753
HST-KLS1515-3593385,0.0152,0.9848
HST-KLS1517-3593355,0.0208,0.9792
HST-KLS1528-3593321,0.0234,0.9766
HST-KLS1541-3593313,0.0189,0.9811
HST-KLS1544-3593344,0.0136,0.9864
HST-KLS1556-3593324,0.0095,0.9905
HST-SS170814-01-2562208,0.0368,0.9632
HST-SS170820-02-2892469,0.0168,0.9832
