,0,1,2
HST-As008-3991483,0.6792,0.2974,0.0234
HST-KLS0362-2562256,0.7932,0.16,0.0468
HST-KLS1662-4013403,0.9493,0.034,0.0167
HST-KLS1665-4013406,0.9766,0.0199,0.0035
HST-KLS1666-4013407,0.9482,0.0273,0.0245
HST-KLS1667-4013408,0.9363,0.0306,0.0331
HST-KLS1668-4013409,0.9656,0.0259,0.0085
HST-KLS1669-4013410,0.9661,0.03,0.0039
HST-KLS1670-4013411,0.9729,0.0209,0.0062
HST-KLS1671-4013412,0.9668,0.0186,0.0146
HST-KLS1673-4013414,0.906,0.0316,0.0624
HST-KLS1674-4013415,0.9604,0.0291,0.0105
HST-KLS1675-4013416,0.9749,0.019,0.0061
HST-KLS1676-4013417,0.9616,0.0209,0.0175
HST-KLS1678-4013419,0.9616,0.0173,0.0211
HST-KLS1680-4013421,0.9478,0.0296,0.0226
HST-KLS1681-4013422,0.9492,0.0294,0.0214
HST-KLS1683-4013424,0.952,0.0219,0.0261
HST-KLS1684-4013425,0.9635,0.0315,0.005
HST-KLS1685-4013426,0.9526,0.0321,0.0153
HST-KLS1686-4013427,0.9707,0.0163,0.013
HST-KLS1688-4013428,0.9306,0.0399,0.0295
HST-KLS1689-4013429,0.9619,0.0281,0.01
HST-KLS1691-4013431,0.9769,0.0125,0.0106
HST-KLS0490-2892498,0.9644,0.0252,0.0104
HST-KLS0527-2892409,0.9548,0.0314,0.0138
HST-KLS0528-2892531,0.9539,0.0228,0.0233
HST-KLS0566-2892525,0.9773,0.0187,0.004
HST-KLS0573-2892480,0.974,0.0155,0.0105
HST-KLS0604-2892450,0.9509,0.0271,0.022
HST-KLS0635-2562180,0.9173,0.02,0.0627
HST-KLS0636-2562216,0.9262,0.0327,0.0411
HST-KLS0675-2892455,0.9538,0.0268,0.0194
HST-KLS0677-2892491,0.975,0.0201,0.0049
HST-KLS0678-2892468,0.9792,0.016,0.0048
HST-KLS0679-2892438,0.9423,0.0326,0.0251
HST-KLS0680-2892474,0.9323,0.0317,0.036
HST-KLS0681-2892443,0.9636,0.0284,0.008
HST-KLS0682-2892504,0.9574,0.0277,0.0149
HST-KLS0686-2892505,0.9682,0.0258,0.006
HST-KLS0687-2892451,0.964,0.0198,0.0162
HST-KLS1157-3593388,0.9615,0.0276,0.0109
HST-KLS1158-3593383,0.9458,0.0369,0.0173
HST-KLS1159-3593340,0.9728,0.0222,0.005
HST-KLS1367-3593339,0.9574,0.0371,0.0055
HST-KLS1369-3593347,0.9597,0.0257,0.0146
HST-KLS1370-3593333,0.9751,0.0162,0.0087
HST-KLS1371-3593312,0.9666,0.0214,0.012
HST-KLS1372-3593318,0.9374,0.0307,0.0319
HST-KLS1380-3593381,0.8775,0.0078,0.1147
HST-KLS1384-3593379,0.8675,0.0226,0.1099
HST-KLS1385-3593310,0.9099,0.0315,0.0586
HST-KLS1412-3593322,0.9192,0.0319,0.0489
HST-KLS1414-3593346,0.9328,0.0315,0.0357
HST-KLS1417-3593370,0.9142,0.0338,0.052
HST-KLS1418-3593309,0.9604,0.0304,0.0092
HST-KLS1419-3593306,0.96,0.0259,0.0141
HST-KLS1420-3593353,0.9268,0.0389,0.0343
HST-KLS1422-3593399,0.9664,0.0215,0.0121
HST-KLS1424-3593329,0.9806,0.0141,0.0053
HST-KLS1429-3593311,0.9666,0.0268,0.0066
HST-VU38-2892414,0.953,0.0213,0.0257
HST-KLS0794-2562199,0.97,0.0258,0.0042
HST-KLS0795-2892379,0.9547,0.0313,0.014
HST-KLS0804-2892392,0.973,0.0214,0.0056
HST-KLS0843-2892452,0.9579,0.033,0.0091
HST-KLS0858-2892456,0.9749,0.0218,0.0033
HST-KLS0883-2892509,0.9331,0.0389,0.028
HST-KLS0923-2892400,0.9746,0.0198,0.0056
HST-KLS0938-2892388,0.9714,0.0128,0.0158
HST-KLS0983-2892406,0.9731,0.0191,0.0078
HST-KLS0986-2892407,0.9684,0.0249,0.0067
HST-KLS1273-2892431,0.9702,0.0222,0.0076
HST-KLS1274-2892410,0.9631,0.0322,0.0047
HST-As004-3991479,0.3526,0.0218,0.6256
HST-As005-3991480,0.4104,0.0144,0.5752
HST-As006-3991481,0.3735,0.0235,0.603
HST-As007-3991482,0.321,0.0401,0.6389
HST-As009-3991484,0.3698,0.0176,0.6126
HST-As011-3991486,0.3352,0.0213,0.6435
HST-MW04488-2562113,0.413,0.0232,0.5638
HST-VU127-2562116,0.8132,0.0164,0.1704
HST-VU135-2892457,0.8247,0.0324,0.1429
HST-VU141-2562238,0.7955,0.0167,0.1878
HST-VU143-2892418,0.7792,0.0119,0.2089
HST-VU116-2892391,0.7155,0.0261,0.2584
HST-J82337-2562260,0.4051,0.0172,0.5777
HST-KLS0559-2892377,0.969,0.0238,0.0072
HST-KLS1173-2892444,0.9525,0.0214,0.0261
HST-KLS1182-2892449,0.9679,0.0263,0.0058
HST-KLS1200-2892434,0.9655,0.03,0.0045
HST-KLS1206-3593330,0.9742,0.0195,0.0063
HST-KLS1227-2892412,0.9372,0.0397,0.0231
HST-KLS1515-3593385,0.9768,0.0189,0.0043
HST-KLS1517-3593355,0.9615,0.0319,0.0066
HST-KLS1528-3593321,0.9667,0.0198,0.0135
HST-KLS1541-3593313,0.9688,0.017,0.0142
HST-KLS1544-3593344,0.9666,0.0166,0.0168
HST-KLS1556-3593324,0.9646,0.0133,0.0221
HST-SS170814-01-2562208,0.9376,0.0568,0.0056
HST-SS170820-02-2892469,0.9714,0.0246,0.004
