,0,1,2,3
HST-As008-3991483,0.0014,0.7184,0.108,0.1722
HST-KLS0362-2562256,0.004,0.8501,0.0693,0.0766
HST-KLS1662-4013403,0.0059,0.961,0.017,0.0161
HST-KLS1665-4013406,0.0017,0.9771,0.0109,0.0103
HST-KLS1666-4013407,0.0123,0.9571,0.0159,0.0147
HST-KLS1667-4013408,0.0141,0.9522,0.0165,0.0172
HST-KLS1668-4013409,0.0024,0.968,0.0149,0.0147
HST-KLS1669-4013410,0.0012,0.9656,0.0166,0.0166
HST-KLS1670-4013411,0.0012,0.9802,0.0093,0.0093
HST-KLS1671-4013412,0.0028,0.9803,0.0085,0.0084
HST-KLS1673-4013414,0.0098,0.958,0.0158,0.0164
HST-KLS1674-4013415,0.0026,0.9674,0.0153,0.0147
HST-KLS1675-4013416,0.0016,0.9743,0.0121,0.012
HST-KLS1676-4013417,0.0048,0.971,0.012,0.0122
HST-KLS1678-4013419,0.0037,0.9719,0.0125,0.0119
HST-KLS1680-4013421,0.0028,0.9685,0.0144,0.0143
HST-KLS1681-4013422,0.0061,0.9704,0.0117,0.0118
HST-KLS1683-4013424,0.0054,0.9729,0.0106,0.0111
HST-KLS1684-4013425,0.0012,0.9753,0.0122,0.0113
HST-KLS1685-4013426,0.0028,0.9713,0.0131,0.0128
HST-KLS1686-4013427,0.0079,0.9694,0.0115,0.0112
HST-KLS1688-4013428,0.0093,0.9441,0.0231,0.0235
HST-KLS1689-4013429,0.0016,0.9695,0.014,0.0149
HST-KLS1691-4013431,0.003,0.9801,0.0082,0.0087
HST-KLS0490-2892498,0.0074,0.9689,0.0119,0.0118
HST-KLS0527-2892409,0.0028,0.9658,0.0165,0.0149
HST-KLS0528-2892531,0.0033,0.9644,0.0158,0.0165
HST-KLS0566-2892525,0.0011,0.972,0.0133,0.0136
HST-KLS0573-2892480,0.003,0.974,0.0115,0.0115
HST-KLS0604-2892450,0.0018,0.9603,0.0195,0.0184
HST-KLS0635-2562180,0.0112,0.9605,0.0144,0.0139
HST-KLS0636-2562216,0.0149,0.9495,0.018,0.0176
HST-KLS0675-2892455,0.0073,0.9662,0.0127,0.0138
HST-KLS0677-2892491,0.0022,0.9791,0.0092,0.0095
HST-KLS0678-2892468,0.0024,0.9711,0.0132,0.0133
HST-KLS0679-2892438,0.0141,0.9531,0.0161,0.0167
HST-KLS0680-2892474,0.0138,0.9602,0.0133,0.0127
HST-KLS0681-2892443,0.0021,0.9699,0.0141,0.0139
HST-KLS0682-2892504,0.0058,0.9659,0.0141,0.0142
HST-KLS0686-2892505,0.0022,0.9747,0.0113,0.0118
HST-KLS0687-2892451,0.0018,0.9754,0.0112,0.0116
HST-KLS1157-3593388,0.002,0.9624,0.0176,0.018
HST-KLS1158-3593383,0.0035,0.9641,0.016,0.0164
HST-KLS1159-3593340,0.0012,0.9698,0.0144,0.0146
HST-KLS1367-3593339,0.0011,0.9638,0.0175,0.0176
HST-KLS1369-3593347,0.0025,0.9711,0.0131,0.0133
HST-KLS1370-3593333,0.0024,0.9839,0.0067,0.007
HST-KLS1371-3593312,0.0028,0.969,0.0139,0.0143
HST-KLS1372-3593318,0.0172,0.9564,0.0137,0.0127
HST-KLS1380-3593381,0.0756,0.9135,0.0056,0.0053
HST-KLS1384-3593379,0.0282,0.9458,0.0127,0.0133
HST-KLS1385-3593310,0.0472,0.9257,0.013,0.0141
HST-KLS1412-3593322,0.0096,0.9542,0.0179,0.0183
HST-KLS1414-3593346,0.0073,0.9546,0.0196,0.0185
HST-KLS1417-3593370,0.0236,0.9459,0.0148,0.0157
HST-KLS1418-3593309,0.0027,0.9711,0.0128,0.0134
HST-KLS1419-3593306,0.0026,0.9619,0.0174,0.0181
HST-KLS1420-3593353,0.011,0.9567,0.0163,0.016
HST-KLS1422-3593399,0.004,0.9675,0.014,0.0145
HST-KLS1424-3593329,0.0014,0.9829,0.0078,0.0079
HST-KLS1429-3593311,0.0018,0.9709,0.0134,0.0139
HST-VU38-2892414,0.007,0.9684,0.0121,0.0125
HST-KLS0794-2562199,0.0022,0.9698,0.0147,0.0133
HST-KLS0795-2892379,0.0041,0.9676,0.0146,0.0137
HST-KLS0804-2892392,0.0016,0.9782,0.0101,0.0101
HST-KLS0843-2892452,0.0028,0.9661,0.0155,0.0156
HST-KLS0847-2892542,0.0014,0.8926,0.0485,0.0575
HST-KLS0858-2892456,0.0011,0.9703,0.0144,0.0142
HST-KLS0883-2892509,0.009,0.9486,0.0217,0.0207
HST-KLS0923-2892400,0.0011,0.9805,0.009,0.0094
