,0,1,2,3,4
HST-As008-3991483,0.059,0.1281,0.0965,0.0013,0.7151
HST-KLS0362-2562256,0.0337,0.0571,0.0539,0.006,0.8493
HST-KLS1662-4013403,0.0097,0.0122,0.0135,0.0066,0.958
HST-KLS1665-4013406,0.0075,0.0095,0.009,0.0011,0.9729
HST-KLS1666-4013407,0.0091,0.0114,0.0125,0.0113,0.9557
HST-KLS1667-4013408,0.0101,0.0121,0.0114,0.0112,0.9552
HST-KLS1668-4013409,0.0102,0.0104,0.0099,0.002,0.9675
HST-KLS1669-4013410,0.0127,0.0109,0.0102,0.001,0.9652
HST-KLS1670-4013411,0.0068,0.0061,0.0062,0.0011,0.9798
HST-KLS1671-4013412,0.0055,0.006,0.006,0.0021,0.9804
HST-KLS1673-4013414,0.0128,0.0104,0.0111,0.0111,0.9546
HST-KLS1674-4013415,0.0098,0.0108,0.0109,0.0021,0.9664
HST-KLS1675-4013416,0.0072,0.0089,0.0088,0.0011,0.974
HST-KLS1676-4013417,0.007,0.0088,0.0092,0.0026,0.9724
HST-KLS1678-4013419,0.0073,0.0096,0.0092,0.0041,0.9698
HST-KLS1680-4013421,0.0107,0.01,0.0098,0.0014,0.9681
HST-KLS1681-4013422,0.0082,0.0073,0.0073,0.0043,0.9729
HST-KLS1683-4013424,0.0066,0.0082,0.008,0.0035,0.9737
HST-KLS1684-4013425,0.0079,0.0088,0.0093,0.001,0.973
HST-KLS1685-4013426,0.0076,0.0097,0.0089,0.002,0.9718
HST-KLS1686-4013427,0.0077,0.0075,0.0073,0.0056,0.9719
HST-KLS1688-4013428,0.0119,0.0164,0.0169,0.0068,0.948
HST-KLS1689-4013429,0.0105,0.0101,0.0095,0.0014,0.9685
HST-KLS1691-4013431,0.005,0.0054,0.0055,0.0015,0.9826
HST-KLS0490-2892498,0.0071,0.0091,0.0089,0.009,0.9659
HST-KLS0527-2892409,0.0081,0.0116,0.0119,0.0019,0.9665
HST-KLS0528-2892531,0.0094,0.0115,0.011,0.0024,0.9657
HST-KLS0566-2892525,0.0079,0.0101,0.0105,0.001,0.9705
HST-KLS0573-2892480,0.0057,0.008,0.008,0.0029,0.9754
HST-KLS0604-2892450,0.0109,0.0127,0.013,0.0016,0.9618
