,0,1,2
ALA-KLS1661-4013402,0.9555,0.0239,0.0206
ALA-KLS1663-4013404,0.9508,0.0257,0.0235
ALA-KLS1664-4013405,0.9539,0.0238,0.0223
ALA-KLS1682-4013423,0.9512,0.0263,0.0225
ALA-KLS1690-4013430,0.9489,0.0264,0.0247
ALA-KLS1140-2892558,0.9618,0.0195,0.0187
ALA-KLS1161-2892441,0.9557,0.0231,0.0212
ALA-KLS1162-2892512,0.9571,0.0221,0.0208
ALA-KLS1163-2892427,0.9554,0.0237,0.0209
ALA-KLS1165-2892485,0.9617,0.0194,0.0189
ALA-KLS1166-2892541,0.9572,0.023,0.0198
ALA-KLS1167-2892484,0.9484,0.0263,0.0253
ALA-KLS1168-2892413,0.9611,0.0204,0.0185
ALA-KLS1169-2892448,0.9566,0.0231,0.0203
ALA-KLS1170-2892511,0.9556,0.023,0.0214
ALA-KLS1366-3593364,0.9574,0.0229,0.0197
ALA-KLS1373-3593328,0.9508,0.0267,0.0225
ALA-KLS1387-3593387,0.9507,0.0264,0.0229
ALA-KLS1413-3593365,0.9594,0.0212,0.0194
ALA-KLS1415-3593359,0.9571,0.0221,0.0208
ALA-VU15-2892510,0.9634,0.0191,0.0175
ALA-VU20-2892394,0.9602,0.021,0.0188
ALA-VU21-2892380,0.9545,0.0232,0.0223
ALA-VU33-2892383,0.9553,0.0234,0.0213
ALA-VU37-2892482,0.9532,0.0252,0.0216
ALA-VU47-2892477,0.96,0.0209,0.0191
ALA-VU50-2892527,0.9513,0.025,0.0237
ALA-KLS0793-2892513,0.9667,0.0173,0.016
ALA-KLS0796-2892514,0.9586,0.0215,0.0199
ALA-KLS0797-2892471,0.9584,0.0219,0.0197
ALA-KLS0857-2892463,0.953,0.0262,0.0208
ALA-KLS0871-2892523,0.9501,0.0273,0.0226
ALA-KLS0872-2892526,0.9665,0.017,0.0165
ALA-KLS1444-3593398,0.9432,0.0304,0.0264
ALA-KLS1448-3593341,0.9566,0.0227,0.0207
ALA-KLS1452-3593342,0.962,0.0199,0.0181
ALA-KLS1467-3593390,0.9581,0.0221,0.0198
ALA-KLS1474-3593384,0.9584,0.022,0.0196
ALA-KLS1479-3593389,0.9628,0.019,0.0182
ALA-KLS1492-3593391,0.9574,0.0218,0.0208
APO-KLS1002-2562146,0.9586,0.0214,0.02
ALA-KLS0564-R174540-2892378,0.9557,0.0222,0.0221
ALA-KLS1526-3593366,0.9502,0.0259,0.0239
ALA-KLS1548-3593373,0.9493,0.0272,0.0235
ALA-KLS1549-3593354,0.9544,0.0236,0.022
ALA-KLS1555-3593323,0.9658,0.0178,0.0164
ALA-SS170808-01-2562218,0.9605,0.0216,0.0179
ALA-SS170808-06-2892529,0.9539,0.0244,0.0217
ALA-SS170809-01-2892375,0.9606,0.021,0.0184
ALA-SS170809-03-2892475,0.9566,0.0222,0.0212
ALA-SS170810-01-2892386,0.9626,0.0189,0.0185
ALA-SS170813-01-2892422,0.9582,0.0219,0.0199
ALA-SS170815-01-2892435,0.9592,0.0217,0.0191
ALA-SS170815-03-2892473,0.9524,0.0262,0.0214
ALA-SS170815-04-2892440,0.9546,0.0236,0.0218
ALA-SS170816-01-2892493,0.9597,0.0212,0.0191
ALA-SS170820-05-2892447,0.9568,0.0218,0.0214
ALA-SS170822-01-2892494,0.9526,0.0251,0.0223
ALA-SS170822-02-2892495,0.9233,0.0483,0.0284
ALA-SS170822-03-2892528,0.9491,0.0269,0.024
ALA-SS171011-02-2892425,0.9558,0.0242,0.02
ALA-SS171011-03-2892496,0.9626,0.0195,0.0179
ALA-SS171018-02-2892517,0.9612,0.0195,0.0193
ALA-SS171025-01-2892506,0.9568,0.0221,0.0211
ALA-SS171104-01-2892432,0.9578,0.0232,0.019
ALA-SS171105-01-2892472,0.9606,0.0209,0.0185
ALA-SS171106-02-2892479,0.9546,0.0238,0.0216
ALA-SS171106-03-2892404,0.97,0.0159,0.0141
ALA-VU51-2892500,0.9653,0.0186,0.0161
ALA-VU53-2892376,0.9646,0.0181,0.0173
ALA-VU62-2892417,0.9578,0.0224,0.0198
APO-BD304-2892487,0.9522,0.0255,0.0223
APO-BD320-2892516,0.9626,0.0192,0.0182
APO-BD325-2892538,0.9627,0.0193,0.018
APO-BD326-2892550,0.9567,0.0217,0.0216
APO-BD330-2892535,0.9636,0.0185,0.0179
APO-BD331-2892519,0.9614,0.0197,0.0189
APO-BD337-2892483,0.9615,0.0197,0.0188
APO-BD338-2892540,0.961,0.0198,0.0192
APO-BD339-2892520,0.9611,0.0195,0.0194
APO-BD342-2892423,0.9571,0.0222,0.0207
