,0,1,2,3
ALA-KLS1661-4013402,0.0189,0.9568,0.0078,0.0165
ALA-KLS1663-4013404,0.0203,0.9521,0.0113,0.0163
ALA-KLS1664-4013405,0.0189,0.9564,0.0068,0.0179
ALA-KLS1682-4013423,0.0208,0.9532,0.0069,0.0191
ALA-KLS1690-4013430,0.0209,0.9525,0.0062,0.0204
ALA-KLS1140-2892558,0.0168,0.9614,0.0069,0.0149
ALA-KLS1161-2892441,0.0181,0.9581,0.0075,0.0163
ALA-KLS1162-2892512,0.019,0.9563,0.0072,0.0175
ALA-KLS1163-2892427,0.0173,0.96,0.0061,0.0166
ALA-KLS1165-2892485,0.0156,0.9637,0.0068,0.0139
ALA-KLS1166-2892541,0.0199,0.9584,0.006,0.0157
ALA-KLS1167-2892484,0.0202,0.9492,0.0092,0.0214
ALA-KLS1168-2892413,0.0144,0.9648,0.0065,0.0143
ALA-KLS1169-2892448,0.0186,0.955,0.0083,0.0181
ALA-KLS1170-2892511,0.019,0.9555,0.0074,0.0181
ALA-KLS1366-3593364,0.0194,0.957,0.0078,0.0158
ALA-KLS1373-3593328,0.0227,0.9499,0.0066,0.0208
ALA-KLS1387-3593387,0.022,0.9498,0.0077,0.0205
ALA-KLS1413-3593365,0.0174,0.96,0.0061,0.0165
ALA-KLS1415-3593359,0.0186,0.9565,0.0072,0.0177
ALA-VU15-2892510,0.0157,0.9634,0.0057,0.0152
ALA-VU20-2892394,0.0158,0.9619,0.0061,0.0162
ALA-VU21-2892380,0.0177,0.9579,0.0078,0.0166
ALA-VU33-2892383,0.0201,0.9553,0.0068,0.0178
ALA-VU37-2892482,0.0208,0.9526,0.0088,0.0178
ALA-VU47-2892477,0.0143,0.964,0.0066,0.0151
ALA-VU50-2892527,0.0208,0.9517,0.0086,0.0189
ALA-KLS0793-2892513,0.0154,0.9666,0.006,0.012
ALA-KLS0796-2892514,0.0181,0.9573,0.0077,0.0169
ALA-KLS0797-2892471,0.0165,0.9605,0.0073,0.0157
ALA-KLS0857-2892463,0.0218,0.9557,0.0057,0.0168
ALA-KLS0871-2892523,0.0222,0.9514,0.0066,0.0198
ALA-KLS0872-2892526,0.0148,0.9659,0.0059,0.0134
ALA-KLS1444-3593398,0.0293,0.9409,0.0072,0.0226
ALA-KLS1448-3593341,0.0183,0.9563,0.0063,0.0191
ALA-KLS1452-3593342,0.0152,0.9633,0.0063,0.0152
ALA-KLS1467-3593390,0.0174,0.9591,0.0065,0.017
ALA-KLS1474-3593384,0.0168,0.961,0.0064,0.0158
ALA-KLS1479-3593389,0.0142,0.9638,0.0075,0.0145
ALA-KLS1492-3593391,0.0164,0.9579,0.0082,0.0175
APO-KLS1002-2562146,0.0121,0.9582,0.0174,0.0123
ALA-KLS0564-R174540-2892378,0.0174,0.9592,0.0074,0.016
ALA-KLS1526-3593366,0.0211,0.9541,0.007,0.0178
ALA-KLS1548-3593373,0.0196,0.9509,0.0089,0.0206
ALA-KLS1549-3593354,0.0186,0.957,0.0071,0.0173
ALA-KLS1555-3593323,0.0143,0.966,0.0052,0.0145
ALA-SS170808-01-2562218,0.0187,0.9585,0.0058,0.017
ALA-SS170808-06-2892529,0.0183,0.9552,0.007,0.0195
ALA-SS170809-01-2892375,0.0164,0.9612,0.0071,0.0153
ALA-SS170809-03-2892475,0.019,0.9552,0.0084,0.0174
ALA-SS170810-01-2892386,0.0142,0.9636,0.0072,0.015
ALA-SS170813-01-2892422,0.0189,0.9594,0.0056,0.0161
ALA-SS170815-01-2892435,0.0163,0.9622,0.0059,0.0156
ALA-SS170815-03-2892473,0.0226,0.952,0.0061,0.0193
ALA-SS170815-04-2892440,0.0176,0.9566,0.0068,0.019
ALA-SS170816-01-2892493,0.0193,0.9571,0.0064,0.0172
ALA-SS170820-05-2892447,0.0175,0.959,0.0072,0.0163
ALA-SS170822-01-2892494,0.0221,0.9519,0.0068,0.0192
ALA-SS170822-02-2892495,0.0418,0.9251,0.0054,0.0277
ALA-SS170822-03-2892528,0.022,0.9495,0.0084,0.0201
ALA-SS171011-02-2892425,0.0187,0.9563,0.007,0.018
ALA-SS171011-03-2892496,0.0154,0.9633,0.0067,0.0146
ALA-SS171018-02-2892517,0.0137,0.9608,0.0093,0.0162
ALA-SS171025-01-2892506,0.0184,0.9588,0.0075,0.0153
ALA-SS171104-01-2892432,0.0165,0.9614,0.007,0.0151
ALA-SS171105-01-2892472,0.0175,0.9621,0.0056,0.0148
ALA-SS171106-02-2892479,0.0184,0.96,0.0065,0.0151
ALA-SS171106-03-2892404,0.0115,0.9703,0.0063,0.0119
ALA-VU51-2892500,0.0139,0.9675,0.0062,0.0124
ALA-VU53-2892376,0.0139,0.9656,0.0064,0.0141
ALA-VU62-2892417,0.0182,0.9587,0.0063,0.0168
APO-BD304-2892487,0.0157,0.9545,0.0144,0.0154
APO-BD320-2892516,0.0122,0.9625,0.0138,0.0115
APO-BD325-2892538,0.0086,0.9645,0.0186,0.0083
APO-BD326-2892550,0.0101,0.9577,0.0214,0.0108
APO-BD330-2892535,0.011,0.9639,0.0144,0.0107
APO-BD331-2892519,0.0091,0.9644,0.0181,0.0084
APO-BD337-2892483,0.0127,0.9636,0.0123,0.0114
APO-BD338-2892540,0.008,0.9611,0.0217,0.0092
APO-BD339-2892520,0.0133,0.9648,0.0089,0.013
APO-BD342-2892423,0.0104,0.9621,0.0192,0.0083
