,0,1,2,3,4
ALA-KLS1661-4013402,0.0114,0.0117,0.0106,0.9554,0.0109
ALA-KLS1663-4013404,0.012,0.0124,0.0135,0.9505,0.0116
ALA-KLS1664-4013405,0.0103,0.0115,0.0114,0.9546,0.0122
ALA-KLS1682-4013423,0.0116,0.0119,0.0124,0.9519,0.0122
ALA-KLS1690-4013430,0.0127,0.0124,0.0115,0.9516,0.0118
ALA-KLS1140-2892558,0.0092,0.009,0.0104,0.962,0.0094
ALA-KLS1161-2892441,0.0107,0.0099,0.0119,0.9566,0.0109
ALA-KLS1162-2892512,0.0109,0.01,0.0115,0.9565,0.0111
ALA-KLS1163-2892427,0.011,0.0108,0.0112,0.9574,0.0096
ALA-KLS1165-2892485,0.0101,0.0095,0.0092,0.9611,0.0101
ALA-KLS1166-2892541,0.0107,0.012,0.01,0.956,0.0113
ALA-KLS1167-2892484,0.0125,0.0125,0.0142,0.9479,0.0129
ALA-KLS1168-2892413,0.0098,0.0077,0.0094,0.9629,0.0102
ALA-KLS1169-2892448,0.0115,0.0111,0.0113,0.9542,0.0119
ALA-KLS1170-2892511,0.012,0.0099,0.0109,0.9557,0.0115
ALA-KLS1366-3593364,0.0108,0.0107,0.0103,0.9566,0.0116
ALA-KLS1373-3593328,0.0119,0.0109,0.012,0.951,0.0142
ALA-KLS1387-3593387,0.0118,0.0114,0.0119,0.9505,0.0144
ALA-KLS1413-3593365,0.0103,0.0086,0.01,0.9597,0.0114
ALA-KLS1415-3593359,0.0109,0.0107,0.0113,0.9547,0.0124
ALA-VU15-2892510,0.0105,0.0093,0.01,0.9607,0.0095
ALA-VU20-2892394,0.0105,0.0102,0.011,0.9583,0.01
ALA-VU21-2892380,0.012,0.0115,0.0105,0.9538,0.0122
ALA-VU33-2892383,0.011,0.0114,0.0115,0.9517,0.0144
ALA-VU37-2892482,0.011,0.0117,0.0117,0.9539,0.0117
ALA-VU47-2892477,0.0092,0.0104,0.0104,0.9596,0.0104
ALA-VU50-2892527,0.0133,0.012,0.0109,0.9505,0.0133
ALA-KLS0793-2892513,0.0088,0.0082,0.009,0.9649,0.0091
ALA-KLS0796-2892514,0.0104,0.0106,0.0113,0.9579,0.0098
ALA-KLS0797-2892471,0.0093,0.0112,0.0104,0.9581,0.011
ALA-KLS0857-2892463,0.01,0.0109,0.0112,0.9566,0.0113
ALA-KLS0871-2892523,0.0123,0.0129,0.0111,0.9493,0.0144
ALA-KLS0872-2892526,0.0087,0.0082,0.0085,0.9655,0.0091
ALA-KLS1444-3593398,0.0132,0.0145,0.0152,0.9431,0.014
ALA-KLS1448-3593341,0.0112,0.0111,0.0121,0.9559,0.0097
ALA-KLS1452-3593342,0.0093,0.0091,0.0089,0.9634,0.0093
ALA-KLS1467-3593390,0.0109,0.0105,0.0115,0.956,0.0111
ALA-KLS1474-3593384,0.0098,0.0104,0.0098,0.9598,0.0102
ALA-KLS1479-3593389,0.0101,0.009,0.0097,0.9608,0.0104
ALA-KLS1492-3593391,0.0108,0.0109,0.0106,0.9571,0.0106
