,0,1
HMA-KLS0629-2117699,0.0613,0.9387
HMA-KLS0630-2117717,0.0571,0.9429
HMA-KLS0631-2117697,0.075,0.925
HMA-KLS0633-2117719,0.0644,0.9356
HMA-KLS0647-2117698,0.053,0.947
HMA-KLS0652-2117715,0.0715,0.9285
HMA-KLS0662-2117700,0.0662,0.9338
HMA-KLS0676-2117735,0.0667,0.9333
HMA-KLS0762-2117712,0.0616,0.9384
HMA-KLS1016-2117701,0.0671,0.9329
HMA-KLS1017-2117720,0.0628,0.9372
HMA-KLS1020-2117696,0.0641,0.9359
HMA-KLS1379-3593334,0.0758,0.9242
HMA-KLS1416-3593319,0.0774,0.9226
HMA-KLS1421-3593374,0.0651,0.9349
HMA-VU46-2117754,0.094,0.906
HMA-KLS0798-2117733,0.0704,0.9296
HMA-KLS0799-2117731,0.0783,0.9217
HMA-KLS0801-2117727,0.0681,0.9319
HMA-KLS0808-2117740,0.0624,0.9376
HMA-KLS0813-2117730,0.0789,0.9211
HMA-KLS0898-2117745,0.0664,0.9336
HMA-KLS0913-2117749,0.0666,0.9334
HMA-KLS0933-2117744,0.0683,0.9317
HMA-KLS1514-3593378,0.0736,0.9264
HMA-KLS1522-3593369,0.0608,0.9392
HMA-KLS1538-3593349,0.0721,0.9279
HMA-KLS1553-3593325,0.0629,0.9371
HMA-KLS1554-3593316,0.066,0.934
HMA-SS170809_02-2117728,0.0428,0.9572
HMA-SS170812_01-2117751,0.0916,0.9084
HMA-SS170814_02-2117746,0.1013,0.8987
HMA-SS170818_01-2117748,0.1061,0.8939
HMA-SS170820_01-2117747,0.0624,0.9376
HMA-SS171024_01-2117723,0.0741,0.9259
HMA-VU55-2117702,0.0546,0.9454
HMA-VU61-2117705,0.0546,0.9454
HMA-KLS1692-4013432,0.0622,0.9378
HMA-KLS1694-4013434,0.0431,0.9569
HMA-KLS1697-4013437,0.0627,0.9373
HMA-KLS1699-4013439,0.0482,0.9518
HMA-KLS1703-4013443,0.0596,0.9404
HMA-KLS1705-4013445,0.0693,0.9307
HMA-R154981-2117752,0.0524,0.9476
HMA-WAM-R154978-2562207,0.0661,0.9339
HMA-WAM-R154980-2562264,0.0993,0.9007
HMA-WAM-R154981-2562169,0.064,0.936
HMA-WAMR154978-2117736,0.1789,0.8211
HMA-KLS1711-4013451,0.0535,0.9465
