,0,1,2
HMA-KLS0629-2117699,0.054,0.0093,0.9367
HMA-KLS0630-2117717,0.0494,0.0101,0.9405
HMA-KLS0631-2117697,0.0717,0.0132,0.9151
HMA-KLS0633-2117719,0.0611,0.0106,0.9283
HMA-KLS0647-2117698,0.0497,0.0091,0.9412
HMA-KLS0652-2117715,0.0648,0.0105,0.9247
HMA-KLS0662-2117700,0.0658,0.012,0.9222
HMA-KLS0676-2117735,0.0619,0.0109,0.9272
HMA-KLS0762-2117712,0.0584,0.0112,0.9304
HMA-KLS1016-2117701,0.0673,0.0115,0.9212
HMA-KLS1017-2117720,0.056,0.0092,0.9348
HMA-KLS1020-2117696,0.0596,0.0107,0.9297
HMA-KLS1379-3593334,0.075,0.0124,0.9126
HMA-KLS1416-3593319,0.0739,0.0136,0.9125
HMA-KLS1421-3593374,0.0618,0.0103,0.9279
HMA-VU46-2117754,0.0889,0.0126,0.8985
HMA-KLS0798-2117733,0.0651,0.0112,0.9237
HMA-KLS0799-2117731,0.0697,0.0132,0.9171
HMA-KLS0801-2117727,0.0614,0.0115,0.9271
HMA-KLS0808-2117740,0.0577,0.0104,0.9319
HMA-KLS0813-2117730,0.0758,0.0136,0.9106
HMA-KLS0898-2117745,0.0602,0.0123,0.9275
HMA-KLS0913-2117749,0.0664,0.0115,0.9221
HMA-KLS0933-2117744,0.0634,0.0133,0.9233
HMA-KLS1514-3593378,0.0669,0.0121,0.921
HMA-KLS1522-3593369,0.0572,0.0106,0.9322
HMA-KLS1538-3593349,0.0694,0.0124,0.9182
HMA-KLS1553-3593325,0.0581,0.0105,0.9314
HMA-KLS1554-3593316,0.0586,0.0102,0.9312
HMA-SS170809_02-2117728,0.039,0.0075,0.9535
HMA-SS170812_01-2117751,0.0852,0.0133,0.9015
HMA-SS170814_02-2117746,0.0964,0.0139,0.8897
HMA-SS170818_01-2117748,0.0962,0.0133,0.8905
HMA-SS170820_01-2117747,0.0581,0.0108,0.9311
HMA-SS171024_01-2117723,0.0715,0.0117,0.9168
HMA-VU55-2117702,0.056,0.0095,0.9345
HMA-VU61-2117705,0.0524,0.0102,0.9374
HMA-KLS1692-4013432,0.0389,0.0344,0.9267
HMA-KLS1694-4013434,0.018,0.0406,0.9414
HMA-KLS1697-4013437,0.0149,0.0581,0.927
HMA-KLS1699-4013439,0.0152,0.0484,0.9364
HMA-KLS1703-4013443,0.0105,0.0674,0.9221
HMA-KLS1705-4013445,0.0263,0.0581,0.9156
HMA-R154981-2117752,0.0073,0.071,0.9217
HMA-WAM-R154978-2562207,0.0426,0.0344,0.923
HMA-WAM-R154980-2562264,0.0867,0.0259,0.8874
HMA-WAM-R154981-2562169,0.0099,0.0809,0.9092
HMA-WAMR154978-2117736,0.1332,0.0511,0.8157
HMA-KLS1711-4013451,0.0234,0.0416,0.935
