,0,1,2,3,4
HMA-KLS0629-2117699,0.0009,0.0313,0.0246,0.0114,0.9318
HMA-KLS0630-2117717,0.0019,0.0241,0.0234,0.0123,0.9383
HMA-KLS0631-2117697,0.0011,0.0361,0.0334,0.0134,0.916
HMA-KLS0633-2117719,0.001,0.0302,0.0269,0.0142,0.9277
HMA-KLS0647-2117698,0.001,0.0252,0.0251,0.0099,0.9388
HMA-KLS0652-2117715,0.001,0.0324,0.0301,0.0105,0.926
HMA-KLS0662-2117700,0.0011,0.036,0.0264,0.011,0.9255
HMA-KLS0676-2117735,0.0008,0.031,0.0283,0.0126,0.9273
HMA-KLS0762-2117712,0.0009,0.0279,0.0246,0.0133,0.9333
HMA-KLS1016-2117701,0.001,0.0318,0.0318,0.0119,0.9235
HMA-KLS1017-2117720,0.0005,0.0274,0.0257,0.0137,0.9327
HMA-KLS1020-2117696,0.0011,0.0302,0.0244,0.011,0.9333
HMA-KLS1379-3593334,0.0011,0.0362,0.0318,0.0145,0.9164
HMA-KLS1416-3593319,0.0012,0.0341,0.0349,0.0144,0.9154
HMA-KLS1421-3593374,0.001,0.0315,0.0286,0.0127,0.9262
HMA-VU46-2117754,0.0003,0.0284,0.0295,0.0442,0.8976
HMA-KLS0798-2117733,0.0013,0.0298,0.0304,0.0141,0.9244
HMA-KLS0799-2117731,0.0013,0.0382,0.0319,0.0128,0.9158
HMA-KLS0801-2117727,0.001,0.0314,0.0304,0.0119,0.9253
HMA-KLS0808-2117740,0.0011,0.0256,0.0221,0.018,0.9332
HMA-KLS0813-2117730,0.0015,0.033,0.0349,0.015,0.9156
HMA-KLS0898-2117745,0.0029,0.0301,0.0258,0.0147,0.9265
HMA-KLS0913-2117749,0.0007,0.028,0.0267,0.0213,0.9233
HMA-KLS0933-2117744,0.0027,0.0313,0.032,0.0138,0.9202
HMA-KLS1514-3593378,0.0013,0.0302,0.0297,0.0147,0.9241
HMA-KLS1522-3593369,0.0009,0.0283,0.0254,0.0151,0.9303
HMA-KLS1538-3593349,0.001,0.0303,0.0283,0.0157,0.9247
HMA-KLS1553-3593325,0.0013,0.0297,0.0241,0.0109,0.934
HMA-KLS1554-3593316,0.001,0.0301,0.0277,0.0107,0.9305
HMA-SS170809_02-2117728,0.001,0.0209,0.019,0.01,0.9491
HMA-SS170812_01-2117751,0.0007,0.0478,0.034,0.0172,0.9003
HMA-SS170814_02-2117746,0.0003,0.0511,0.0405,0.0193,0.8888
HMA-SS170818_01-2117748,0.0009,0.0505,0.0412,0.0163,0.8911
HMA-SS170820_01-2117747,0.0012,0.0316,0.0248,0.0118,0.9306
HMA-SS171024_01-2117723,0.001,0.0375,0.0315,0.0128,0.9172
HMA-VU55-2117702,0.0009,0.0279,0.0257,0.012,0.9335
HMA-VU61-2117705,0.0013,0.0248,0.0224,0.0158,0.9357
HMA-KLS1692-4013432,0.0311,0.0194,0.0161,0.0088,0.9246
HMA-KLS1694-4013434,0.0294,0.0116,0.0104,0.0066,0.942
HMA-KLS1697-4013437,0.0684,0.0032,0.0034,0.0025,0.9225
HMA-KLS1699-4013439,0.0474,0.0051,0.0047,0.0024,0.9404
HMA-KLS1703-4013443,0.0754,0.0017,0.0018,0.0014,0.9197
HMA-KLS1705-4013445,0.0515,0.0131,0.0114,0.0058,0.9182
HMA-R154981-2117752,0.0787,0.0,0.0,0.0,0.9213
HMA-WAM-R154978-2562207,0.0221,0.0224,0.0192,0.0102,0.9261
HMA-WAM-R154980-2562264,0.0119,0.0457,0.0424,0.0122,0.8878
HMA-WAM-R154981-2562169,0.091,0.0001,0.0001,0.0,0.9088
HMA-WAMR154978-2117736,0.0195,0.0438,0.0376,0.0813,0.8178
HMA-KLS1711-4013451,0.0479,0.0075,0.0072,0.0047,0.9327
