,0,1
HST-KLS1662-4013403,0.048,0.952
HST-KLS1665-4013406,0.0373,0.9627
HST-KLS1666-4013407,0.0569,0.9431
HST-KLS1667-4013408,0.0477,0.9523
HST-KLS1668-4013409,0.0469,0.9531
HST-KLS1669-4013410,0.0567,0.9433
HST-KLS1670-4013411,0.0428,0.9572
HST-KLS1671-4013412,0.0413,0.9587
HST-KLS1673-4013414,0.0522,0.9478
HST-KLS1674-4013415,0.0429,0.9571
HST-KLS1675-4013416,0.0372,0.9628
HST-KLS1676-4013417,0.0504,0.9496
HST-KLS1678-4013419,0.0447,0.9553
HST-KLS1680-4013421,0.055,0.945
HST-KLS1681-4013422,0.0474,0.9526
HST-KLS1683-4013424,0.0403,0.9597
HST-KLS1684-4013425,0.0323,0.9677
HST-KLS1685-4013426,0.0549,0.9451
HST-KLS1686-4013427,0.0384,0.9616
HST-KLS1688-4013428,0.0564,0.9436
HST-KLS1689-4013429,0.0526,0.9474
HST-KLS1691-4013431,0.0412,0.9588
HST-KLS0490-2892498,0.041,0.959
HST-KLS0527-2892409,0.056,0.944
HST-KLS0528-2892531,0.0368,0.9632
HST-KLS0566-2892525,0.031,0.969
HST-KLS0573-2892480,0.053,0.947
HST-KLS0604-2892450,0.0578,0.9422
HST-KLS0635-2562180,0.0439,0.9561
HST-KLS0636-2562216,0.0588,0.9412
HST-KLS0675-2892455,0.0435,0.9565
HST-KLS0677-2892491,0.0364,0.9636
HST-KLS0678-2892468,0.0354,0.9646
HST-KLS0679-2892438,0.0591,0.9409
HST-KLS0680-2892474,0.0339,0.9661
HST-KLS0681-2892443,0.0545,0.9455
HST-KLS0682-2892504,0.0439,0.9561
HST-KLS0686-2892505,0.0469,0.9531
HST-KLS0687-2892451,0.0316,0.9684
HST-KLS1157-3593388,0.0491,0.9509
HST-KLS1158-3593383,0.0524,0.9476
HST-KLS1159-3593340,0.0473,0.9527
HST-KLS1367-3593339,0.0449,0.9551
HST-KLS1369-3593347,0.0509,0.9491
HST-KLS1370-3593333,0.0439,0.9561
HST-KLS1371-3593312,0.053,0.947
HST-KLS1372-3593318,0.0512,0.9488
HST-KLS1380-3593381,0.0423,0.9577
HST-KLS1384-3593379,0.0464,0.9536
HST-KLS1385-3593310,0.0612,0.9388
HST-KLS1412-3593322,0.0565,0.9435
HST-KLS1414-3593346,0.0474,0.9526
HST-KLS1417-3593370,0.0491,0.9509
HST-KLS1418-3593309,0.0538,0.9462
HST-KLS1419-3593306,0.0503,0.9497
HST-KLS1420-3593353,0.0518,0.9482
HST-KLS1422-3593399,0.0391,0.9609
HST-KLS1424-3593329,0.0318,0.9682
HST-KLS1429-3593311,0.0413,0.9587
HST-VU38-2892414,0.0465,0.9535
HST-KLS0794-2562199,0.0391,0.9609
HST-KLS0795-2892379,0.0527,0.9473
HST-KLS0804-2892392,0.038,0.962
HST-KLS0843-2892452,0.0486,0.9514
HST-KLS0858-2892456,0.0509,0.9491
HST-KLS0883-2892509,0.0518,0.9482
HST-KLS0923-2892400,0.0491,0.9509
HST-KLS0938-2892388,0.03,0.97
HST-KLS0983-2892406,0.037,0.963
HST-KLS0986-2892407,0.0397,0.9603
HST-KLS1273-2892431,0.0259,0.9741
HST-KLS1274-2892410,0.0438,0.9562
HST-VU116-2892391,0.0683,0.9317
HST-KLS0559-2892377,0.0372,0.9628
HST-KLS1173-2892444,0.0468,0.9532
HST-KLS1182-2892449,0.0407,0.9593
HST-KLS1200-2892434,0.0436,0.9564
HST-KLS1206-3593330,0.0363,0.9637
HST-KLS1227-2892412,0.0474,0.9526
HST-KLS1515-3593385,0.0319,0.9681
HST-KLS1517-3593355,0.0495,0.9505
HST-KLS1528-3593321,0.0498,0.9502
HST-KLS1541-3593313,0.0448,0.9552
HST-KLS1544-3593344,0.044,0.956
HST-KLS1556-3593324,0.0346,0.9654
HST-SS170814-01-2562208,0.0691,0.9309
HST-SS170820-02-2892469,0.0408,0.9592
