,0,1,2
HST-KLS1662-4013403,0.0212,0.9544,0.0244
HST-KLS1665-4013406,0.0189,0.9608,0.0203
HST-KLS1666-4013407,0.029,0.9442,0.0268
HST-KLS1667-4013408,0.0232,0.9527,0.0241
HST-KLS1668-4013409,0.0245,0.951,0.0245
HST-KLS1669-4013410,0.0286,0.9417,0.0297
HST-KLS1670-4013411,0.0213,0.9548,0.0239
HST-KLS1671-4013412,0.0196,0.9607,0.0197
HST-KLS1673-4013414,0.0246,0.9488,0.0266
HST-KLS1674-4013415,0.0221,0.9556,0.0223
HST-KLS1675-4013416,0.0173,0.9639,0.0188
HST-KLS1676-4013417,0.0238,0.9512,0.025
HST-KLS1678-4013419,0.0218,0.9559,0.0223
HST-KLS1680-4013421,0.0269,0.9465,0.0266
HST-KLS1681-4013422,0.0248,0.951,0.0242
HST-KLS1683-4013424,0.0205,0.9593,0.0202
HST-KLS1684-4013425,0.0161,0.9674,0.0165
HST-KLS1685-4013426,0.0273,0.9463,0.0264
HST-KLS1686-4013427,0.0183,0.9632,0.0185
HST-KLS1688-4013428,0.0286,0.9431,0.0283
HST-KLS1689-4013429,0.0268,0.9467,0.0265
HST-KLS1691-4013431,0.0212,0.9582,0.0206
HST-KLS0490-2892498,0.0193,0.9611,0.0196
HST-KLS0527-2892409,0.0256,0.9487,0.0257
HST-KLS0528-2892531,0.0175,0.965,0.0175
HST-KLS0566-2892525,0.0155,0.9686,0.0159
HST-KLS0573-2892480,0.0244,0.9492,0.0264
HST-KLS0604-2892450,0.0281,0.9413,0.0306
HST-KLS0635-2562180,0.0222,0.9554,0.0224
HST-KLS0636-2562216,0.028,0.9404,0.0316
HST-KLS0675-2892455,0.0196,0.9602,0.0202
HST-KLS0677-2892491,0.017,0.9657,0.0173
HST-KLS0678-2892468,0.0183,0.9622,0.0195
HST-KLS0679-2892438,0.0291,0.9437,0.0272
HST-KLS0680-2892474,0.016,0.9667,0.0173
HST-KLS0681-2892443,0.0275,0.9445,0.028
HST-KLS0682-2892504,0.0209,0.9573,0.0218
HST-KLS0686-2892505,0.0227,0.9535,0.0238
HST-KLS0687-2892451,0.0152,0.9687,0.0161
HST-KLS1157-3593388,0.0224,0.9557,0.0219
HST-KLS1158-3593383,0.0259,0.9481,0.026
HST-KLS1159-3593340,0.0227,0.954,0.0233
HST-KLS1367-3593339,0.0231,0.9531,0.0238
HST-KLS1369-3593347,0.0246,0.9507,0.0247
HST-KLS1370-3593333,0.0201,0.959,0.0209
HST-KLS1371-3593312,0.0265,0.9474,0.0261
HST-KLS1372-3593318,0.025,0.9492,0.0258
HST-KLS1380-3593381,0.0213,0.9563,0.0224
HST-KLS1384-3593379,0.0218,0.9535,0.0247
HST-KLS1385-3593310,0.0295,0.9377,0.0328
HST-KLS1412-3593322,0.0277,0.9451,0.0272
HST-KLS1414-3593346,0.0236,0.9529,0.0235
HST-KLS1417-3593370,0.0251,0.9502,0.0247
HST-KLS1418-3593309,0.0278,0.9448,0.0274
HST-KLS1419-3593306,0.0263,0.9473,0.0264
HST-KLS1420-3593353,0.0258,0.9472,0.027
HST-KLS1422-3593399,0.0181,0.9625,0.0194
HST-KLS1424-3593329,0.0168,0.9665,0.0167
HST-KLS1429-3593311,0.0205,0.9595,0.02
HST-VU38-2892414,0.0228,0.9536,0.0236
HST-KLS0794-2562199,0.0201,0.9587,0.0212
HST-KLS0795-2892379,0.0244,0.949,0.0266
HST-KLS0804-2892392,0.0184,0.9613,0.0203
HST-KLS0843-2892452,0.0239,0.9516,0.0245
HST-KLS0858-2892456,0.0242,0.9507,0.0251
HST-KLS0883-2892509,0.0256,0.949,0.0254
HST-KLS0923-2892400,0.0238,0.9502,0.026
HST-KLS0938-2892388,0.016,0.9681,0.0159
HST-KLS0983-2892406,0.0175,0.9644,0.0181
HST-KLS0986-2892407,0.0196,0.9604,0.02
HST-KLS1273-2892431,0.0119,0.9758,0.0123
HST-KLS1274-2892410,0.0236,0.9521,0.0243
HST-VU116-2892391,0.0355,0.9312,0.0333
HST-KLS0559-2892377,0.0188,0.963,0.0182
HST-KLS1173-2892444,0.0235,0.9523,0.0242
HST-KLS1182-2892449,0.0192,0.9595,0.0213
HST-KLS1200-2892434,0.0223,0.9561,0.0216
HST-KLS1206-3593330,0.0168,0.9655,0.0177
HST-KLS1227-2892412,0.0234,0.9518,0.0248
HST-KLS1515-3593385,0.0154,0.9695,0.0151
HST-KLS1517-3593355,0.0259,0.9471,0.027
HST-KLS1528-3593321,0.0244,0.9516,0.024
HST-KLS1541-3593313,0.0211,0.9583,0.0206
HST-KLS1544-3593344,0.0211,0.9577,0.0212
HST-KLS1556-3593324,0.0164,0.9669,0.0167
HST-SS170814-01-2562208,0.0334,0.9278,0.0388
HST-SS170820-02-2892469,0.0206,0.9594,0.02
