,0,1
ALA-KLS1661-4013402,0.0448,0.9552
ALA-KLS1663-4013404,0.0462,0.9538
ALA-KLS1664-4013405,0.0468,0.9532
ALA-KLS1682-4013423,0.0458,0.9542
ALA-KLS1690-4013430,0.0518,0.9482
ALA-KLS1140-2892558,0.0394,0.9606
ALA-KLS1161-2892441,0.04,0.96
ALA-KLS1162-2892512,0.043,0.957
ALA-KLS1163-2892427,0.0452,0.9548
ALA-KLS1165-2892485,0.0388,0.9612
ALA-KLS1166-2892541,0.0452,0.9548
ALA-KLS1167-2892484,0.0502,0.9498
ALA-KLS1168-2892413,0.0408,0.9592
ALA-KLS1169-2892448,0.0488,0.9512
ALA-KLS1170-2892511,0.0432,0.9568
ALA-KLS1366-3593364,0.0418,0.9582
ALA-KLS1373-3593328,0.0506,0.9494
ALA-KLS1387-3593387,0.0486,0.9514
ALA-KLS1413-3593365,0.0442,0.9558
ALA-KLS1415-3593359,0.043,0.957
ALA-VU15-2892510,0.038,0.962
ALA-VU20-2892394,0.0408,0.9592
ALA-VU21-2892380,0.0446,0.9554
ALA-VU33-2892383,0.0482,0.9518
ALA-VU37-2892482,0.0486,0.9514
ALA-VU47-2892477,0.039,0.961
ALA-VU50-2892527,0.0502,0.9498
ALA-KLS0793-2892513,0.0388,0.9612
ALA-KLS0796-2892514,0.0466,0.9534
ALA-KLS0797-2892471,0.039,0.961
ALA-KLS0857-2892463,0.0496,0.9504
ALA-KLS0871-2892523,0.0504,0.9496
ALA-KLS0872-2892526,0.035,0.965
ALA-KLS1444-3593398,0.0622,0.9378
ALA-KLS1448-3593341,0.045,0.955
ALA-KLS1452-3593342,0.0396,0.9604
ALA-KLS1467-3593390,0.0414,0.9586
ALA-KLS1474-3593384,0.0428,0.9572
ALA-KLS1479-3593389,0.036,0.964
ALA-KLS1492-3593391,0.0446,0.9554
APO-KLS1002-2562146,0.0432,0.9568
ALA-KLS0564-R174540-2892378,0.041,0.959
ALA-KLS1526-3593366,0.0474,0.9526
ALA-KLS1548-3593373,0.0494,0.9506
ALA-KLS1549-3593354,0.0426,0.9574
ALA-KLS1555-3593323,0.0392,0.9608
ALA-SS170808-01-2562218,0.0418,0.9582
ALA-SS170808-06-2892529,0.0436,0.9564
ALA-SS170809-01-2892375,0.0452,0.9548
ALA-SS170809-03-2892475,0.045,0.955
ALA-SS170810-01-2892386,0.034,0.966
ALA-SS170813-01-2892422,0.0456,0.9544
ALA-SS170815-01-2892435,0.0374,0.9626
ALA-SS170815-03-2892473,0.0456,0.9544
ALA-SS170815-04-2892440,0.0458,0.9542
ALA-SS170816-01-2892493,0.0398,0.9602
ALA-SS170820-05-2892447,0.043,0.957
ALA-SS170822-01-2892494,0.0468,0.9532
ALA-SS170822-02-2892495,0.0812,0.9188
ALA-SS170822-03-2892528,0.051,0.949
ALA-SS171011-02-2892425,0.0426,0.9574
ALA-SS171011-03-2892496,0.0378,0.9622
ALA-SS171018-02-2892517,0.037,0.963
ALA-SS171025-01-2892506,0.043,0.957
ALA-SS171104-01-2892432,0.0402,0.9598
ALA-SS171105-01-2892472,0.0406,0.9594
ALA-SS171106-02-2892479,0.042,0.958
ALA-SS171106-03-2892404,0.0286,0.9714
ALA-VU51-2892500,0.035,0.965
ALA-VU53-2892376,0.0376,0.9624
ALA-VU62-2892417,0.044,0.956
APO-BD304-2892487,0.0444,0.9556
APO-BD320-2892516,0.0394,0.9606
APO-BD325-2892538,0.0378,0.9622
APO-BD326-2892550,0.049,0.951
APO-BD330-2892535,0.0376,0.9624
APO-BD331-2892519,0.0376,0.9624
APO-BD337-2892483,0.0344,0.9656
APO-BD338-2892540,0.0426,0.9574
APO-BD339-2892520,0.0352,0.9648
APO-BD342-2892423,0.042,0.958
