,0,1,2
ALA-KLS1661-4013402,0.023,0.0224,0.9546
ALA-KLS1663-4013404,0.0248,0.025,0.9502
ALA-KLS1664-4013405,0.0236,0.0246,0.9518
ALA-KLS1682-4013423,0.0218,0.023,0.9552
ALA-KLS1690-4013430,0.0244,0.0274,0.9482
ALA-KLS1140-2892558,0.019,0.0206,0.9604
ALA-KLS1161-2892441,0.0214,0.0216,0.957
ALA-KLS1162-2892512,0.0198,0.0222,0.958
ALA-KLS1163-2892427,0.021,0.0234,0.9556
ALA-KLS1165-2892485,0.0196,0.0208,0.9596
ALA-KLS1166-2892541,0.0224,0.0222,0.9554
ALA-KLS1167-2892484,0.0242,0.0258,0.95
ALA-KLS1168-2892413,0.0188,0.019,0.9622
ALA-KLS1169-2892448,0.0238,0.023,0.9532
ALA-KLS1170-2892511,0.0204,0.0206,0.959
ALA-KLS1366-3593364,0.0206,0.0228,0.9566
ALA-KLS1373-3593328,0.0254,0.0278,0.9468
ALA-KLS1387-3593387,0.0238,0.0256,0.9506
ALA-KLS1413-3593365,0.0206,0.0208,0.9586
ALA-KLS1415-3593359,0.0208,0.0224,0.9568
ALA-VU15-2892510,0.0182,0.0188,0.963
ALA-VU20-2892394,0.0192,0.021,0.9598
ALA-VU21-2892380,0.0202,0.023,0.9568
ALA-VU33-2892383,0.022,0.0242,0.9538
ALA-VU37-2892482,0.0246,0.0242,0.9512
ALA-VU47-2892477,0.0188,0.0184,0.9628
ALA-VU50-2892527,0.0236,0.023,0.9534
ALA-KLS0793-2892513,0.0166,0.0176,0.9658
ALA-KLS0796-2892514,0.0222,0.0232,0.9546
ALA-KLS0797-2892471,0.0176,0.0204,0.962
ALA-KLS0857-2892463,0.0196,0.0228,0.9576
ALA-KLS0871-2892523,0.0226,0.025,0.9524
ALA-KLS0872-2892526,0.0182,0.0186,0.9632
ALA-KLS1444-3593398,0.0294,0.0328,0.9378
ALA-KLS1448-3593341,0.0224,0.0232,0.9544
ALA-KLS1452-3593342,0.02,0.0208,0.9592
ALA-KLS1467-3593390,0.0214,0.022,0.9566
ALA-KLS1474-3593384,0.0206,0.0214,0.958
ALA-KLS1479-3593389,0.0192,0.0192,0.9616
ALA-KLS1492-3593391,0.0214,0.0206,0.958
APO-KLS1002-2562146,0.0208,0.023,0.9562
ALA-KLS0564-R174540-2892378,0.0202,0.0202,0.9596
ALA-KLS1526-3593366,0.0208,0.024,0.9552
ALA-KLS1548-3593373,0.0258,0.0278,0.9464
ALA-KLS1549-3593354,0.0204,0.0206,0.959
ALA-KLS1555-3593323,0.0194,0.0212,0.9594
ALA-SS170808-01-2562218,0.0198,0.0212,0.959
ALA-SS170808-06-2892529,0.0214,0.0226,0.956
ALA-SS170809-01-2892375,0.0184,0.0196,0.962
ALA-SS170809-03-2892475,0.023,0.0214,0.9556
ALA-SS170810-01-2892386,0.0186,0.0196,0.9618
ALA-SS170813-01-2892422,0.0202,0.0224,0.9574
ALA-SS170815-01-2892435,0.019,0.0192,0.9618
ALA-SS170815-03-2892473,0.0216,0.0234,0.955
ALA-SS170815-04-2892440,0.0232,0.0234,0.9534
ALA-SS170816-01-2892493,0.0206,0.0208,0.9586
ALA-SS170820-05-2892447,0.0202,0.022,0.9578
ALA-SS170822-01-2892494,0.021,0.0244,0.9546
ALA-SS170822-02-2892495,0.0346,0.0468,0.9186
ALA-SS170822-03-2892528,0.0272,0.0248,0.948
ALA-SS171011-02-2892425,0.0204,0.0218,0.9578
ALA-SS171011-03-2892496,0.017,0.0174,0.9656
ALA-SS171018-02-2892517,0.0202,0.0202,0.9596
ALA-SS171025-01-2892506,0.0204,0.0216,0.958
ALA-SS171104-01-2892432,0.0192,0.02,0.9608
ALA-SS171105-01-2892472,0.0202,0.02,0.9598
ALA-SS171106-02-2892479,0.02,0.021,0.959
ALA-SS171106-03-2892404,0.0154,0.0164,0.9682
ALA-VU51-2892500,0.017,0.0184,0.9646
ALA-VU53-2892376,0.0192,0.0186,0.9622
ALA-VU62-2892417,0.0212,0.0214,0.9574
APO-BD304-2892487,0.0218,0.0228,0.9554
APO-BD320-2892516,0.0206,0.0208,0.9586
APO-BD325-2892538,0.0202,0.0198,0.96
APO-BD326-2892550,0.0206,0.0206,0.9588
APO-BD330-2892535,0.0182,0.0188,0.963
APO-BD331-2892519,0.0194,0.0184,0.9622
APO-BD337-2892483,0.0176,0.0176,0.9648
APO-BD338-2892540,0.022,0.022,0.956
APO-BD339-2892520,0.0176,0.0182,0.9642
APO-BD342-2892423,0.0204,0.021,0.9586
