,0,1,2,3
ALA-KLS1661-4013402,0.9561,0.0079,0.0163,0.0197
ALA-KLS1663-4013404,0.9528,0.007,0.0193,0.0209
ALA-KLS1664-4013405,0.9551,0.0065,0.0191,0.0193
ALA-KLS1682-4013423,0.952,0.007,0.0195,0.0215
ALA-KLS1690-4013430,0.9525,0.0079,0.0205,0.0191
ALA-KLS1140-2892558,0.962,0.0061,0.0149,0.017
ALA-KLS1161-2892441,0.957,0.0067,0.0166,0.0197
ALA-KLS1162-2892512,0.9612,0.0061,0.0158,0.0169
ALA-KLS1163-2892427,0.9567,0.0062,0.018,0.0191
ALA-KLS1165-2892485,0.9619,0.0069,0.0152,0.016
ALA-KLS1166-2892541,0.9552,0.0067,0.0197,0.0184
ALA-KLS1167-2892484,0.9496,0.0082,0.0202,0.022
ALA-KLS1168-2892413,0.9635,0.0067,0.014,0.0158
ALA-KLS1169-2892448,0.9564,0.0062,0.0187,0.0187
ALA-KLS1170-2892511,0.9566,0.0067,0.0165,0.0202
ALA-KLS1366-3593364,0.9556,0.0068,0.0184,0.0192
ALA-KLS1373-3593328,0.9515,0.0074,0.0205,0.0206
ALA-KLS1387-3593387,0.9499,0.008,0.0195,0.0226
ALA-KLS1413-3593365,0.9578,0.0069,0.0176,0.0177
ALA-KLS1415-3593359,0.9589,0.0064,0.0161,0.0186
ALA-VU15-2892510,0.9621,0.0061,0.0151,0.0167
ALA-VU20-2892394,0.9598,0.0069,0.0154,0.0179
ALA-VU21-2892380,0.9583,0.007,0.0166,0.0181
ALA-VU33-2892383,0.9553,0.0067,0.0166,0.0214
ALA-VU37-2892482,0.9561,0.0074,0.0169,0.0196
ALA-VU47-2892477,0.9627,0.0063,0.015,0.016
ALA-VU50-2892527,0.9475,0.0087,0.0209,0.0229
ALA-KLS0793-2892513,0.9689,0.0053,0.013,0.0128
ALA-KLS0796-2892514,0.9577,0.0066,0.0163,0.0194
ALA-KLS0797-2892471,0.962,0.0075,0.0146,0.0159
ALA-KLS0857-2892463,0.9575,0.0058,0.0178,0.0189
ALA-KLS0871-2892523,0.9516,0.0062,0.0183,0.0239
ALA-KLS0872-2892526,0.963,0.0059,0.0144,0.0167
ALA-KLS1444-3593398,0.9447,0.0081,0.0213,0.0259
ALA-KLS1448-3593341,0.9549,0.0069,0.019,0.0192
ALA-KLS1452-3593342,0.9624,0.0068,0.0162,0.0146
ALA-KLS1467-3593390,0.9576,0.0065,0.0175,0.0184
ALA-KLS1474-3593384,0.96,0.0059,0.0152,0.0189
ALA-KLS1479-3593389,0.9639,0.007,0.0141,0.015
ALA-KLS1492-3593391,0.9577,0.0077,0.0171,0.0175
APO-KLS1002-2562146,0.9581,0.0108,0.0141,0.017
ALA-KLS0564-R174540-2892378,0.9613,0.0068,0.0163,0.0156
ALA-KLS1526-3593366,0.9543,0.0061,0.0187,0.0209
ALA-KLS1548-3593373,0.951,0.0093,0.0195,0.0202
ALA-KLS1549-3593354,0.9569,0.0067,0.0186,0.0178
ALA-KLS1555-3593323,0.9609,0.0056,0.0143,0.0192
ALA-SS170808-01-2562218,0.9576,0.0077,0.0172,0.0175
ALA-SS170808-06-2892529,0.9538,0.0077,0.0178,0.0207
ALA-SS170809-01-2892375,0.9588,0.0075,0.0161,0.0176
ALA-SS170809-03-2892475,0.9564,0.0067,0.0169,0.02
ALA-SS170810-01-2892386,0.964,0.0066,0.0151,0.0143
ALA-SS170813-01-2892422,0.9595,0.006,0.0152,0.0193
ALA-SS170815-01-2892435,0.9646,0.0061,0.0142,0.0151
ALA-SS170815-03-2892473,0.9534,0.0065,0.0186,0.0215
ALA-SS170815-04-2892440,0.9564,0.0068,0.0174,0.0194
ALA-SS170816-01-2892493,0.9601,0.0076,0.0152,0.0171
ALA-SS170820-05-2892447,0.9595,0.0084,0.0161,0.016
ALA-SS170822-01-2892494,0.9535,0.0065,0.0198,0.0202
ALA-SS170822-02-2892495,0.9223,0.0075,0.0252,0.045
ALA-SS170822-03-2892528,0.9494,0.0084,0.0215,0.0207
ALA-SS171011-02-2892425,0.9591,0.0071,0.0179,0.0159
ALA-SS171011-03-2892496,0.9658,0.0061,0.0139,0.0142
ALA-SS171018-02-2892517,0.9617,0.0103,0.0137,0.0143
ALA-SS171025-01-2892506,0.9566,0.0067,0.0171,0.0196
ALA-SS171104-01-2892432,0.9604,0.0064,0.0169,0.0163
ALA-SS171105-01-2892472,0.9578,0.0075,0.0179,0.0168
ALA-SS171106-02-2892479,0.9614,0.0062,0.0153,0.0171
ALA-SS171106-03-2892404,0.9671,0.0053,0.0133,0.0143
ALA-VU51-2892500,0.964,0.0074,0.0139,0.0147
ALA-VU53-2892376,0.9622,0.0076,0.0143,0.0159
ALA-VU62-2892417,0.9606,0.0065,0.0154,0.0175
APO-BD304-2892487,0.9546,0.016,0.0139,0.0155
APO-BD320-2892516,0.9633,0.0184,0.0083,0.01
APO-BD325-2892538,0.9618,0.02,0.0092,0.009
APO-BD326-2892550,0.9572,0.0206,0.0114,0.0108
APO-BD330-2892535,0.9649,0.0114,0.0112,0.0125
APO-BD331-2892519,0.9654,0.0171,0.0088,0.0087
APO-BD337-2892483,0.966,0.0135,0.0104,0.0101
APO-BD338-2892540,0.959,0.0243,0.0082,0.0085
APO-BD339-2892520,0.9659,0.0096,0.0118,0.0127
APO-BD342-2892423,0.9589,0.0192,0.011,0.0109
