,0,1,2,3,4,5
ALA-KLS1661-4013402,0.0086,0.0094,0.9578,0.0084,0.0078,0.008
ALA-KLS1663-4013404,0.0092,0.0102,0.9548,0.0102,0.0086,0.007
ALA-KLS1664-4013405,0.012,0.0088,0.9532,0.0094,0.0096,0.007
ALA-KLS1682-4013423,0.0116,0.0104,0.9482,0.0112,0.0094,0.0092
ALA-KLS1690-4013430,0.0112,0.009,0.9504,0.0102,0.0092,0.01
ALA-KLS1140-2892558,0.0092,0.0074,0.9618,0.0084,0.0068,0.0064
ALA-KLS1161-2892441,0.0094,0.0084,0.957,0.0104,0.0082,0.0066
ALA-KLS1162-2892512,0.0108,0.0082,0.9554,0.0096,0.0078,0.0082
ALA-KLS1163-2892427,0.0098,0.0102,0.9534,0.0094,0.01,0.0072
ALA-KLS1165-2892485,0.0078,0.0074,0.9622,0.0078,0.0076,0.0072
ALA-KLS1166-2892541,0.01,0.0092,0.9536,0.0112,0.0088,0.0072
ALA-KLS1167-2892484,0.0106,0.0102,0.9482,0.0116,0.0102,0.0092
ALA-KLS1168-2892413,0.0078,0.0086,0.962,0.0078,0.007,0.0068
ALA-KLS1169-2892448,0.0112,0.01,0.9508,0.0104,0.0098,0.0078
ALA-KLS1170-2892511,0.0114,0.0082,0.9564,0.009,0.0074,0.0076
ALA-KLS1366-3593364,0.0092,0.01,0.9576,0.0086,0.0074,0.0072
ALA-KLS1373-3593328,0.0098,0.0106,0.949,0.0112,0.01,0.0094
ALA-KLS1387-3593387,0.0106,0.01,0.95,0.0124,0.0094,0.0076
ALA-KLS1413-3593365,0.01,0.0088,0.954,0.01,0.0092,0.008
ALA-KLS1415-3593359,0.0104,0.0084,0.9566,0.0092,0.0084,0.007
ALA-VU15-2892510,0.0084,0.0094,0.9588,0.0088,0.008,0.0066
ALA-VU20-2892394,0.0096,0.0068,0.9606,0.0094,0.0068,0.0068
ALA-VU21-2892380,0.0104,0.009,0.9566,0.0096,0.008,0.0064
ALA-VU33-2892383,0.0096,0.0102,0.9534,0.0098,0.0096,0.0074
ALA-VU37-2892482,0.012,0.0084,0.9504,0.0118,0.0092,0.0082
ALA-VU47-2892477,0.0086,0.008,0.9622,0.0086,0.0062,0.0064
ALA-VU50-2892527,0.0098,0.0112,0.9494,0.0098,0.009,0.0108
ALA-KLS0793-2892513,0.007,0.008,0.9634,0.008,0.0076,0.006
ALA-KLS0796-2892514,0.0094,0.0092,0.9536,0.0108,0.0086,0.0084
ALA-KLS0797-2892471,0.0086,0.008,0.9602,0.0094,0.0072,0.0066
ALA-KLS0857-2892463,0.0126,0.0086,0.951,0.0116,0.0088,0.0074
ALA-KLS0871-2892523,0.0102,0.0102,0.953,0.0098,0.0096,0.0072
ALA-KLS0872-2892526,0.0068,0.0064,0.9682,0.0068,0.0064,0.0054
ALA-KLS1444-3593398,0.0132,0.0106,0.9412,0.014,0.0118,0.0092
ALA-KLS1448-3593341,0.0106,0.0098,0.9542,0.0082,0.0086,0.0086
ALA-KLS1452-3593342,0.0084,0.0076,0.9576,0.0092,0.0088,0.0084
ALA-KLS1467-3593390,0.0088,0.0074,0.9598,0.009,0.0078,0.0072
ALA-KLS1474-3593384,0.0092,0.0086,0.956,0.0098,0.0088,0.0076
ALA-KLS1479-3593389,0.007,0.008,0.9628,0.0078,0.0074,0.007
ALA-KLS1492-3593391,0.0084,0.008,0.9572,0.0086,0.0092,0.0086
APO-KLS1002-2562146,0.0092,0.0088,0.958,0.0086,0.0082,0.0072
ALA-KLS0564-R174540-2892378,0.008,0.0086,0.958,0.0098,0.0088,0.0068
ALA-KLS1526-3593366,0.011,0.0098,0.9512,0.0104,0.0096,0.008
ALA-KLS1548-3593373,0.0134,0.0122,0.9452,0.0112,0.0096,0.0084
ALA-KLS1549-3593354,0.0094,0.008,0.9562,0.0112,0.0076,0.0076
ALA-KLS1555-3593323,0.0102,0.0076,0.9624,0.0074,0.0068,0.0056
ALA-SS170808-01-2562218,0.009,0.0072,0.9584,0.0102,0.0082,0.007
ALA-SS170808-06-2892529,0.0094,0.0106,0.954,0.009,0.009,0.008
ALA-SS170809-01-2892375,0.0084,0.0084,0.958,0.009,0.0086,0.0076
ALA-SS170809-03-2892475,0.0102,0.0104,0.9524,0.0096,0.0092,0.0082
ALA-SS170810-01-2892386,0.0068,0.008,0.9636,0.008,0.0066,0.007
ALA-SS170813-01-2892422,0.0096,0.0076,0.9588,0.0098,0.0074,0.0068
ALA-SS170815-01-2892435,0.0078,0.0082,0.9618,0.0078,0.0068,0.0076
ALA-SS170815-03-2892473,0.0106,0.0096,0.955,0.01,0.0088,0.006
ALA-SS170815-04-2892440,0.0098,0.0096,0.9534,0.0118,0.0086,0.0068
ALA-SS170816-01-2892493,0.0086,0.0074,0.9584,0.0092,0.0076,0.0088
ALA-SS170820-05-2892447,0.0102,0.0092,0.9566,0.0098,0.0078,0.0064
ALA-SS170822-01-2892494,0.01,0.0106,0.9538,0.0116,0.0074,0.0066
ALA-SS170822-02-2892495,0.0248,0.0142,0.9218,0.0218,0.0108,0.0066
ALA-SS170822-03-2892528,0.0116,0.0104,0.947,0.0114,0.0108,0.0088
ALA-SS171011-02-2892425,0.009,0.0092,0.9552,0.0096,0.0088,0.0082
ALA-SS171011-03-2892496,0.0072,0.0072,0.9648,0.0074,0.0068,0.0066
ALA-SS171018-02-2892517,0.0072,0.0074,0.9642,0.0078,0.0068,0.0066
ALA-SS171025-01-2892506,0.0092,0.0088,0.9568,0.0096,0.0078,0.0078
ALA-SS171104-01-2892432,0.0084,0.0076,0.9604,0.0086,0.0074,0.0076
ALA-SS171105-01-2892472,0.0082,0.0082,0.9604,0.008,0.0088,0.0064
ALA-SS171106-02-2892479,0.0076,0.0094,0.9576,0.009,0.009,0.0074
ALA-SS171106-03-2892404,0.0072,0.0072,0.965,0.0078,0.007,0.0058
ALA-VU51-2892500,0.008,0.0076,0.9634,0.008,0.0068,0.0062
ALA-VU53-2892376,0.0074,0.0084,0.9586,0.009,0.0088,0.0078
ALA-VU62-2892417,0.0106,0.009,0.9558,0.0104,0.0072,0.007
APO-BD304-2892487,0.0108,0.0092,0.9528,0.009,0.01,0.0082
APO-BD320-2892516,0.0082,0.0074,0.9596,0.0098,0.0076,0.0074
APO-BD325-2892538,0.0076,0.008,0.9594,0.0078,0.0088,0.0084
APO-BD326-2892550,0.0096,0.0088,0.9534,0.0094,0.0076,0.0112
APO-BD330-2892535,0.0082,0.0078,0.9622,0.0072,0.0072,0.0074
APO-BD331-2892519,0.0086,0.008,0.9616,0.0082,0.0074,0.0062
APO-BD337-2892483,0.0076,0.008,0.9608,0.0082,0.0072,0.0082
APO-BD338-2892540,0.0088,0.0084,0.956,0.009,0.0086,0.0092
APO-BD339-2892520,0.0062,0.008,0.9646,0.0074,0.0066,0.0072
APO-BD342-2892423,0.0074,0.0072,0.962,0.0082,0.0072,0.008
