,0,1,2
ALA-AL402-3991433,0.001,0.9954,0.0036
ALA-AL403-3991434,0.0126,0.9776,0.0098
ALA-AL405-3991436,0.0012,0.9923,0.0065
ALA-AL406-3991437,0.0029,0.9719,0.0252
ALA-AL407-3991438,0.001,0.9838,0.0152
ALA-AL408-3991439,0.0119,0.9846,0.0035
ALA-AL409-3991440,0.0672,0.9245,0.0083
ALA-AL410-3991441,0.001,0.9966,0.0024
ALA-AL411-3991442,0.003,0.9924,0.0046
ALA-AL412-3991443,0.001,0.9903,0.0087
ALA-AL413-3991444,0.001,0.9931,0.0059
ALA-AL414-3991445,0.0014,0.99,0.0086
ALA-AL415-3991446,0.001,0.9954,0.0036
ALA-AL416-3991447,0.007,0.9853,0.0077
ALA-AL417-3991448,0.0091,0.986,0.0049
ALA-AL418-3991449,0.001,0.9879,0.0111
ALA-AL419-3991450,0.0035,0.982,0.0145
ALA-AL420-3991451,0.0085,0.9827,0.0088
ALA-AL422-3991452,0.0008,0.996,0.0032
ALA-AL423-3991453,0.0016,0.9887,0.0097
ALA-AL424-4013486,0.0015,0.9795,0.019
ALA-AL425-3991454,0.0023,0.9812,0.0165
ALA-AL426-3991455,0.0042,0.9933,0.0025
ALA-AL427-3991456,0.0018,0.9964,0.0018
ALA-AL429-3991457,0.0012,0.9943,0.0045
ALA-AL430-3991458,0.0011,0.9955,0.0034
ALA-AL431-3991459,0.0045,0.983,0.0125
ALA-AL432-3991460,0.0011,0.9968,0.0021
ALA-AL433-3991461,0.001,0.9932,0.0058
ALA-AL434-3991462,0.0023,0.9954,0.0023
ALA-AL435-3991463,0.0024,0.9933,0.0043
ALA-AL436-3991464,0.001,0.997,0.002
ALA-AL437-3991465,0.0138,0.9818,0.0044
ALA-AL439-3991466,0.0013,0.9943,0.0044
ALA-AL440-3991467,0.0197,0.9741,0.0062
ALA-AL441-3991468,0.0011,0.9967,0.0022
ALA-AL442-3991469,0.001,0.9947,0.0043
ALA-Al003-3991431,0.0097,0.9841,0.0062
ALA-Al272-3991284,0.003,0.9947,0.0023
ALA-Al274-3991285,0.001,0.9967,0.0023
ALA-Al275-3991286,0.001,0.9946,0.0044
ALA-Al277-3991287,0.0032,0.9815,0.0153
ALA-Al278-3991288,0.001,0.9957,0.0033
ALA-Al279-3991289,0.001,0.9916,0.0074
ALA-Al280-3991290,0.0013,0.9882,0.0105
ALA-Al281-3991291,0.0051,0.9784,0.0165
ALA-Al282-3991292,0.001,0.9961,0.0029
ALA-Al283-3991293,0.001,0.993,0.006
ALA-Al285-3991294,0.0046,0.99,0.0054
ALA-Al286-3991295,0.0063,0.9768,0.0169
ALA-Al287-3991296,0.0015,0.9946,0.0039
ALA-Al288-3991297,0.0013,0.9938,0.0049
ALA-Al290-3991298,0.001,0.9888,0.0102
ALA-Al291-3991299,0.0171,0.9739,0.009
ALA-Al292-3991300,0.001,0.9911,0.0079
ALA-Al293-3991301,0.002,0.9965,0.0015
ALA-Al295-3991302,0.0084,0.9887,0.0029
ALA-Al296-3991303,0.001,0.9822,0.0168
ALA-Al297-3991304,0.0498,0.9472,0.003
ALA-Al299-3991305,0.0027,0.9388,0.0585
ALA-Al300-3991306,0.0026,0.9951,0.0023
ALA-Al301-3991307,0.002,0.9526,0.0454
ALA-Al302-3991308,0.001,0.997,0.002
ALA-Al303-3991309,0.001,0.9815,0.0175
ALA-Al304-3991310,0.0032,0.9938,0.003
ALA-Al305-3991311,0.001,0.9967,0.0023
ALA-Al306-3991312,0.0018,0.8909,0.1073
ALA-Al307-3991313,0.0047,0.991,0.0043
ALA-Al308-3991314,0.001,0.9969,0.0021
ALA-Al318-3991315,0.003,0.9924,0.0046
ALA-Al319-3991316,0.001,0.996,0.003
ALA-Al320-3991317,0.0024,0.9241,0.0735
ALA-Al321-3991414,0.0011,0.9967,0.0022
ALA-Al324-3991415,0.0024,0.9918,0.0058
ALA-Al325-3991416,0.0096,0.9722,0.0182
ALA-Al326-3991417,0.0014,0.9965,0.0021
ALA-Al327-3991418,0.0011,0.9952,0.0037
ALA-Al329-3991419,0.0012,0.9966,0.0022
ALA-Al331-3991420,0.001,0.9969,0.0021
ALA-Al333-3991421,0.0022,0.9955,0.0023
ALA-Al336-3991422,0.001,0.997,0.002
ALA-Al338-3991423,0.0013,0.9954,0.0033
ALA-Al342-3991424,0.0011,0.9937,0.0052
ALA-Al344-3991425,0.0027,0.9952,0.0021
ALA-Al346-3991426,0.001,0.9974,0.0016
ALA-Al4-2562181,0.0033,0.9803,0.0164
ALA-KLS1140-2892558,0.0111,0.047,0.9419
ALA-KLS1161-2892441,0.0017,0.0165,0.9818
ALA-KLS1162-2892512,0.0016,0.0035,0.9949
ALA-KLS1163-2892427,0.0011,0.0206,0.9783
ALA-KLS1165-2892485,0.0022,0.0055,0.9923
ALA-KLS1166-2892541,0.0019,0.0992,0.8989
ALA-KLS1167-2892484,0.0012,0.0047,0.9941
ALA-KLS1168-2892413,0.0013,0.0898,0.9089
ALA-KLS1169-2892448,0.0197,0.0678,0.9125
ALA-KLS1170-2892511,0.0048,0.017,0.9782
ALA-KLS1366-3593364,0.0012,0.0079,0.9909
ALA-KLS1373-3593328,0.0362,0.0217,0.9421
ALA-KLS1387-3593387,0.0034,0.0158,0.9808
ALA-KLS1413-3593365,0.001,0.0108,0.9882
ALA-KLS1415-3593359,0.0076,0.0161,0.9763
ALA-KLS1661-4013402,0.0022,0.0062,0.9916
ALA-KLS1663-4013404,0.0019,0.0053,0.9928
ALA-KLS1664-4013405,0.0024,0.0069,0.9907
ALA-KLS1682-4013423,0.0018,0.0026,0.9956
ALA-KLS1690-4013430,0.0023,0.0017,0.996
ALA-VU15-2892510,0.0036,0.0025,0.9939
ALA-VU20-2892394,0.0121,0.0259,0.962
ALA-VU21-2892380,0.0025,0.0041,0.9934
ALA-VU33-2892383,0.0034,0.0027,0.9939
ALA-VU37-2892482,0.0027,0.0057,0.9916
ALA-VU47-2892477,0.0063,0.0027,0.991
ALA-VU50-2892527,0.0022,0.024,0.9738
ALA-KLS0793-2892513,0.0014,0.0017,0.9969
ALA-KLS0796-2892514,0.0087,0.0277,0.9636
ALA-KLS0797-2892471,0.0012,0.0028,0.996
ALA-KLS0857-2892463,0.0047,0.0011,0.9942
ALA-KLS0871-2892523,0.0023,0.0047,0.993
ALA-KLS0872-2892526,0.001,0.0021,0.9969
ALA-KLS1444-3593398,0.0027,0.002,0.9953
ALA-KLS1448-3593341,0.0112,0.0034,0.9854
ALA-KLS1452-3593342,0.0022,0.0065,0.9913
ALA-KLS1467-3593390,0.0017,0.0044,0.9939
ALA-KLS1474-3593384,0.0019,0.021,0.9771
ALA-KLS1479-3593389,0.0033,0.0098,0.9869
ALA-KLS1492-3593391,0.0018,0.0024,0.9958
APO-KLS1002-2562146,0.0011,0.0053,0.9936
ALA-MAGNT-R36654-2583996,0.6872,0.0302,0.2826
ALA-R29880-2892521,0.7498,0.0581,0.1922
ALA-R36967-2892426,0.6825,0.0035,0.314
ALA-R36974-2892437,0.8227,0.158,0.0193
ALA-R37003-2892459,0.7552,0.0636,0.1812
ALA-R37010-2892460,0.8164,0.0364,0.1472
ALA-R37025-2892461,0.7276,0.041,0.2314
ALA-R37027-2892458,0.7306,0.0153,0.2541
ALA-R37032-2892401,0.8107,0.0603,0.129
ALA-R37034-2892486,0.7273,0.1168,0.1559
ALA-R37101-2892544,0.7417,0.0076,0.2507
ALA-R37113-2892490,0.7234,0.0066,0.27
ALA-R37116-2892470,0.7998,0.1826,0.0176
ALA-R37122-2892464,0.736,0.0071,0.2569
ALA-R37128-2892424,0.7936,0.1241,0.0823
ALA-R37140-2892462,0.6534,0.1167,0.2299
ALA-VU121-2562122,0.0095,0.6064,0.3841
ALA-VU130-2562201,0.0223,0.4102,0.5674
ALA-VU132-2562114,0.0032,0.3153,0.6815
ALA-NC_2019_217-2117818,0.9992,0.0003,0.0005
ALA-NC_2019_247-2117816,0.9999,0.0,0.0001
ALA-NC_Jan2019_208-2562133,0.9995,0.0002,0.0003
ALA-NC_Jan2019_213-2892489,0.998,0.001,0.001
ALA-NC_Jan2019_217-2892446,0.9998,0.0,0.0002
ALA-NC_Jan2019_227-2892537,0.9978,0.001,0.0012
ALA-NC_Jan2019_247-2892476,1.0,0.0,0.0
ALA-NC_Jan2019_253-3446972,0.9985,0.0007,0.0008
ALA-NC_Jan2019_269-3446978,0.9972,0.0016,0.0012
ALA-NC_Jan2019_271-2892518,0.9985,0.0008,0.0007
ALA-NC_Jan2019_275-3446981,1.0,0.0,0.0
ALA-NC_Jan2019_282-2562143,0.9984,0.0003,0.0013
ALA-Al376-3991427,0.7344,0.0078,0.2578
ALA-Al377-3991428,0.8647,0.086,0.0493
ALA-Al378-3991429,0.7955,0.1107,0.0938
ALA-Al379-3991430,0.6349,0.3457,0.0194
ALA-KLS0564-R174540-2892378,0.0124,0.0027,0.9849
ALA-KLS1526-3593366,0.0033,0.0164,0.9803
ALA-KLS1548-3593373,0.0021,0.0066,0.9913
ALA-KLS1549-3593354,0.01,0.0051,0.9849
ALA-KLS1555-3593323,0.002,0.0043,0.9937
ALA-SS170808-01-2562218,0.0011,0.002,0.9969
ALA-SS170808-06-2892529,0.0012,0.005,0.9938
ALA-SS170809-01-2892375,0.0014,0.0045,0.9941
ALA-SS170809-03-2892475,0.001,0.0032,0.9958
ALA-SS170810-01-2892386,0.0018,0.0022,0.996
ALA-SS170813-01-2892422,0.0034,0.0192,0.9774
ALA-SS170815-01-2892435,0.001,0.0036,0.9954
ALA-SS170815-03-2892473,0.0011,0.0064,0.9925
ALA-SS170815-04-2892440,0.0018,0.0266,0.9716
ALA-SS170816-01-2892493,0.0013,0.0014,0.9973
ALA-SS170820-05-2892447,0.0015,0.0048,0.9937
ALA-SS170822-01-2892494,0.0028,0.0044,0.9928
ALA-SS170822-02-2892495,0.0035,0.003,0.9935
ALA-SS170822-03-2892528,0.001,0.0075,0.9915
ALA-SS171011-02-2892425,0.0011,0.0044,0.9945
ALA-SS171011-03-2892496,0.002,0.008,0.99
ALA-SS171018-02-2892517,0.0011,0.0016,0.9973
ALA-SS171025-01-2892506,0.0072,0.0049,0.9879
ALA-SS171104-01-2892432,0.0015,0.0065,0.992
ALA-SS171105-01-2892472,0.0017,0.004,0.9943
ALA-SS171106-02-2892479,0.001,0.0043,0.9947
ALA-SS171106-03-2892404,0.001,0.0043,0.9947
ALA-VU51-2892500,0.0016,0.0058,0.9926
ALA-VU53-2892376,0.001,0.002,0.997
ALA-VU62-2892417,0.0046,0.0409,0.9545
ALA-KLS0327-2892561,0.0214,0.9364,0.0422
APO-BD304-2892487,0.0017,0.0036,0.9947
APO-BD320-2892516,0.0016,0.0048,0.9936
APO-BD325-2892538,0.0014,0.0035,0.9951
APO-BD326-2892550,0.0013,0.0071,0.9916
APO-BD330-2892535,0.0019,0.0025,0.9956
APO-BD331-2892519,0.0018,0.0017,0.9965
APO-BD337-2892483,0.0009,0.0024,0.9967
APO-BD338-2892540,0.001,0.0025,0.9965
APO-BD339-2892520,0.001,0.0044,0.9946
APO-BD342-2892423,0.0016,0.0023,0.9961
