,0,1,2,3
ALA-AL402-3991433,0.0012,0.0008,0.9949,0.0031
ALA-AL403-3991434,0.005,0.0065,0.9812,0.0073
ALA-AL405-3991436,0.0011,0.001,0.993,0.0049
ALA-AL406-3991437,0.0079,0.0012,0.9733,0.0176
ALA-AL407-3991438,0.0011,0.001,0.983,0.0149
ALA-AL408-3991439,0.0357,0.003,0.9582,0.0031
ALA-AL409-3991440,0.0034,0.0628,0.926,0.0078
ALA-AL410-3991441,0.0012,0.001,0.9955,0.0023
ALA-AL411-3991442,0.0025,0.0031,0.9891,0.0053
ALA-AL412-3991443,0.0014,0.001,0.9912,0.0064
ALA-AL413-3991444,0.001,0.001,0.9927,0.0053
ALA-AL414-3991445,0.0031,0.001,0.9884,0.0075
ALA-AL415-3991446,0.0014,0.0007,0.9946,0.0033
ALA-AL416-3991447,0.0113,0.0016,0.9817,0.0054
ALA-AL417-3991448,0.0023,0.0098,0.9839,0.004
ALA-AL418-3991449,0.0019,0.001,0.9854,0.0117
ALA-AL419-3991450,0.0038,0.0024,0.9809,0.0129
ALA-AL420-3991451,0.0072,0.004,0.9824,0.0064
ALA-AL422-3991452,0.001,0.0007,0.9962,0.0021
ALA-AL423-3991453,0.0012,0.0013,0.9895,0.008
ALA-AL424-4013486,0.0029,0.0012,0.9787,0.0172
ALA-AL425-3991454,0.0013,0.0049,0.9781,0.0157
ALA-AL426-3991455,0.0109,0.0022,0.9845,0.0024
ALA-AL427-3991456,0.0099,0.001,0.9878,0.0013
ALA-AL429-3991457,0.0016,0.001,0.9939,0.0035
ALA-AL430-3991458,0.0012,0.001,0.9953,0.0025
ALA-AL431-3991459,0.0045,0.0031,0.9824,0.01
ALA-AL432-3991460,0.0012,0.001,0.9959,0.0019
ALA-AL433-3991461,0.0018,0.0007,0.9935,0.004
ALA-AL434-3991462,0.0015,0.0021,0.9945,0.0019
ALA-AL435-3991463,0.0067,0.0012,0.989,0.0031
ALA-AL436-3991464,0.0011,0.001,0.9962,0.0017
ALA-AL437-3991465,0.0033,0.0109,0.9828,0.003
ALA-AL439-3991466,0.001,0.0014,0.9941,0.0035
ALA-AL440-3991467,0.022,0.0064,0.967,0.0046
ALA-AL441-3991468,0.001,0.001,0.9954,0.0026
ALA-AL442-3991469,0.002,0.001,0.9927,0.0043
ALA-Al003-3991431,0.0185,0.0026,0.9747,0.0042
ALA-Al272-3991284,0.0026,0.002,0.9933,0.0021
ALA-Al274-3991285,0.0013,0.001,0.9959,0.0018
ALA-Al275-3991286,0.0012,0.0006,0.994,0.0042
ALA-Al277-3991287,0.0012,0.0035,0.9821,0.0132
ALA-Al278-3991288,0.001,0.001,0.9954,0.0026
ALA-Al279-3991289,0.001,0.001,0.9916,0.0064
