,0,1,2,3,4
ALA-AL402-3991433,0.0026,0.0117,0.0005,0.0011,0.9841
ALA-AL403-3991434,0.0045,0.004,0.0049,0.0043,0.9823
ALA-AL405-3991436,0.005,0.001,0.0012,0.001,0.9918
ALA-AL406-3991437,0.0195,0.0021,0.0012,0.0148,0.9624
ALA-AL407-3991438,0.0137,0.0012,0.001,0.001,0.9831
ALA-AL408-3991439,0.0026,0.001,0.0024,0.0299,0.9641
ALA-AL409-3991440,0.007,0.0068,0.048,0.0028,0.9354
ALA-AL410-3991441,0.002,0.0013,0.001,0.001,0.9947
ALA-AL411-3991442,0.0039,0.0014,0.0031,0.0022,0.9894
ALA-AL412-3991443,0.0058,0.0007,0.001,0.001,0.9915
ALA-AL413-3991444,0.0039,0.0027,0.001,0.001,0.9914
ALA-AL414-3991445,0.0048,0.0022,0.0008,0.0025,0.9897
ALA-AL415-3991446,0.0028,0.0009,0.0007,0.0013,0.9943
ALA-AL416-3991447,0.0032,0.0011,0.0012,0.0119,0.9826
ALA-AL417-3991448,0.0038,0.018,0.0078,0.0027,0.9677
ALA-AL418-3991449,0.0093,0.0013,0.001,0.0017,0.9867
ALA-AL419-3991450,0.008,0.0019,0.0024,0.0034,0.9843
ALA-AL420-3991451,0.0068,0.0013,0.0018,0.0136,0.9765
ALA-AL422-3991452,0.0023,0.0027,0.0005,0.001,0.9935
ALA-AL423-3991453,0.0077,0.0012,0.0017,0.0013,0.9881
ALA-AL424-4013486,0.0149,0.001,0.001,0.0029,0.9802
ALA-AL425-3991454,0.0128,0.0062,0.0048,0.001,0.9752
ALA-AL426-3991455,0.0018,0.0022,0.0023,0.0142,0.9795
ALA-AL427-3991456,0.0012,0.0038,0.001,0.0087,0.9853
ALA-AL429-3991457,0.004,0.0012,0.001,0.0013,0.9925
ALA-AL430-3991458,0.0023,0.001,0.001,0.001,0.9947
ALA-AL431-3991459,0.0092,0.0049,0.0025,0.0042,0.9792
ALA-AL432-3991460,0.0018,0.001,0.0009,0.001,0.9953
ALA-AL433-3991461,0.0043,0.0017,0.0004,0.0019,0.9917
ALA-AL434-3991462,0.0014,0.0003,0.0019,0.0013,0.9951
ALA-AL435-3991463,0.0029,0.001,0.0011,0.0064,0.9886
ALA-AL436-3991464,0.0017,0.0044,0.0009,0.001,0.992
ALA-AL437-3991465,0.0031,0.001,0.0111,0.0027,0.9821
ALA-AL439-3991466,0.0028,0.001,0.001,0.001,0.9942
ALA-AL440-3991467,0.0037,0.001,0.0046,0.0119,0.9788
ALA-AL441-3991468,0.0017,0.0029,0.001,0.001,0.9934
ALA-AL442-3991469,0.0041,0.002,0.0009,0.0017,0.9913
ALA-Al003-3991431,0.0039,0.0009,0.0022,0.0124,0.9806
ALA-Al272-3991284,0.0019,0.0023,0.0016,0.0023,0.9919
ALA-Al274-3991285,0.002,0.0028,0.0009,0.0012,0.9931
ALA-Al275-3991286,0.0035,0.0016,0.0007,0.0013,0.9929
