,0,1
ALA-KLS1140-2892558,0.852,0.148
ALA-KLS1161-2892441,0.8609,0.1391
ALA-KLS1162-2892512,0.8756,0.1244
ALA-KLS1163-2892427,0.8808,0.1192
ALA-KLS1165-2892485,0.8986,0.1014
ALA-KLS1166-2892541,0.8967,0.1033
ALA-KLS1167-2892484,0.8651,0.1349
ALA-KLS1168-2892413,0.8832,0.1168
ALA-KLS1169-2892448,0.8855,0.1145
ALA-KLS1170-2892511,0.8598,0.1402
ALA-KLS1366-3593364,0.8801,0.1199
ALA-KLS1373-3593328,0.8695,0.1305
ALA-KLS1387-3593387,0.8842,0.1158
ALA-KLS1413-3593365,0.8828,0.1172
ALA-KLS1415-3593359,0.8843,0.1157
ALA-KLS1661-4013402,0.8662,0.1338
ALA-KLS1663-4013404,0.87,0.13
ALA-KLS1664-4013405,0.8597,0.1403
ALA-KLS1682-4013423,0.8838,0.1162
ALA-KLS1690-4013430,0.8689,0.1311
ALA-VU15-2892510,0.8847,0.1153
ALA-VU20-2892394,0.893,0.107
ALA-VU21-2892380,0.8743,0.1257
ALA-VU33-2892383,0.8888,0.1112
ALA-VU37-2892482,0.8671,0.1329
ALA-VU47-2892477,0.8781,0.1219
ALA-VU50-2892527,0.8786,0.1214
ALA-KLS0793-2892513,0.8918,0.1082
ALA-KLS0796-2892514,0.8973,0.1027
ALA-KLS0797-2892471,0.8751,0.1249
ALA-KLS0857-2892463,0.8905,0.1095
ALA-KLS0871-2892523,0.881,0.119
ALA-KLS0872-2892526,0.8877,0.1123
ALA-KLS1444-3593398,0.8876,0.1124
ALA-KLS1448-3593341,0.8809,0.1191
ALA-KLS1452-3593342,0.8742,0.1258
ALA-KLS1467-3593390,0.8823,0.1177
ALA-KLS1474-3593384,0.8809,0.1191
ALA-KLS1479-3593389,0.8883,0.1117
ALA-KLS1492-3593391,0.8973,0.1027
APO-KLS1002-2562146,0.8921,0.1079
ALA-KLS0564-R174540-2892378,0.8696,0.1304
ALA-KLS1526-3593366,0.8832,0.1168
ALA-KLS1548-3593373,0.8699,0.1301
ALA-KLS1549-3593354,0.8829,0.1171
ALA-KLS1555-3593323,0.8949,0.1051
ALA-SS170808-01-2562218,0.8883,0.1117
ALA-SS170808-06-2892529,0.8903,0.1097
ALA-SS170809-01-2892375,0.8947,0.1053
ALA-SS170809-03-2892475,0.8748,0.1252
ALA-SS170810-01-2892386,0.8915,0.1085
ALA-SS170813-01-2892422,0.877,0.123
ALA-SS170815-01-2892435,0.8712,0.1288
ALA-SS170815-03-2892473,0.881,0.119
ALA-SS170815-04-2892440,0.8928,0.1072
ALA-SS170816-01-2892493,0.8729,0.1271
ALA-SS170820-05-2892447,0.8807,0.1193
ALA-SS170822-01-2892494,0.8737,0.1263
ALA-SS170822-02-2892495,0.8825,0.1175
ALA-SS170822-03-2892528,0.8742,0.1258
ALA-SS171011-02-2892425,0.8937,0.1063
ALA-SS171011-03-2892496,0.889,0.111
ALA-SS171018-02-2892517,0.871,0.129
ALA-SS171025-01-2892506,0.8684,0.1316
ALA-SS171104-01-2892432,0.8854,0.1146
ALA-SS171105-01-2892472,0.8906,0.1094
ALA-SS171106-02-2892479,0.8852,0.1148
ALA-SS171106-03-2892404,0.9098,0.0902
ALA-VU51-2892500,0.8904,0.1096
ALA-VU53-2892376,0.8686,0.1314
ALA-VU62-2892417,0.8905,0.1095
APO-BD304-2892487,0.8718,0.1282
APO-BD320-2892516,0.881,0.119
APO-BD325-2892538,0.8978,0.1022
APO-BD326-2892550,0.8768,0.1232
APO-BD330-2892535,0.8884,0.1116
APO-BD331-2892519,0.8708,0.1292
APO-BD337-2892483,0.8627,0.1373
APO-BD338-2892540,0.8832,0.1168
APO-BD339-2892520,0.8843,0.1157
APO-BD342-2892423,0.879,0.121
