,0,1,2
ALA-KLS1140-2892558,0.0675,0.8331,0.0994
ALA-KLS1161-2892441,0.0653,0.8454,0.0893
ALA-KLS1162-2892512,0.0528,0.8447,0.1025
ALA-KLS1163-2892427,0.0533,0.8362,0.1105
ALA-KLS1165-2892485,0.0439,0.9024,0.0537
ALA-KLS1166-2892541,0.0458,0.8221,0.1321
ALA-KLS1167-2892484,0.0625,0.8209,0.1166
ALA-KLS1168-2892413,0.0505,0.8595,0.09
ALA-KLS1169-2892448,0.0507,0.8548,0.0945
ALA-KLS1170-2892511,0.0622,0.8666,0.0712
ALA-KLS1366-3593364,0.0557,0.8592,0.0851
ALA-KLS1373-3593328,0.0614,0.8698,0.0688
ALA-KLS1387-3593387,0.0513,0.8876,0.0611
ALA-KLS1413-3593365,0.0503,0.8395,0.1102
ALA-KLS1415-3593359,0.0522,0.8284,0.1194
ALA-KLS1661-4013402,0.0629,0.8738,0.0633
ALA-KLS1663-4013404,0.0581,0.8781,0.0638
ALA-KLS1664-4013405,0.0607,0.8406,0.0987
ALA-KLS1682-4013423,0.052,0.8567,0.0913
ALA-KLS1690-4013430,0.0591,0.857,0.0839
ALA-VU15-2892510,0.0502,0.8774,0.0724
ALA-VU20-2892394,0.0487,0.8864,0.0649
ALA-VU21-2892380,0.0592,0.8408,0.1
ALA-VU33-2892383,0.0504,0.8433,0.1063
ALA-VU37-2892482,0.0588,0.8536,0.0876
ALA-VU47-2892477,0.0523,0.8889,0.0588
ALA-VU50-2892527,0.0548,0.8234,0.1218
ALA-KLS0793-2892513,0.0528,0.8209,0.1263
ALA-KLS0796-2892514,0.0471,0.8205,0.1324
ALA-KLS0797-2892471,0.0607,0.8172,0.1221
ALA-KLS0857-2892463,0.0455,0.8237,0.1308
ALA-KLS0871-2892523,0.054,0.8269,0.1191
ALA-KLS0872-2892526,0.0498,0.8263,0.1239
ALA-KLS1444-3593398,0.0558,0.8602,0.084
ALA-KLS1448-3593341,0.0536,0.8703,0.0761
ALA-KLS1452-3593342,0.0565,0.8105,0.133
ALA-KLS1467-3593390,0.0506,0.8207,0.1287
ALA-KLS1474-3593384,0.0543,0.8804,0.0653
ALA-KLS1479-3593389,0.0517,0.8817,0.0666
ALA-KLS1492-3593391,0.0497,0.8203,0.13
APO-KLS1002-2562146,0.1308,0.8127,0.0565
ALA-KLS0564-R174540-2892378,0.0587,0.8674,0.0739
ALA-KLS1526-3593366,0.0535,0.8825,0.064
ALA-KLS1548-3593373,0.0551,0.8419,0.1029
ALA-KLS1549-3593354,0.0514,0.8477,0.1009
ALA-KLS1555-3593323,0.0499,0.8392,0.1109
ALA-SS170808-01-2562218,0.0501,0.8131,0.1368
ALA-SS170808-06-2892529,0.0527,0.8238,0.1235
ALA-SS170809-01-2892375,0.0494,0.8505,0.1001
ALA-SS170809-03-2892475,0.056,0.8801,0.0639
ALA-SS170810-01-2892386,0.0488,0.8233,0.1279
ALA-SS170813-01-2892422,0.0526,0.798,0.1494
ALA-SS170815-01-2892435,0.0606,0.8724,0.067
ALA-SS170815-03-2892473,0.0621,0.8465,0.0914
ALA-SS170815-04-2892440,0.0474,0.8607,0.0919
ALA-SS170816-01-2892493,0.0571,0.8214,0.1215
ALA-SS170820-05-2892447,0.0547,0.8293,0.116
ALA-SS170822-01-2892494,0.0538,0.8708,0.0754
ALA-SS170822-02-2892495,0.0487,0.8655,0.0858
ALA-SS170822-03-2892528,0.0548,0.8188,0.1264
ALA-SS171011-02-2892425,0.0511,0.8269,0.122
ALA-SS171011-03-2892496,0.0514,0.8279,0.1207
ALA-SS171018-02-2892517,0.0592,0.8128,0.128
ALA-SS171025-01-2892506,0.0558,0.8271,0.1171
ALA-SS171104-01-2892432,0.0583,0.8095,0.1322
ALA-SS171105-01-2892472,0.0489,0.8621,0.089
ALA-SS171106-02-2892479,0.0523,0.8233,0.1244
ALA-SS171106-03-2892404,0.0419,0.8433,0.1148
ALA-VU51-2892500,0.0563,0.8786,0.0651
ALA-VU53-2892376,0.0588,0.8049,0.1363
ALA-VU62-2892417,0.0494,0.8911,0.0595
APO-BD304-2892487,0.1504,0.7922,0.0574
APO-BD320-2892516,0.1494,0.7967,0.0539
APO-BD325-2892538,0.1409,0.814,0.0451
APO-BD326-2892550,0.1293,0.8056,0.0651
APO-BD330-2892535,0.0589,0.8105,0.1306
APO-BD331-2892519,0.156,0.7859,0.0581
APO-BD337-2892483,0.1529,0.7827,0.0644
APO-BD338-2892540,0.1489,0.7994,0.0517
APO-BD339-2892520,0.135,0.8034,0.0616
APO-BD342-2892423,0.1496,0.791,0.0594
