,0,1,2,3
ALA-KLS1140-2892558,0.6888,0.0118,0.1006,0.1988
ALA-KLS1161-2892441,0.7037,0.0163,0.1383,0.1417
ALA-KLS1162-2892512,0.7345,0.003,0.1045,0.158
ALA-KLS1163-2892427,0.715,0.0075,0.1353,0.1421
ALA-KLS1165-2892485,0.7386,0.0065,0.1708,0.0841
ALA-KLS1166-2892541,0.7256,0.0131,0.1835,0.0778
ALA-KLS1167-2892484,0.7099,0.0095,0.1029,0.1778
ALA-KLS1168-2892413,0.6801,0.0051,0.1387,0.1761
ALA-KLS1169-2892448,0.7059,0.005,0.1684,0.1207
ALA-KLS1170-2892511,0.7509,0.0041,0.0982,0.1468
ALA-KLS1366-3593364,0.7761,0.0118,0.1269,0.0852
ALA-KLS1373-3593328,0.6887,0.0056,0.1863,0.1194
ALA-KLS1387-3593387,0.7145,0.0171,0.1624,0.1061
ALA-KLS1413-3593365,0.6971,0.0045,0.1646,0.1338
ALA-KLS1415-3593359,0.7184,0.0124,0.1149,0.1543
ALA-KLS1661-4013402,0.7006,0.051,0.0857,0.1626
ALA-KLS1663-4013404,0.7077,0.0108,0.1248,0.1567
ALA-KLS1664-4013405,0.7622,0.004,0.1175,0.1163
ALA-KLS1682-4013423,0.7552,0.0119,0.0925,0.1404
ALA-KLS1690-4013430,0.7267,0.0168,0.1055,0.151
ALA-VU15-2892510,0.6871,0.0112,0.1474,0.1543
ALA-VU20-2892394,0.7142,0.0117,0.1542,0.1199
ALA-VU21-2892380,0.721,0.0106,0.1466,0.1218
ALA-VU33-2892383,0.7481,0.0084,0.1174,0.1261
ALA-VU37-2892482,0.7222,0.0128,0.1132,0.1518
ALA-VU47-2892477,0.7255,0.0093,0.1487,0.1166
ALA-VU50-2892527,0.6905,0.0067,0.1746,0.1283
ALA-KLS0793-2892513,0.7377,0.0357,0.1316,0.095
ALA-KLS0796-2892514,0.66,0.0033,0.2117,0.125
ALA-KLS0797-2892471,0.688,0.0352,0.1043,0.1725
ALA-KLS0857-2892463,0.6839,0.0039,0.1897,0.1225
ALA-KLS0871-2892523,0.7748,0.01,0.1003,0.1149
ALA-KLS0872-2892526,0.6796,0.0066,0.1321,0.1817
ALA-KLS1444-3593398,0.6936,0.112,0.0945,0.0998
ALA-KLS1448-3593341,0.6803,0.0096,0.1551,0.1549
ALA-KLS1452-3593342,0.7651,0.0058,0.114,0.1151
ALA-KLS1467-3593390,0.7159,0.0082,0.1186,0.1573
ALA-KLS1474-3593384,0.7282,0.0077,0.1228,0.1412
ALA-KLS1479-3593389,0.6866,0.0166,0.1732,0.1235
ALA-KLS1492-3593391,0.7243,0.0174,0.1493,0.109
APO-KLS1002-2562146,0.635,0.3181,0.023,0.0239
ALA-KLS0564-R174540-2892378,0.7445,0.0061,0.1252,0.1242
ALA-KLS1526-3593366,0.7724,0.0175,0.0892,0.1209
ALA-KLS1548-3593373,0.7205,0.0037,0.1628,0.113
ALA-KLS1549-3593354,0.7277,0.0048,0.1411,0.1264
ALA-KLS1555-3593323,0.7045,0.0071,0.1082,0.1802
ALA-SS170808-01-2562218,0.6718,0.0083,0.1995,0.1204
ALA-SS170808-06-2892529,0.684,0.0101,0.1977,0.1082
ALA-SS170809-01-2892375,0.6979,0.0121,0.1616,0.1284
ALA-SS170809-03-2892475,0.7278,0.0104,0.1115,0.1504
ALA-SS170810-01-2892386,0.6978,0.0118,0.1851,0.1053
ALA-SS170813-01-2892422,0.7565,0.0062,0.1042,0.1331
ALA-SS170815-01-2892435,0.704,0.0085,0.136,0.1516
ALA-SS170815-03-2892473,0.6922,0.0216,0.0971,0.1891
ALA-SS170815-04-2892440,0.679,0.0166,0.1884,0.116
ALA-SS170816-01-2892493,0.7377,0.007,0.1294,0.126
ALA-SS170820-05-2892447,0.6953,0.007,0.0967,0.201
ALA-SS170822-01-2892494,0.7811,0.0039,0.1097,0.1053
ALA-SS170822-02-2892495,0.7106,0.0027,0.0976,0.1891
ALA-SS170822-03-2892528,0.7263,0.0054,0.1261,0.1422
ALA-SS171011-02-2892425,0.7026,0.0107,0.1613,0.1254
ALA-SS171011-03-2892496,0.7804,0.0099,0.0916,0.118
ALA-SS171018-02-2892517,0.6951,0.0153,0.1434,0.1462
ALA-SS171025-01-2892506,0.7616,0.0147,0.1513,0.0723
ALA-SS171104-01-2892432,0.7321,0.0305,0.1059,0.1315
ALA-SS171105-01-2892472,0.6975,0.0189,0.1814,0.1022
ALA-SS171106-02-2892479,0.682,0.022,0.1804,0.1156
ALA-SS171106-03-2892404,0.7161,0.0187,0.1585,0.1066
ALA-VU51-2892500,0.7094,0.111,0.0788,0.1008
ALA-VU53-2892376,0.7563,0.0122,0.1083,0.1233
ALA-VU62-2892417,0.7475,0.019,0.106,0.1275
APO-BD304-2892487,0.6153,0.3525,0.0163,0.0159
APO-BD320-2892516,0.6244,0.3365,0.0186,0.0205
APO-BD325-2892538,0.6346,0.3349,0.0156,0.0149
APO-BD326-2892550,0.6466,0.23,0.0572,0.0662
APO-BD330-2892535,0.681,0.1463,0.0981,0.0746
APO-BD331-2892519,0.6116,0.3634,0.0137,0.0113
APO-BD337-2892483,0.6114,0.3643,0.0128,0.0115
APO-BD338-2892540,0.6229,0.3584,0.0097,0.009
APO-BD339-2892520,0.6369,0.2835,0.0389,0.0407
APO-BD342-2892423,0.621,0.3147,0.0339,0.0304
