,0,1,2,3,4
ALA-KLS1140-2892558,0.0052,0.058,0.8437,0.047,0.0461
ALA-KLS1161-2892441,0.0122,0.0376,0.8543,0.0473,0.0486
ALA-KLS1162-2892512,0.0019,0.0356,0.8627,0.0497,0.0501
ALA-KLS1163-2892427,0.003,0.0427,0.868,0.0437,0.0426
ALA-KLS1165-2892485,0.0029,0.0273,0.8938,0.035,0.041
ALA-KLS1166-2892541,0.0053,0.0351,0.8806,0.0411,0.0379
ALA-KLS1167-2892484,0.0049,0.0575,0.851,0.0449,0.0417
ALA-KLS1168-2892413,0.0027,0.0541,0.868,0.035,0.0402
ALA-KLS1169-2892448,0.0041,0.0372,0.8767,0.0403,0.0417
ALA-KLS1170-2892511,0.0025,0.0398,0.843,0.0566,0.0581
ALA-KLS1366-3593364,0.0036,0.0311,0.8656,0.0499,0.0498
ALA-KLS1373-3593328,0.0026,0.0399,0.8642,0.0465,0.0468
ALA-KLS1387-3593387,0.0068,0.0309,0.8767,0.042,0.0436
ALA-KLS1413-3593365,0.0024,0.0337,0.8767,0.0429,0.0443
ALA-KLS1415-3593359,0.0069,0.0305,0.8661,0.0493,0.0472
ALA-KLS1661-4013402,0.0321,0.0312,0.8525,0.045,0.0392
ALA-KLS1663-4013404,0.0047,0.0351,0.8602,0.0516,0.0484
ALA-KLS1664-4013405,0.0028,0.0363,0.8443,0.0608,0.0558
ALA-KLS1682-4013423,0.0054,0.0402,0.8704,0.0423,0.0417
ALA-KLS1690-4013430,0.0056,0.0413,0.8563,0.0481,0.0487
ALA-VU15-2892510,0.0036,0.0419,0.8776,0.0395,0.0374
ALA-VU20-2892394,0.0055,0.0297,0.8799,0.039,0.0459
ALA-VU21-2892380,0.0057,0.038,0.8553,0.0518,0.0492
ALA-VU33-2892383,0.0047,0.046,0.8708,0.0392,0.0393
ALA-VU37-2892482,0.0091,0.0357,0.858,0.0497,0.0475
ALA-VU47-2892477,0.0038,0.035,0.8634,0.0536,0.0442
ALA-VU50-2892527,0.0033,0.0353,0.8792,0.0394,0.0428
ALA-KLS0793-2892513,0.0222,0.0347,0.8801,0.0313,0.0317
ALA-KLS0796-2892514,0.0025,0.032,0.8969,0.0351,0.0335
ALA-KLS0797-2892471,0.0093,0.0466,0.8607,0.0403,0.0431
ALA-KLS0857-2892463,0.0018,0.0319,0.8937,0.036,0.0366
ALA-KLS0871-2892523,0.0037,0.0353,0.8648,0.0478,0.0484
ALA-KLS0872-2892526,0.0026,0.047,0.8719,0.0429,0.0356
ALA-KLS1444-3593398,0.017,0.0333,0.8757,0.037,0.037
ALA-KLS1448-3593341,0.0081,0.0349,0.8742,0.0379,0.0449
ALA-KLS1452-3593342,0.0039,0.037,0.8602,0.0481,0.0508
ALA-KLS1467-3593390,0.0042,0.035,0.8685,0.0443,0.048
ALA-KLS1474-3593384,0.003,0.0312,0.8726,0.0477,0.0455
ALA-KLS1479-3593389,0.0097,0.031,0.8847,0.038,0.0366
ALA-KLS1492-3593391,0.0073,0.0268,0.8907,0.0367,0.0385
APO-KLS1002-2562146,0.0818,0.014,0.8784,0.0132,0.0126
ALA-KLS0564-R174540-2892378,0.0025,0.0341,0.8544,0.052,0.057
ALA-KLS1526-3593366,0.0048,0.0374,0.8607,0.0525,0.0446
ALA-KLS1548-3593373,0.0024,0.0399,0.8551,0.0488,0.0538
ALA-KLS1549-3593354,0.0025,0.0391,0.8708,0.0435,0.0441
ALA-KLS1555-3593323,0.0032,0.0418,0.8822,0.0345,0.0383
ALA-SS170808-01-2562218,0.0037,0.0369,0.8854,0.0379,0.0361
ALA-SS170808-06-2892529,0.0067,0.0333,0.8874,0.0358,0.0368
ALA-SS170809-01-2892375,0.009,0.0374,0.8837,0.0314,0.0385
ALA-SS170809-03-2892475,0.0058,0.0407,0.8608,0.044,0.0487
ALA-SS170810-01-2892386,0.0053,0.0414,0.8774,0.0404,0.0355
ALA-SS170813-01-2892422,0.0028,0.0393,0.8636,0.047,0.0473
ALA-SS170815-01-2892435,0.0047,0.0376,0.861,0.0504,0.0463
ALA-SS170815-03-2892473,0.0094,0.0507,0.8664,0.036,0.0375
ALA-SS170815-04-2892440,0.0046,0.0331,0.8869,0.0364,0.039
ALA-SS170816-01-2892493,0.0028,0.0376,0.8559,0.0542,0.0496
ALA-SS170820-05-2892447,0.0037,0.0579,0.8607,0.0403,0.0374
ALA-SS170822-01-2892494,0.0029,0.0341,0.8602,0.0507,0.0521
ALA-SS170822-02-2892495,0.0021,0.0397,0.8779,0.0393,0.041
ALA-SS170822-03-2892528,0.0038,0.0415,0.8588,0.0489,0.047
