,0,1
HMA-KLS0629-2117699,0.9434,0.0566
HMA-KLS0630-2117717,0.9396,0.0604
HMA-KLS0631-2117697,0.9317,0.0683
HMA-KLS0633-2117719,0.9367,0.0633
HMA-KLS0647-2117698,0.9473,0.0527
HMA-KLS0652-2117715,0.9276,0.0724
HMA-KLS0662-2117700,0.9399,0.0601
HMA-KLS0676-2117735,0.9249,0.0751
HMA-KLS0762-2117712,0.9402,0.0598
HMA-KLS1016-2117701,0.9356,0.0644
HMA-KLS1017-2117720,0.9422,0.0578
HMA-KLS1020-2117696,0.9396,0.0604
HMA-KLS1379-3593334,0.9232,0.0768
HMA-KLS1416-3593319,0.9224,0.0776
HMA-KLS1421-3593374,0.9356,0.0644
HMA-VU46-2117754,0.8987,0.1013
HMA-KLS0798-2117733,0.9386,0.0614
HMA-KLS0799-2117731,0.9302,0.0698
HMA-KLS0801-2117727,0.9321,0.0679
HMA-KLS0808-2117740,0.9351,0.0649
HMA-KLS0813-2117730,0.9266,0.0734
HMA-KLS0898-2117745,0.937,0.063
HMA-KLS0913-2117749,0.9378,0.0622
HMA-KLS0933-2117744,0.9335,0.0665
HMA-KLS1514-3593378,0.9393,0.0607
HMA-KLS1522-3593369,0.9314,0.0686
HMA-KLS1538-3593349,0.9414,0.0586
HMA-KLS1553-3593325,0.9348,0.0652
HMA-KLS1554-3593316,0.9293,0.0707
HMA-SS170809_02-2117728,0.9467,0.0533
HMA-SS170812_01-2117751,0.9177,0.0823
HMA-SS170814_02-2117746,0.9089,0.0911
HMA-SS170818_01-2117748,0.8889,0.1111
HMA-SS170820_01-2117747,0.9436,0.0564
HMA-SS171024_01-2117723,0.9361,0.0639
HMA-VU55-2117702,0.9456,0.0544
HMA-VU61-2117705,0.9456,0.0544
HMA-KLS1692-4013432,0.9399,0.0601
HMA-KLS1694-4013434,0.9485,0.0515
HMA-KLS1697-4013437,0.9366,0.0634
HMA-KLS1699-4013439,0.9405,0.0595
HMA-KLS1703-4013443,0.9346,0.0654
HMA-KLS1705-4013445,0.9386,0.0614
HMA-R154981-2117752,0.9511,0.0489
HMA-WAM-R154978-2562207,0.9203,0.0797
HMA-WAM-R154980-2562264,0.9071,0.0929
HMA-WAM-R154981-2562169,0.929,0.071
HMA-WAMR154978-2117736,0.7994,0.2006
HMA-KLS1711-4013451,0.9456,0.0544
