,0,1,2
HMA-KLS0629-2117699,0.0014,0.0634,0.9352
HMA-KLS0630-2117717,0.0034,0.0662,0.9304
HMA-KLS0631-2117697,0.001,0.07,0.929
HMA-KLS0633-2117719,0.001,0.0704,0.9286
HMA-KLS0647-2117698,0.001,0.0498,0.9492
HMA-KLS0652-2117715,0.001,0.0784,0.9206
HMA-KLS0662-2117700,0.001,0.0652,0.9338
HMA-KLS0676-2117735,0.001,0.0788,0.9202
HMA-KLS0762-2117712,0.0012,0.0646,0.9342
HMA-KLS1016-2117701,0.0012,0.0668,0.932
HMA-KLS1017-2117720,0.001,0.064,0.935
HMA-KLS1020-2117696,0.0016,0.0614,0.937
HMA-KLS1379-3593334,0.001,0.0836,0.9154
HMA-KLS1416-3593319,0.0014,0.078,0.9206
HMA-KLS1421-3593374,0.001,0.0686,0.9304
HMA-VU46-2117754,0.0006,0.103,0.8964
HMA-KLS0798-2117733,0.0012,0.0668,0.932
HMA-KLS0799-2117731,0.0012,0.0664,0.9324
HMA-KLS0801-2117727,0.001,0.0764,0.9226
HMA-KLS0808-2117740,0.001,0.0694,0.9296
HMA-KLS0813-2117730,0.0012,0.0814,0.9174
HMA-KLS0898-2117745,0.0038,0.0636,0.9326
HMA-KLS0913-2117749,0.001,0.0634,0.9356
HMA-KLS0933-2117744,0.0012,0.0698,0.929
HMA-KLS1514-3593378,0.002,0.0638,0.9342
HMA-KLS1522-3593369,0.001,0.0702,0.9288
HMA-KLS1538-3593349,0.001,0.0662,0.9328
HMA-KLS1553-3593325,0.001,0.0646,0.9344
HMA-KLS1554-3593316,0.001,0.0768,0.9222
HMA-SS170809_02-2117728,0.0012,0.0602,0.9386
HMA-SS170812_01-2117751,0.001,0.0826,0.9164
HMA-SS170814_02-2117746,0.001,0.0936,0.9054
HMA-SS170818_01-2117748,0.001,0.1154,0.8836
HMA-SS170820_01-2117747,0.002,0.063,0.935
HMA-SS171024_01-2117723,0.0016,0.0674,0.931
HMA-VU55-2117702,0.001,0.0606,0.9384
HMA-VU61-2117705,0.001,0.0548,0.9442
HMA-KLS1692-4013432,0.0558,0.0184,0.9258
HMA-KLS1694-4013434,0.0542,0.008,0.9378
HMA-KLS1697-4013437,0.0758,0.0054,0.9188
HMA-KLS1699-4013439,0.07,0.0046,0.9254
HMA-KLS1703-4013443,0.089,0.002,0.909
HMA-KLS1705-4013445,0.0728,0.01,0.9172
HMA-R154981-2117752,0.0764,0.0,0.9236
HMA-WAM-R154978-2562207,0.0252,0.0694,0.9054
HMA-WAM-R154980-2562264,0.0394,0.0716,0.889
HMA-WAM-R154981-2562169,0.1016,0.001,0.8974
HMA-WAMR154978-2117736,0.0094,0.1932,0.7974
HMA-KLS1711-4013451,0.062,0.0094,0.9286
