,0,1,2,3
HMA-KLS0629-2117699,0.0304,0.0322,0.9364,0.001
HMA-KLS0630-2117717,0.0285,0.0328,0.9363,0.0024
HMA-KLS0631-2117697,0.0365,0.0331,0.9295,0.0009
HMA-KLS0633-2117719,0.0295,0.0347,0.935,0.0008
HMA-KLS0647-2117698,0.0261,0.0285,0.9446,0.0008
HMA-KLS0652-2117715,0.0336,0.0415,0.9245,0.0004
HMA-KLS0662-2117700,0.0302,0.0365,0.933,0.0003
HMA-KLS0676-2117735,0.0355,0.0426,0.9213,0.0006
HMA-KLS0762-2117712,0.0319,0.0296,0.9376,0.0009
HMA-KLS1016-2117701,0.0321,0.0365,0.9305,0.0009
HMA-KLS1017-2117720,0.0298,0.0315,0.938,0.0007
HMA-KLS1020-2117696,0.0304,0.0328,0.9359,0.0009
HMA-KLS1379-3593334,0.0394,0.0425,0.9174,0.0007
HMA-KLS1416-3593319,0.0398,0.0388,0.9205,0.0009
HMA-KLS1421-3593374,0.033,0.0345,0.9316,0.0009
HMA-VU46-2117754,0.0431,0.0611,0.8958,0.0
HMA-KLS0798-2117733,0.0324,0.0329,0.9339,0.0008
HMA-KLS0799-2117731,0.0343,0.0375,0.9272,0.001
HMA-KLS0801-2117727,0.0365,0.0355,0.9273,0.0007
HMA-KLS0808-2117740,0.0337,0.0336,0.932,0.0007
HMA-KLS0813-2117730,0.0373,0.039,0.9227,0.001
HMA-KLS0898-2117745,0.0289,0.0357,0.9336,0.0018
HMA-KLS0913-2117749,0.0289,0.0327,0.9381,0.0003
HMA-KLS0933-2117744,0.032,0.0361,0.9309,0.001
HMA-KLS1514-3593378,0.0304,0.0351,0.9336,0.0009
HMA-KLS1522-3593369,0.0305,0.0377,0.9309,0.0009
HMA-KLS1538-3593349,0.0284,0.0324,0.9384,0.0008
HMA-KLS1553-3593325,0.0322,0.0347,0.9322,0.0009
HMA-KLS1554-3593316,0.036,0.0384,0.925,0.0006
HMA-SS170809_02-2117728,0.0291,0.0308,0.9392,0.0009
HMA-SS170812_01-2117751,0.0355,0.0469,0.9173,0.0003
HMA-SS170814_02-2117746,0.0426,0.049,0.9082,0.0002
HMA-SS170818_01-2117748,0.0431,0.0695,0.8874,0.0
HMA-SS170820_01-2117747,0.0277,0.0326,0.9387,0.001
HMA-SS171024_01-2117723,0.032,0.0328,0.9343,0.0009
HMA-VU55-2117702,0.029,0.0322,0.9388,0.0
HMA-VU61-2117705,0.0281,0.0279,0.9432,0.0008
HMA-KLS1692-4013432,0.0144,0.0141,0.9285,0.043
HMA-KLS1694-4013434,0.0114,0.0121,0.9398,0.0367
HMA-KLS1697-4013437,0.0063,0.0066,0.9184,0.0687
HMA-KLS1699-4013439,0.0049,0.0045,0.9293,0.0613
HMA-KLS1703-4013443,0.0026,0.0028,0.9139,0.0807
HMA-KLS1705-4013445,0.0108,0.0109,0.9243,0.054
HMA-R154981-2117752,0.0,0.0,0.924,0.076
HMA-WAM-R154978-2562207,0.0274,0.0353,0.9112,0.0261
HMA-WAM-R154980-2562264,0.0328,0.0479,0.898,0.0213
HMA-WAM-R154981-2562169,0.0008,0.001,0.898,0.1002
HMA-WAMR154978-2117736,0.0738,0.0873,0.7933,0.0456
HMA-KLS1711-4013451,0.0146,0.0162,0.9308,0.0384
