,0,1,2,3,4
HMA-KLS0629-2117699,0.0162,0.0198,0.0036,0.9416,0.0188
HMA-KLS0630-2117717,0.0162,0.0216,0.004,0.938,0.0202
HMA-KLS0631-2117697,0.0194,0.0224,0.0032,0.9332,0.0218
HMA-KLS0633-2117719,0.018,0.0222,0.0028,0.9362,0.0208
HMA-KLS0647-2117698,0.0154,0.0178,0.0034,0.9442,0.0192
HMA-KLS0652-2117715,0.0186,0.0256,0.0038,0.9258,0.0262
HMA-KLS0662-2117700,0.0176,0.0226,0.003,0.933,0.0238
HMA-KLS0676-2117735,0.0206,0.0238,0.0026,0.9244,0.0286
HMA-KLS0762-2117712,0.0182,0.0206,0.0032,0.935,0.023
HMA-KLS1016-2117701,0.0188,0.0218,0.0036,0.932,0.0238
HMA-KLS1017-2117720,0.0164,0.021,0.0036,0.935,0.024
HMA-KLS1020-2117696,0.0168,0.0226,0.0036,0.9346,0.0224
HMA-KLS1379-3593334,0.0238,0.0292,0.0032,0.9142,0.0296
HMA-KLS1416-3593319,0.0222,0.0288,0.0048,0.9176,0.0266
HMA-KLS1421-3593374,0.0174,0.0218,0.0042,0.9332,0.0234
HMA-VU46-2117754,0.0362,0.0266,0.0048,0.904,0.0284
HMA-KLS0798-2117733,0.0156,0.0234,0.003,0.9362,0.0218
HMA-KLS0799-2117731,0.0162,0.0216,0.004,0.9388,0.0194
HMA-KLS0801-2117727,0.0194,0.0264,0.0032,0.9264,0.0246
HMA-KLS0808-2117740,0.0168,0.02,0.003,0.9392,0.021
HMA-KLS0813-2117730,0.0234,0.0274,0.0044,0.9181,0.0268
HMA-KLS0898-2117745,0.0178,0.0228,0.0044,0.9322,0.0228
HMA-KLS0913-2117749,0.0162,0.0196,0.003,0.9418,0.0194
HMA-KLS0933-2117744,0.019,0.0234,0.0042,0.9304,0.023
HMA-KLS1514-3593378,0.0184,0.0218,0.0032,0.9334,0.0232
HMA-KLS1522-3593369,0.0168,0.02,0.0028,0.9374,0.023
HMA-KLS1538-3593349,0.0182,0.0254,0.0032,0.9298,0.0234
HMA-KLS1553-3593325,0.0152,0.025,0.0028,0.9362,0.0208
HMA-KLS1554-3593316,0.0196,0.026,0.0038,0.9254,0.0252
HMA-SS170809_02-2117728,0.0146,0.0186,0.0026,0.9452,0.019
HMA-SS170812_01-2117751,0.0186,0.0284,0.0034,0.9196,0.03
HMA-SS170814_02-2117746,0.0262,0.028,0.0044,0.9111,0.0302
HMA-SS170818_01-2117748,0.024,0.0442,0.0056,0.8838,0.0424
HMA-SS170820_01-2117747,0.0156,0.0218,0.0034,0.938,0.0212
HMA-SS171024_01-2117723,0.0166,0.0228,0.0028,0.933,0.0248
HMA-VU55-2117702,0.0172,0.0218,0.0026,0.9386,0.0198
HMA-VU61-2117705,0.014,0.02,0.0026,0.9442,0.0192
HMA-KLS1692-4013432,0.0078,0.007,0.0528,0.9244,0.008
HMA-KLS1694-4013434,0.0082,0.0088,0.0442,0.9288,0.01
HMA-KLS1697-4013437,0.006,0.0066,0.07,0.9111,0.0062
HMA-KLS1699-4013439,0.0056,0.0058,0.0586,0.9244,0.0056
HMA-KLS1703-4013443,0.0066,0.0062,0.0763,0.9051,0.0058
HMA-KLS1705-4013445,0.008,0.009,0.0564,0.9182,0.0084
HMA-R154981-2117752,0.0024,0.0028,0.0654,0.927,0.0024
HMA-WAM-R154978-2562207,0.0194,0.0296,0.0146,0.9078,0.0286
HMA-WAM-R154980-2562264,0.022,0.0288,0.0254,0.8944,0.0294
HMA-WAM-R154981-2562169,0.0044,0.005,0.087,0.8998,0.0038
HMA-WAMR154978-2117736,0.0846,0.0506,0.0102,0.7924,0.0622
HMA-KLS1711-4013451,0.0074,0.0068,0.0506,0.927,0.0082
