,0,1,2,3,4,5
HMA-KLS0629-2117699,0.0164,0.0134,0.9444,0.0144,0.0102,0.0012
HMA-KLS0630-2117717,0.0152,0.016,0.9358,0.0186,0.0124,0.002
HMA-KLS0631-2117697,0.0182,0.0178,0.9304,0.0186,0.014,0.001
HMA-KLS0633-2117719,0.0208,0.016,0.9294,0.0178,0.0148,0.0012
HMA-KLS0647-2117698,0.0168,0.0142,0.9414,0.0152,0.0114,0.001
HMA-KLS0652-2117715,0.0212,0.0164,0.9216,0.0232,0.0164,0.0012
HMA-KLS0662-2117700,0.0192,0.0152,0.9324,0.0202,0.0122,0.0008
HMA-KLS0676-2117735,0.0228,0.0176,0.926,0.0224,0.0102,0.001
HMA-KLS0762-2117712,0.0164,0.0164,0.933,0.0182,0.0154,0.0006
HMA-KLS1016-2117701,0.0176,0.0176,0.9328,0.02,0.0104,0.0016
HMA-KLS1017-2117720,0.0166,0.0176,0.9366,0.0166,0.0116,0.001
HMA-KLS1020-2117696,0.0168,0.0176,0.938,0.0144,0.0116,0.0016
HMA-KLS1379-3593334,0.0224,0.0202,0.9184,0.021,0.0164,0.0016
HMA-KLS1416-3593319,0.0218,0.0208,0.9178,0.021,0.0166,0.002
HMA-KLS1421-3593374,0.0198,0.0182,0.9272,0.0194,0.0142,0.0012
HMA-VU46-2117754,0.0238,0.0278,0.9044,0.0222,0.0196,0.0022
HMA-KLS0798-2117733,0.02,0.0164,0.932,0.019,0.0118,0.0008
HMA-KLS0799-2117731,0.0182,0.0174,0.9326,0.0172,0.0134,0.0012
HMA-KLS0801-2117727,0.0214,0.0178,0.9272,0.02,0.0122,0.0014
HMA-KLS0808-2117740,0.0156,0.0138,0.9376,0.015,0.0166,0.0014
HMA-KLS0813-2117730,0.022,0.0186,0.9192,0.0206,0.0174,0.0022
HMA-KLS0898-2117745,0.0178,0.0184,0.9286,0.018,0.0148,0.0024
HMA-KLS0913-2117749,0.0174,0.0156,0.933,0.0166,0.0166,0.0008
HMA-KLS0933-2117744,0.0178,0.0144,0.932,0.0188,0.0154,0.0016
HMA-KLS1514-3593378,0.0158,0.0166,0.9358,0.0164,0.0132,0.0022
HMA-KLS1522-3593369,0.0182,0.0176,0.9324,0.017,0.0134,0.0014
HMA-KLS1538-3593349,0.019,0.0184,0.928,0.018,0.015,0.0016
HMA-KLS1553-3593325,0.0166,0.0156,0.9376,0.0184,0.0106,0.0012
HMA-KLS1554-3593316,0.0206,0.0172,0.926,0.0214,0.0138,0.001
HMA-SS170809_02-2117728,0.0142,0.0152,0.9412,0.015,0.0132,0.0012
HMA-SS170812_01-2117751,0.0262,0.0194,0.914,0.0252,0.0138,0.0014
HMA-SS170814_02-2117746,0.028,0.0236,0.9044,0.0302,0.0122,0.0016
HMA-SS170818_01-2117748,0.0402,0.029,0.8869,0.0268,0.0152,0.0018
HMA-SS170820_01-2117747,0.018,0.0164,0.9362,0.0164,0.0112,0.0018
HMA-SS171024_01-2117723,0.0164,0.015,0.9358,0.0162,0.0152,0.0014
HMA-VU55-2117702,0.0202,0.0154,0.9362,0.0168,0.0106,0.0008
HMA-VU61-2117705,0.015,0.0144,0.9446,0.0148,0.0106,0.0006
HMA-KLS1692-4013432,0.004,0.0038,0.9268,0.0042,0.0038,0.0574
HMA-KLS1694-4013434,0.003,0.0032,0.9344,0.0034,0.0024,0.0536
HMA-KLS1697-4013437,0.0022,0.002,0.9186,0.0026,0.0022,0.0724
HMA-KLS1699-4013439,0.0032,0.0034,0.9264,0.0036,0.0026,0.0608
HMA-KLS1703-4013443,0.0022,0.0024,0.9097,0.0026,0.002,0.0811
HMA-KLS1705-4013445,0.0036,0.0028,0.9222,0.003,0.0026,0.0658
HMA-R154981-2117752,0.0008,0.0008,0.9347,0.0006,0.0006,0.0624
HMA-WAM-R154978-2562207,0.022,0.0202,0.9083,0.0188,0.013,0.0176
HMA-WAM-R154980-2562264,0.0222,0.0182,0.8966,0.0214,0.0118,0.0298
HMA-WAM-R154981-2562169,0.001,0.0018,0.9094,0.0018,0.0016,0.0844
HMA-WAMR154978-2117736,0.0286,0.0312,0.7812,0.03,0.0704,0.0586
HMA-KLS1711-4013451,0.0048,0.0052,0.9328,0.0048,0.0046,0.0478
