,0,1,2,3,4,5,6,7
HMA-KLS0629-2117699,0.013,0.0006,0.945,0.0124,0.0114,0.0002,0.002,0.0154
HMA-KLS0630-2117717,0.0146,0.0008,0.941,0.0144,0.0132,0.001,0.0028,0.0122
HMA-KLS0631-2117697,0.0156,0.0008,0.929,0.0166,0.0184,0.0,0.0016,0.018
HMA-KLS0633-2117719,0.0156,0.0004,0.932,0.0162,0.017,0.0,0.0026,0.0162
HMA-KLS0647-2117698,0.0104,0.0008,0.9494,0.0122,0.0126,0.0002,0.0022,0.0122
HMA-KLS0652-2117715,0.0154,0.001,0.9262,0.0178,0.0176,0.0,0.002,0.02
HMA-KLS0662-2117700,0.0174,0.001,0.9344,0.0142,0.0172,0.0,0.0014,0.0144
HMA-KLS0676-2117735,0.0202,0.0008,0.9246,0.0178,0.019,0.0,0.0014,0.0162
HMA-KLS0762-2117712,0.015,0.0008,0.9404,0.0126,0.0146,0.0,0.0022,0.0144
HMA-KLS1016-2117701,0.0196,0.0002,0.9316,0.0158,0.016,0.0,0.002,0.0148
HMA-KLS1017-2117720,0.016,0.0008,0.9412,0.012,0.015,0.0,0.0028,0.0122
HMA-KLS1020-2117696,0.0128,0.001,0.9382,0.0136,0.0152,0.0,0.0038,0.0154
HMA-KLS1379-3593334,0.0178,0.0008,0.9199,0.016,0.0174,0.0,0.0082,0.0198
HMA-KLS1416-3593319,0.0168,0.001,0.9228,0.0208,0.017,0.0,0.0022,0.0194
HMA-KLS1421-3593374,0.019,0.0004,0.9328,0.0122,0.0188,0.0,0.0016,0.0152
HMA-VU46-2117754,0.0092,0.0646,0.9021,0.0048,0.0064,0.0,0.008,0.0048
HMA-KLS0798-2117733,0.0156,0.001,0.9352,0.0156,0.0152,0.0,0.0042,0.0132
HMA-KLS0799-2117731,0.0196,0.0012,0.9322,0.0126,0.0158,0.0002,0.0042,0.0142
HMA-KLS0801-2117727,0.0176,0.0004,0.9262,0.0158,0.019,0.0,0.0024,0.0186
HMA-KLS0808-2117740,0.0088,0.0044,0.9346,0.0114,0.0114,0.0,0.0198,0.0096
HMA-KLS0813-2117730,0.0134,0.002,0.9194,0.0134,0.0162,0.0,0.0188,0.0168
HMA-KLS0898-2117745,0.0146,0.0006,0.9404,0.014,0.0142,0.0004,0.0028,0.013
HMA-KLS0913-2117749,0.0136,0.003,0.9366,0.013,0.012,0.0,0.0082,0.0136
HMA-KLS0933-2117744,0.0158,0.001,0.932,0.013,0.0172,0.0004,0.0054,0.0152
HMA-KLS1514-3593378,0.0094,0.0016,0.9376,0.0096,0.0088,0.0002,0.0248,0.008
HMA-KLS1522-3593369,0.0126,0.001,0.931,0.0142,0.0146,0.0,0.0138,0.0128
HMA-KLS1538-3593349,0.0092,0.001,0.9314,0.0086,0.0082,0.0,0.032,0.0096
HMA-KLS1553-3593325,0.0152,0.0004,0.9401,0.0132,0.0132,0.0,0.0018,0.016
HMA-KLS1554-3593316,0.0184,0.0004,0.9234,0.0182,0.0152,0.0,0.0028,0.0216
HMA-SS170809_02-2117728,0.0122,0.002,0.9454,0.0126,0.0132,0.0,0.0022,0.0124
HMA-SS170812_01-2117751,0.02,0.0008,0.9168,0.0202,0.0212,0.0,0.003,0.018
HMA-SS170814_02-2117746,0.016,0.0008,0.9092,0.0178,0.0192,0.0,0.0198,0.0172
HMA-SS170818_01-2117748,0.032,0.0008,0.8895,0.02,0.0242,0.0,0.0006,0.0328
HMA-SS170820_01-2117747,0.0112,0.0022,0.9416,0.0122,0.0136,0.0004,0.0064,0.0124
HMA-SS171024_01-2117723,0.0156,0.0006,0.9356,0.0144,0.0132,0.0,0.0048,0.0158
HMA-VU55-2117702,0.0138,0.0016,0.9344,0.0136,0.0148,0.0,0.0048,0.017
HMA-VU61-2117705,0.012,0.001,0.9464,0.012,0.0128,0.0,0.002,0.0138
HMA-KLS1692-4013432,0.0036,0.0008,0.926,0.0044,0.0048,0.0528,0.0026,0.005
HMA-KLS1694-4013434,0.0044,0.0012,0.9396,0.0038,0.0044,0.0408,0.0014,0.0044
HMA-KLS1697-4013437,0.0014,0.0006,0.9186,0.0014,0.0012,0.0744,0.001,0.0014
HMA-KLS1699-4013439,0.0026,0.0004,0.9308,0.0028,0.003,0.0566,0.001,0.0028
HMA-KLS1703-4013443,0.0018,0.0008,0.912,0.0018,0.0016,0.0798,0.0004,0.0018
HMA-KLS1705-4013445,0.0046,0.0006,0.9216,0.0038,0.0036,0.0604,0.001,0.0044
HMA-R154981-2117752,0.0,0.0,0.9292,0.0,0.0,0.0708,0.0,0.0
HMA-WAM-R154978-2562207,0.0156,0.015,0.9088,0.015,0.0172,0.0108,0.0014,0.0162
HMA-WAM-R154980-2562264,0.0174,0.0026,0.8989,0.02,0.0224,0.0178,0.0008,0.02
HMA-WAM-R154981-2562169,0.0,0.0,0.9031,0.0,0.0,0.0969,0.0,0.0
HMA-WAMR154978-2117736,0.001,0.2241,0.7707,0.001,0.0012,0.0002,0.0008,0.001
HMA-KLS1711-4013451,0.0034,0.0008,0.9357,0.0034,0.0044,0.0475,0.0012,0.0036
