,0,1,2,3,4,5,6,7,8
HMA-KLS0629-2117699,0.0098,0.0,0.9411,0.0114,0.0114,0.0054,0.0004,0.0102,0.0102
HMA-KLS0630-2117717,0.0112,0.0008,0.936,0.0108,0.0124,0.0054,0.0008,0.0122,0.0104
HMA-KLS0631-2117697,0.0116,0.0,0.9292,0.0122,0.0152,0.0046,0.0008,0.0158,0.0106
HMA-KLS0633-2117719,0.0104,0.0,0.9315,0.0112,0.012,0.007,0.0008,0.0126,0.0144
HMA-KLS0647-2117698,0.0094,0.0,0.9422,0.0102,0.0092,0.0054,0.001,0.011,0.0116
HMA-KLS0652-2117715,0.0138,0.0,0.9216,0.0134,0.0154,0.0062,0.0012,0.0128,0.0156
HMA-KLS0662-2117700,0.011,0.0,0.9304,0.0142,0.013,0.0058,0.0006,0.0116,0.0134
HMA-KLS0676-2117735,0.0126,0.0,0.9278,0.014,0.0154,0.0062,0.0004,0.0112,0.0124
HMA-KLS0762-2117712,0.0104,0.0,0.9378,0.012,0.0108,0.0056,0.0012,0.0104,0.0118
HMA-KLS1016-2117701,0.0102,0.0,0.93,0.0142,0.0118,0.0042,0.001,0.0158,0.0128
HMA-KLS1017-2117720,0.011,0.0,0.9332,0.0128,0.0112,0.0072,0.0006,0.0114,0.0126
HMA-KLS1020-2117696,0.0102,0.0,0.9356,0.0102,0.0118,0.0066,0.0008,0.014,0.0108
HMA-KLS1379-3593334,0.0144,0.0,0.9134,0.016,0.0174,0.0074,0.0018,0.0158,0.0138
HMA-KLS1416-3593319,0.014,0.0,0.9222,0.0138,0.0146,0.008,0.001,0.0146,0.0118
HMA-KLS1421-3593374,0.0108,0.0,0.9308,0.0124,0.0158,0.0052,0.0006,0.0122,0.0122
HMA-VU46-2117754,0.0092,0.0,0.8911,0.0068,0.0068,0.0297,0.0432,0.0034,0.0098
HMA-KLS0798-2117733,0.0108,0.0,0.9344,0.0118,0.0124,0.0064,0.0014,0.0118,0.011
HMA-KLS0799-2117731,0.0118,0.0,0.9274,0.0142,0.0164,0.0068,0.0012,0.011,0.0112
HMA-KLS0801-2117727,0.011,0.0,0.9234,0.016,0.0118,0.0068,0.001,0.0134,0.0166
HMA-KLS0808-2117740,0.0096,0.0,0.9304,0.0082,0.0094,0.0218,0.0022,0.0102,0.0082
HMA-KLS0813-2117730,0.0126,0.0,0.9208,0.0136,0.014,0.0094,0.0022,0.012,0.0154
HMA-KLS0898-2117745,0.0106,0.0004,0.9376,0.0092,0.012,0.0066,0.0006,0.013,0.01
HMA-KLS0913-2117749,0.0084,0.0,0.9376,0.0104,0.012,0.0078,0.0016,0.0114,0.0108
HMA-KLS0933-2117744,0.0096,0.0002,0.934,0.0112,0.0128,0.006,0.0008,0.0134,0.012
HMA-KLS1514-3593378,0.0106,0.0002,0.9302,0.0134,0.0126,0.0066,0.0032,0.0116,0.0116
HMA-KLS1522-3593369,0.0108,0.0,0.9256,0.0104,0.014,0.0162,0.0012,0.0134,0.0084
HMA-KLS1538-3593349,0.0098,0.0,0.925,0.0102,0.0108,0.0212,0.0016,0.0116,0.0098
HMA-KLS1553-3593325,0.0112,0.0,0.9358,0.0124,0.014,0.0058,0.0004,0.011,0.0094
HMA-KLS1554-3593316,0.0128,0.0,0.9218,0.0136,0.0142,0.0066,0.0004,0.0164,0.0142
HMA-SS170809_02-2117728,0.0096,0.0,0.9426,0.0102,0.0104,0.005,0.0014,0.01,0.0108
HMA-SS170812_01-2117751,0.0166,0.0,0.9138,0.015,0.0152,0.0078,0.0004,0.0134,0.0178
HMA-SS170814_02-2117746,0.016,0.0,0.9062,0.0142,0.02,0.008,0.0018,0.0156,0.0182
HMA-SS170818_01-2117748,0.0118,0.0,0.8826,0.0232,0.0272,0.0086,0.0004,0.0258,0.0204
HMA-SS170820_01-2117747,0.009,0.0006,0.9408,0.0104,0.0102,0.0066,0.0014,0.0098,0.0112
HMA-SS171024_01-2117723,0.0114,0.0,0.9312,0.0116,0.0138,0.0062,0.0004,0.0148,0.0106
HMA-VU55-2117702,0.0114,0.0,0.9362,0.0112,0.0114,0.007,0.0014,0.0096,0.0118
HMA-VU61-2117705,0.0094,0.0,0.9448,0.0092,0.0098,0.0054,0.0012,0.01,0.0102
HMA-KLS1692-4013432,0.0038,0.0556,0.9202,0.0038,0.0044,0.0024,0.002,0.004,0.0038
HMA-KLS1694-4013434,0.002,0.0562,0.928,0.003,0.0028,0.0016,0.0012,0.0024,0.0028
HMA-KLS1697-4013437,0.0016,0.0794,0.9106,0.0016,0.0018,0.001,0.001,0.0014,0.0016
HMA-KLS1699-4013439,0.0024,0.0655,0.9207,0.002,0.0026,0.0018,0.0006,0.0024,0.002
HMA-KLS1703-4013443,0.0012,0.0868,0.9046,0.0016,0.0014,0.001,0.001,0.0012,0.0012
HMA-KLS1705-4013445,0.0024,0.0642,0.9207,0.0028,0.003,0.0012,0.0006,0.0022,0.003
HMA-R154981-2117752,0.0,0.0765,0.9235,0.0,0.0,0.0,0.0,0.0,0.0
HMA-WAM-R154978-2562207,0.0072,0.0056,0.9069,0.009,0.0138,0.005,0.0324,0.0094,0.0106
HMA-WAM-R154980-2562264,0.0198,0.0096,0.8958,0.0154,0.0164,0.007,0.0018,0.0188,0.0154
HMA-WAM-R154981-2562169,0.0,0.1002,0.8998,0.0,0.0,0.0,0.0,0.0,0.0
HMA-WAMR154978-2117736,0.001,0.0,0.7239,0.001,0.001,0.0114,0.2597,0.001,0.001
HMA-KLS1711-4013451,0.006,0.0376,0.9264,0.006,0.007,0.003,0.0008,0.0068,0.0064
