,0,1,2,3,4,5,6,7,8,9
HMA-KLS0629-2117699,0.0031,0.0086,0.0049,0.0035,0.0023,0.0384,0.008,0.9248,0.001,0.0053
HMA-KLS0630-2117717,0.026,0.0018,0.0046,0.02,0.0023,0.0158,0.1554,0.7683,0.0041,0.0017
HMA-KLS0631-2117697,0.0025,0.0009,0.005,0.0029,0.0016,0.0949,0.0299,0.8551,0.0045,0.0027
HMA-KLS0633-2117719,0.002,0.0009,0.0121,0.0012,0.0011,0.0818,0.0087,0.8824,0.0088,0.001
HMA-KLS0647-2117698,0.0043,0.0012,0.0067,0.0045,0.0032,0.0456,0.0118,0.92,0.0017,0.001
HMA-KLS0652-2117715,0.0738,0.0011,0.0077,0.0038,0.005,0.1593,0.0124,0.7248,0.0111,0.001
HMA-KLS0662-2117700,0.0071,0.0023,0.004,0.0032,0.0014,0.1069,0.0547,0.8125,0.0069,0.001
HMA-KLS0676-2117735,0.0351,0.0009,0.0025,0.003,0.0023,0.0285,0.1901,0.7352,0.0011,0.0013
HMA-KLS0762-2117712,0.0062,0.0019,0.004,0.0015,0.0019,0.0544,0.1028,0.8198,0.005,0.0025
HMA-KLS1016-2117701,0.0019,0.0017,0.0038,0.007,0.0012,0.1055,0.0052,0.8714,0.0013,0.001
HMA-KLS1017-2117720,0.0027,0.0011,0.003,0.0014,0.0023,0.0334,0.006,0.9475,0.001,0.0016
HMA-KLS1020-2117696,0.0158,0.0007,0.001,0.0062,0.0008,0.0026,0.003,0.9657,0.0021,0.0021
HMA-KLS1379-3593334,0.0043,0.001,0.0083,0.005,0.0025,0.0307,0.0177,0.9244,0.0026,0.0035
HMA-KLS1416-3593319,0.0141,0.001,0.0019,0.0042,0.0015,0.0596,0.0109,0.9044,0.0013,0.0011
HMA-KLS1421-3593374,0.021,0.001,0.0016,0.0032,0.0019,0.0043,0.0259,0.9381,0.002,0.001
HMA-KLS0798-2117733,0.0071,0.0017,0.0017,0.0012,0.0017,0.0153,0.0022,0.9623,0.0048,0.002
HMA-KLS0799-2117731,0.0182,0.001,0.0018,0.0019,0.0012,0.0063,0.0026,0.9651,0.0013,0.0006
HMA-KLS0801-2117727,0.0061,0.0018,0.0022,0.0031,0.0022,0.0041,0.006,0.9726,0.0009,0.001
HMA-KLS0808-2117740,0.0074,0.0011,0.0013,0.0027,0.0009,0.0018,0.0051,0.9768,0.0017,0.0012
HMA-KLS0813-2117730,0.0294,0.0016,0.004,0.0299,0.0015,0.0026,0.0018,0.9271,0.0009,0.0012
HMA-KLS0898-2117745,0.0453,0.013,0.0165,0.0101,0.0018,0.0324,0.0059,0.8658,0.006,0.0032
HMA-KLS0913-2117749,0.0009,0.0029,0.0034,0.003,0.0014,0.0086,0.0029,0.9739,0.002,0.001
HMA-KLS0933-2117744,0.0083,0.001,0.0017,0.0034,0.0057,0.0026,0.0466,0.9254,0.0017,0.0036
HMA-Dm001-3991498,0.0023,0.0012,0.0036,0.0013,0.0018,0.7947,0.0294,0.1061,0.0253,0.0343
HMA-Dm004-3991499,0.0013,0.0011,0.0093,0.001,0.0018,0.969,0.0039,0.0066,0.0036,0.0024
HMA-Dm005-3991500,0.0026,0.001,0.0092,0.0044,0.0025,0.8703,0.0309,0.0581,0.0102,0.0108
HMA-Dm007-3991501,0.0019,0.001,0.0119,0.0009,0.0013,0.9648,0.0014,0.0032,0.002,0.0116
HMA-Dm008-3991502,0.0012,0.0028,0.0032,0.0009,0.0068,0.9719,0.0017,0.007,0.0015,0.003
HMA-Dm010-3991503,0.0014,0.001,0.0045,0.0013,0.0018,0.9719,0.0058,0.0034,0.0069,0.002
HMA-Dm011-3991504,0.002,0.0013,0.0014,0.001,0.0018,0.9593,0.0056,0.0219,0.004,0.0017
HMA-Dm014-3991505,0.0012,0.001,0.0071,0.0014,0.0061,0.9675,0.0038,0.0056,0.0011,0.0052
HMA-Dm015-3991506,0.0003,0.0004,0.0431,0.0002,0.0009,0.001,0.0007,0.0009,0.9515,0.001
HMA-Dm018-3991507,0.0039,0.0012,0.0046,0.0069,0.0013,0.9608,0.0026,0.0141,0.0034,0.0012
