,0,1
HMA-KLS0629-2117699,0.989,0.011
HMA-KLS0630-2117717,0.9968,0.0032
HMA-KLS0631-2117697,0.9972,0.0028
HMA-KLS0633-2117719,0.9981,0.0019
HMA-KLS0647-2117698,0.9975,0.0025
HMA-KLS0652-2117715,0.9972,0.0028
HMA-KLS0662-2117700,0.9984,0.0016
HMA-KLS0676-2117735,0.9966,0.0034
HMA-KLS0762-2117712,0.9958,0.0042
HMA-KLS1016-2117701,0.9979,0.0021
HMA-KLS1017-2117720,0.997,0.003
HMA-KLS1020-2117696,0.9962,0.0038
HMA-KLS1379-3593334,0.9903,0.0097
HMA-KLS1416-3593319,0.9972,0.0028
HMA-KLS1421-3593374,0.9981,0.0019
HMA-KLS0798-2117733,0.9961,0.0039
HMA-KLS0799-2117731,0.9989,0.0011
HMA-KLS0801-2117727,0.998,0.002
HMA-KLS0808-2117740,0.9974,0.0026
HMA-KLS0813-2117730,0.9966,0.0034
HMA-KLS0898-2117745,0.9935,0.0065
HMA-KLS0913-2117749,0.9977,0.0023
HMA-KLS0933-2117744,0.993,0.007
HMA-Dm001-3991498,0.8953,0.1047
HMA-Dm004-3991499,0.9872,0.0128
HMA-Dm005-3991500,0.9313,0.0687
HMA-Dm007-3991501,0.9521,0.0479
HMA-Dm008-3991502,0.9647,0.0353
HMA-Dm010-3991503,0.9873,0.0127
HMA-Dm011-3991504,0.9761,0.0239
HMA-Dm014-3991505,0.9443,0.0557
HMA-Dm015-3991506,0.9792,0.0208
HMA-Dm018-3991507,0.9822,0.0178
HMA-Dm028-3991509,0.9969,0.0031
HMA-Dm029-4019824,0.9944,0.0056
HMA-Dm032-4019825,0.9133,0.0867
HMA-Dm045_was_He078-4019826,0.9775,0.0225
HMA-J84471-2117859,0.9951,0.0049
HMA-MAGNT-R36643-2117742,0.9797,0.0203
HMA-R29873-2117819,0.996,0.004
HMA-R29875-2117836,0.9608,0.0392
HMA-R36496-2117767,0.9546,0.0454
HMA-R36640-2117798,0.9398,0.0602
HMA-R36656-2117844,0.9095,0.0905
HMA-R36660-2117840,0.9935,0.0065
HMA-R36982-2117760,0.987,0.013
HMA-R37004-2117761,0.9575,0.0425
HMA-R37005-2117762,0.9811,0.0189
HMA-R37023-2117763,0.9932,0.0068
HMA-R37031-2117764,0.9379,0.0621
HMA-R37037-2117765,0.9381,0.0619
HMA-R37138-2117766,0.9867,0.0133
HMA-NC_166-2117725,0.0013,0.9987
HMA-NC_167-2117726,0.012,0.988
HMA-NC_169-2117729,0.0011,0.9989
HMA-NC_173-2117703,0.004,0.996
HMA-NC_174-2117743,0.0023,0.9977
HMA-NC_176-2117714,0.0017,0.9983
HMA-NC_179-2117695,0.0043,0.9957
HMA-NC_180-2117713,0.0341,0.9659
HMA-NC_181-2117711,0.0014,0.9986
HMA-NC_189-2117710,0.0425,0.9575
HMA-KLS1514-3593378,0.9958,0.0042
HMA-KLS1522-3593369,0.9948,0.0052
HMA-KLS1538-3593349,0.9978,0.0022
HMA-KLS1553-3593325,0.9977,0.0023
HMA-KLS1554-3593316,0.9976,0.0024
HMA-SS170809_02-2117728,0.9978,0.0022
HMA-SS170820_01-2117747,0.9978,0.0022
HMA-SS171024_01-2117723,0.9936,0.0064
HMA-VU55-2117702,0.9967,0.0033
HMA-VU61-2117705,0.9821,0.0179
HMA-KLS1692-4013432,0.9969,0.0031
HMA-KLS1694-4013434,0.9968,0.0032
HMA-KLS1697-4013437,0.9978,0.0022
HMA-KLS1699-4013439,0.997,0.003
HMA-KLS1703-4013443,0.9967,0.0033
HMA-KLS1705-4013445,0.9981,0.0019
HMA-KLS1711-4013451,0.9985,0.0015
HMA-R154981-2117752,0.9978,0.0022
HMA-WAM-R154978-2562207,0.9981,0.0019
HMA-WAM-R154981-2562169,0.9976,0.0024
HMA-WAMR154978-2117736,0.9956,0.0044
HMA-J87200-2117846,0.6067,0.3933
HMA-J87202-2117845,0.5939,0.4061
HMA-J88474-2117828,0.6816,0.3184
HMA-J89073-2117861,0.6542,0.3458
