,0,1,2
HMA-KLS0629-2117699,0.5352,0.4451,0.0197
HMA-KLS0630-2117717,0.5171,0.475,0.0079
HMA-KLS0631-2117697,0.4816,0.5073,0.0111
HMA-KLS0633-2117719,0.3603,0.6356,0.0041
HMA-KLS0647-2117698,0.5088,0.4853,0.0059
HMA-KLS0652-2117715,0.5173,0.4767,0.006
HMA-KLS0662-2117700,0.4951,0.5005,0.0044
HMA-KLS0676-2117735,0.6048,0.387,0.0082
HMA-KLS0762-2117712,0.4635,0.5277,0.0088
HMA-KLS1016-2117701,0.4538,0.5412,0.005
HMA-KLS1017-2117720,0.4776,0.5157,0.0067
HMA-KLS1020-2117696,0.725,0.2654,0.0096
HMA-KLS1379-3593334,0.4842,0.5032,0.0126
HMA-KLS1416-3593319,0.6154,0.3777,0.0069
HMA-KLS1421-3593374,0.6384,0.3568,0.0048
HMA-KLS0798-2117733,0.5046,0.4851,0.0103
HMA-KLS0799-2117731,0.6597,0.3375,0.0028
HMA-KLS0801-2117727,0.6646,0.3304,0.005
HMA-KLS0808-2117740,0.7211,0.272,0.0069
HMA-KLS0813-2117730,0.7597,0.2286,0.0117
HMA-KLS0898-2117745,0.4903,0.4968,0.0129
HMA-KLS0913-2117749,0.4457,0.5491,0.0052
HMA-KLS0933-2117744,0.6076,0.3761,0.0163
HMA-Dm001-3991498,0.0805,0.7883,0.1312
HMA-Dm004-3991499,0.0218,0.9591,0.0191
HMA-Dm005-3991500,0.0826,0.8275,0.0899
HMA-Dm007-3991501,0.0167,0.9121,0.0712
HMA-Dm008-3991502,0.0188,0.9439,0.0373
HMA-Dm010-3991503,0.0288,0.9475,0.0237
HMA-Dm011-3991504,0.0452,0.9343,0.0205
HMA-Dm014-3991505,0.0234,0.9128,0.0638
HMA-Dm015-3991506,0.0051,0.9797,0.0152
HMA-Dm018-3991507,0.103,0.8831,0.0139
HMA-Dm028-3991509,0.0047,0.9914,0.0039
HMA-Dm029-4019824,0.007,0.9864,0.0066
HMA-Dm032-4019825,0.0096,0.9458,0.0446
HMA-Dm045_was_He078-4019826,0.0048,0.9797,0.0155
HMA-J84471-2117859,0.1411,0.851,0.0079
HMA-MAGNT-R36643-2117742,0.0413,0.9433,0.0154
HMA-R29873-2117819,0.008,0.9866,0.0054
HMA-R29875-2117836,0.0186,0.9357,0.0457
HMA-R36496-2117767,0.0069,0.9549,0.0382
HMA-R36640-2117798,0.0206,0.9194,0.06
HMA-R36656-2117844,0.0201,0.8806,0.0993
HMA-R36660-2117840,0.0746,0.9141,0.0113
HMA-R36982-2117760,0.0255,0.9637,0.0108
HMA-R37004-2117761,0.0196,0.9352,0.0452
HMA-R37005-2117762,0.0182,0.9672,0.0146
HMA-R37023-2117763,0.0422,0.9425,0.0153
HMA-R37031-2117764,0.0911,0.8649,0.044
HMA-R37037-2117765,0.0146,0.9294,0.056
HMA-R37138-2117766,0.0552,0.9153,0.0295
HMA-NC_166-2117725,0.0025,0.0035,0.994
HMA-NC_167-2117726,0.0055,0.0274,0.9671
HMA-NC_169-2117729,0.002,0.0024,0.9956
HMA-NC_173-2117703,0.0047,0.009,0.9863
HMA-NC_174-2117743,0.0025,0.0061,0.9914
HMA-NC_176-2117714,0.0028,0.0038,0.9934
HMA-NC_179-2117695,0.0038,0.0139,0.9823
HMA-NC_180-2117713,0.011,0.0362,0.9528
HMA-NC_181-2117711,0.0034,0.0033,0.9933
HMA-NC_189-2117710,0.0057,0.0518,0.9425
HMA-KLS1514-3593378,0.6319,0.3587,0.0094
HMA-KLS1522-3593369,0.5246,0.4637,0.0117
HMA-KLS1538-3593349,0.573,0.422,0.005
HMA-KLS1553-3593325,0.6894,0.3053,0.0053
HMA-KLS1554-3593316,0.6601,0.3332,0.0067
HMA-SS170809_02-2117728,0.6084,0.3865,0.0051
HMA-SS170820_01-2117747,0.5865,0.4079,0.0056
HMA-SS171024_01-2117723,0.5729,0.4118,0.0153
HMA-VU55-2117702,0.6053,0.3866,0.0081
HMA-VU61-2117705,0.3559,0.6168,0.0273
HMA-KLS1692-4013432,0.9773,0.0144,0.0083
HMA-KLS1694-4013434,0.9301,0.0621,0.0078
HMA-KLS1697-4013437,0.9831,0.0107,0.0062
HMA-KLS1699-4013439,0.9476,0.0421,0.0103
HMA-KLS1703-4013443,0.9644,0.0272,0.0084
HMA-KLS1705-4013445,0.9894,0.0063,0.0043
HMA-KLS1711-4013451,0.9843,0.012,0.0037
HMA-R154981-2117752,0.9929,0.0031,0.004
HMA-WAM-R154978-2562207,0.9847,0.0117,0.0036
HMA-WAM-R154981-2562169,0.9929,0.003,0.0041
HMA-WAMR154978-2117736,0.9825,0.0083,0.0092
HMA-J87200-2117846,0.0079,0.6643,0.3278
HMA-J87202-2117845,0.0039,0.6627,0.3334
HMA-J88474-2117828,0.011,0.7192,0.2698
HMA-J89073-2117861,0.0057,0.8538,0.1405
