,0,1,2,3
HMA-KLS0629-2117699,0.3051,0.0148,0.6599,0.0203
HMA-KLS0630-2117717,0.2931,0.0047,0.6565,0.0457
HMA-KLS0631-2117697,0.3728,0.0069,0.5992,0.0211
HMA-KLS0633-2117719,0.4939,0.0023,0.4793,0.0245
HMA-KLS0647-2117698,0.4073,0.0032,0.5741,0.0154
HMA-KLS0652-2117715,0.4011,0.0032,0.5503,0.0454
HMA-KLS0662-2117700,0.366,0.0022,0.6141,0.0177
HMA-KLS0676-2117735,0.2547,0.0044,0.7161,0.0248
HMA-KLS0762-2117712,0.4004,0.0059,0.5772,0.0165
HMA-KLS1016-2117701,0.4067,0.0025,0.5694,0.0214
HMA-KLS1017-2117720,0.3607,0.0041,0.6183,0.0169
HMA-KLS1020-2117696,0.1686,0.0048,0.8115,0.0151
HMA-KLS1379-3593334,0.4038,0.0084,0.5625,0.0253
HMA-KLS1416-3593319,0.2565,0.0039,0.7221,0.0175
HMA-KLS1421-3593374,0.2218,0.0026,0.7583,0.0173
HMA-KLS0798-2117733,0.307,0.0052,0.6735,0.0144
HMA-KLS0799-2117731,0.2141,0.0016,0.7669,0.0174
HMA-KLS0801-2117727,0.2117,0.003,0.7718,0.0135
HMA-KLS0808-2117740,0.1678,0.0039,0.8122,0.0161
HMA-KLS0813-2117730,0.12,0.006,0.8197,0.0543
HMA-KLS0898-2117745,0.3789,0.0086,0.5846,0.0279
HMA-KLS0913-2117749,0.3422,0.0032,0.6365,0.0181
HMA-KLS0933-2117744,0.2179,0.0126,0.7439,0.0255
HMA-Dm001-3991498,0.8219,0.0854,0.0725,0.0202
HMA-Dm004-3991499,0.9612,0.0076,0.0156,0.0156
HMA-Dm005-3991500,0.8668,0.0431,0.0661,0.0241
HMA-Dm007-3991501,0.9285,0.0488,0.0101,0.0126
HMA-Dm008-3991502,0.9514,0.0148,0.0113,0.0225
HMA-Dm010-3991503,0.9486,0.0102,0.0165,0.0247
HMA-Dm011-3991504,0.9055,0.0135,0.0601,0.0209
HMA-Dm014-3991505,0.9309,0.0309,0.0185,0.0197
HMA-Dm015-3991506,0.761,0.0061,0.0036,0.2293
HMA-Dm018-3991507,0.9088,0.0057,0.0556,0.0299
HMA-Dm028-3991509,0.7273,0.0033,0.0042,0.2652
HMA-Dm029-4019824,0.9723,0.0035,0.0048,0.0194
HMA-Dm032-4019825,0.9271,0.0343,0.0082,0.0304
HMA-Dm045_was_He078-4019826,0.7612,0.0068,0.0031,0.2289
HMA-J84471-2117859,0.8965,0.0046,0.055,0.0439
HMA-MAGNT-R36643-2117742,0.95,0.0091,0.0163,0.0246
HMA-R29873-2117819,0.9672,0.0026,0.0052,0.025
HMA-R29875-2117836,0.9496,0.0169,0.0107,0.0228
HMA-R36496-2117767,0.9546,0.0217,0.0054,0.0183
HMA-R36640-2117798,0.9278,0.0356,0.0191,0.0175
HMA-R36656-2117844,0.9215,0.0444,0.0152,0.0189
HMA-R36660-2117840,0.8956,0.0056,0.0686,0.0302
HMA-R36982-2117760,0.9585,0.0045,0.017,0.02
HMA-R37004-2117761,0.9435,0.021,0.0115,0.024
HMA-R37005-2117762,0.9612,0.006,0.0117,0.0211
