,0,1,2,3,4
HMA-KLS0629-2117699,0.8082,0.1694,0.003,0.0122,0.0072
HMA-KLS0630-2117717,0.8525,0.1042,0.012,0.0026,0.0287
HMA-KLS0631-2117697,0.7588,0.2287,0.0055,0.003,0.004
HMA-KLS0633-2117719,0.6384,0.3489,0.0088,0.0011,0.0028
HMA-KLS0647-2117698,0.7817,0.2096,0.0024,0.0016,0.0047
HMA-KLS0652-2117715,0.6253,0.2998,0.0291,0.0018,0.044
HMA-KLS0662-2117700,0.7471,0.2211,0.0246,0.0011,0.0061
HMA-KLS0676-2117735,0.8547,0.1382,0.0018,0.002,0.0033
HMA-KLS0762-2117712,0.7679,0.2196,0.0071,0.0027,0.0027
HMA-KLS1016-2117701,0.7038,0.2892,0.002,0.0012,0.0038
HMA-KLS1017-2117720,0.7861,0.2072,0.0024,0.002,0.0023
HMA-KLS1020-2117696,0.9471,0.0416,0.0043,0.0031,0.0039
HMA-KLS1379-3593334,0.7571,0.2257,0.0062,0.0052,0.0058
HMA-KLS1416-3593319,0.8321,0.1603,0.0021,0.0017,0.0038
HMA-KLS1421-3593374,0.914,0.0763,0.0036,0.0011,0.005
HMA-KLS0798-2117733,0.8726,0.116,0.0059,0.0033,0.0022
HMA-KLS0799-2117731,0.9263,0.0681,0.0019,0.001,0.0027
HMA-KLS0801-2117727,0.9271,0.063,0.0026,0.0014,0.0059
HMA-KLS0808-2117740,0.9566,0.0355,0.0038,0.0019,0.0022
HMA-KLS0813-2117730,0.9268,0.0247,0.0014,0.0023,0.0448
HMA-KLS0898-2117745,0.7723,0.1961,0.0155,0.0056,0.0105
HMA-KLS0913-2117749,0.8524,0.1405,0.0031,0.0015,0.0025
HMA-KLS0933-2117744,0.9259,0.059,0.0065,0.0053,0.0033
HMA-Dm001-3991498,0.0976,0.8148,0.0272,0.0579,0.0025
HMA-Dm004-3991499,0.0072,0.9834,0.0045,0.0032,0.0017
HMA-Dm005-3991500,0.0738,0.8863,0.0198,0.0164,0.0037
HMA-Dm007-3991501,0.0043,0.9752,0.0026,0.0161,0.0018
HMA-Dm008-3991502,0.0047,0.9814,0.004,0.006,0.0039
HMA-Dm010-3991503,0.0058,0.9744,0.0145,0.0029,0.0024
HMA-Dm011-3991504,0.031,0.9529,0.0094,0.0047,0.002
HMA-Dm014-3991505,0.0092,0.9773,0.0029,0.0083,0.0023
HMA-Dm015-3991506,0.0012,0.2038,0.7926,0.0015,0.0009
HMA-Dm018-3991507,0.0347,0.946,0.0043,0.0019,0.0131
HMA-Dm028-3991509,0.0032,0.3095,0.3543,0.0017,0.3312
HMA-Dm029-4019824,0.002,0.8929,0.0035,0.0012,0.1004
HMA-Dm032-4019825,0.0056,0.9428,0.0214,0.0261,0.0041
HMA-Dm045_was_He078-4019826,0.0012,0.2038,0.7923,0.0017,0.001
HMA-J84471-2117859,0.0158,0.7194,0.1018,0.0022,0.1608
