,0,1
HMA-KLS0629-2117699,0.9533,0.0467
HMA-KLS0630-2117717,0.9182,0.0818
HMA-KLS0631-2117697,0.9684,0.0316
HMA-KLS0633-2117719,0.9726,0.0274
HMA-KLS0647-2117698,0.9725,0.0275
HMA-KLS0652-2117715,0.9245,0.0755
HMA-KLS0662-2117700,0.9673,0.0327
HMA-KLS0676-2117735,0.938,0.062
HMA-KLS0762-2117712,0.9707,0.0293
HMA-KLS1016-2117701,0.9507,0.0493
HMA-KLS1017-2117720,0.9713,0.0287
HMA-KLS1020-2117696,0.9662,0.0338
HMA-KLS1379-3593334,0.9335,0.0665
HMA-KLS1416-3593319,0.9565,0.0435
HMA-KLS1421-3593374,0.9522,0.0478
HMA-KLS0798-2117733,0.9811,0.0189
HMA-KLS0799-2117731,0.9666,0.0334
HMA-KLS0801-2117727,0.9582,0.0418
HMA-KLS0808-2117740,0.9756,0.0244
HMA-KLS0813-2117730,0.8697,0.1303
HMA-KLS0898-2117745,0.914,0.086
HMA-KLS0913-2117749,0.9761,0.0239
HMA-KLS0933-2117744,0.9639,0.0361
HMA-KLS1514-3593378,0.9609,0.0391
HMA-KLS1522-3593369,0.9749,0.0251
HMA-KLS1538-3593349,0.9717,0.0283
HMA-KLS1553-3593325,0.9582,0.0418
HMA-KLS1554-3593316,0.9689,0.0311
HMA-SS170809_02-2117728,0.9685,0.0315
HMA-SS170820_01-2117747,0.9442,0.0558
HMA-SS171024_01-2117723,0.9725,0.0275
HMA-VU55-2117702,0.9684,0.0316
HMA-VU61-2117705,0.98,0.02
HMA-KLS1692-4013432,0.7057,0.2943
HMA-KLS1694-4013434,0.7193,0.2807
HMA-KLS1697-4013437,0.5842,0.4158
HMA-KLS1699-4013439,0.6593,0.3407
HMA-KLS1703-4013443,0.5732,0.4268
HMA-KLS1705-4013445,0.6152,0.3848
HMA-KLS1711-4013451,0.7406,0.2594
HMA-R154981-2117752,0.0971,0.9029
HMA-WAM-R154978-2562207,0.5757,0.4243
HMA-WAM-R154981-2562169,0.0959,0.9041
HMA-WAMR154978-2117736,0.101,0.899
