,0,1,2
HMA-KLS0629-2117699,0.1466,0.8481,0.0053
HMA-KLS0630-2117717,0.1206,0.8732,0.0062
HMA-KLS0631-2117697,0.1446,0.8529,0.0025
HMA-KLS0633-2117719,0.1451,0.8521,0.0028
HMA-KLS0647-2117698,0.106,0.8899,0.0041
HMA-KLS0652-2117715,0.0998,0.8883,0.0119
HMA-KLS0662-2117700,0.1416,0.8554,0.003
HMA-KLS0676-2117735,0.1483,0.8473,0.0044
HMA-KLS0762-2117712,0.1406,0.856,0.0035
HMA-KLS1016-2117701,0.1513,0.8439,0.0048
HMA-KLS1017-2117720,0.136,0.8612,0.0028
HMA-KLS1020-2117696,0.1307,0.866,0.0033
HMA-KLS1379-3593334,0.1603,0.8329,0.0068
HMA-KLS1416-3593319,0.1356,0.8606,0.0038
HMA-KLS1421-3593374,0.1276,0.8646,0.0078
HMA-KLS0798-2117733,0.1239,0.874,0.0021
HMA-KLS0799-2117731,0.1527,0.8427,0.0046
HMA-KLS0801-2117727,0.1045,0.8922,0.0033
HMA-KLS0808-2117740,0.1295,0.8674,0.0031
HMA-KLS0813-2117730,0.1279,0.8614,0.0107
HMA-KLS0898-2117745,0.1084,0.8698,0.0218
HMA-KLS0913-2117749,0.1219,0.8754,0.0027
HMA-KLS0933-2117744,0.1484,0.8474,0.0042
HMA-KLS1514-3593378,0.1634,0.833,0.0036
HMA-KLS1522-3593369,0.1412,0.8556,0.0032
HMA-KLS1538-3593349,0.1454,0.8509,0.0037
HMA-KLS1553-3593325,0.1111,0.8818,0.0071
HMA-KLS1554-3593316,0.1309,0.8657,0.0034
HMA-SS170809_02-2117728,0.1102,0.8866,0.0032
HMA-SS170820_01-2117747,0.1228,0.8661,0.0111
HMA-SS171024_01-2117723,0.1552,0.8415,0.0033
HMA-VU55-2117702,0.1163,0.8788,0.0049
HMA-VU61-2117705,0.12,0.8777,0.0023
HMA-KLS1692-4013432,0.0976,0.8277,0.0747
HMA-KLS1694-4013434,0.1062,0.8392,0.0546
HMA-KLS1697-4013437,0.0731,0.8074,0.1195
HMA-KLS1699-4013439,0.0743,0.8323,0.0934
HMA-KLS1703-4013443,0.0594,0.7751,0.1655
HMA-KLS1705-4013445,0.0834,0.798,0.1185
HMA-KLS1711-4013451,0.1102,0.8324,0.0574
HMA-R154981-2117752,0.001,0.725,0.274
HMA-WAM-R154978-2562207,0.0587,0.7724,0.1688
HMA-WAM-R154981-2562169,0.001,0.7236,0.2754
HMA-WAMR154978-2117736,0.1019,0.6552,0.2429
