,0,1,2,3
HMA-KLS0629-2117699,0.0417,0.3766,0.0033,0.5784
HMA-KLS0630-2117717,0.0407,0.2669,0.0055,0.6869
HMA-KLS0631-2117697,0.0414,0.3129,0.0023,0.6434
HMA-KLS0633-2117719,0.0408,0.3137,0.0016,0.6438
HMA-KLS0647-2117698,0.0352,0.1517,0.0029,0.8102
HMA-KLS0652-2117715,0.0547,0.3176,0.0091,0.6186
HMA-KLS0662-2117700,0.0438,0.2439,0.0022,0.7101
HMA-KLS0676-2117735,0.0568,0.3118,0.0022,0.6292
HMA-KLS0762-2117712,0.0435,0.1957,0.0019,0.7589
HMA-KLS1016-2117701,0.0416,0.2408,0.0037,0.7139
HMA-KLS1017-2117720,0.0411,0.2247,0.0018,0.7324
HMA-KLS1020-2117696,0.042,0.1601,0.0029,0.795
HMA-KLS1379-3593334,0.0489,0.4352,0.003,0.5129
HMA-KLS1416-3593319,0.0393,0.3327,0.0034,0.6246
HMA-KLS1421-3593374,0.0441,0.249,0.0029,0.704
HMA-KLS0798-2117733,0.0364,0.1312,0.0012,0.8311
HMA-KLS0799-2117731,0.0482,0.1553,0.0027,0.7938
HMA-KLS0801-2117727,0.0383,0.1622,0.0024,0.7971
HMA-KLS0808-2117740,0.0445,0.1244,0.0024,0.8287
HMA-KLS0813-2117730,0.0762,0.3442,0.0107,0.5689
HMA-KLS0898-2117745,0.0608,0.2304,0.007,0.7018
HMA-KLS0913-2117749,0.036,0.1369,0.0022,0.8249
HMA-KLS0933-2117744,0.0474,0.367,0.003,0.5826
HMA-KLS1514-3593378,0.0474,0.3912,0.0021,0.5593
HMA-KLS1522-3593369,0.0377,0.1235,0.0023,0.8365
HMA-KLS1538-3593349,0.0459,0.242,0.0022,0.7099
HMA-KLS1553-3593325,0.036,0.0956,0.009,0.8594
HMA-KLS1554-3593316,0.0495,0.3064,0.0018,0.6423
HMA-SS170809_02-2117728,0.0331,0.1243,0.0033,0.8393
HMA-SS170820_01-2117747,0.0399,0.1347,0.0052,0.8202
HMA-SS171024_01-2117723,0.046,0.2614,0.0023,0.6903
HMA-VU55-2117702,0.0353,0.0817,0.0034,0.8796
HMA-VU61-2117705,0.0378,0.1102,0.0014,0.8506
HMA-KLS1692-4013432,0.4277,0.0356,0.0353,0.5014
HMA-KLS1694-4013434,0.4211,0.0504,0.0221,0.5064
HMA-KLS1697-4013437,0.391,0.0358,0.083,0.4902
HMA-KLS1699-4013439,0.3823,0.0296,0.0846,0.5035
HMA-KLS1703-4013443,0.4212,0.0201,0.0816,0.4771
HMA-KLS1705-4013445,0.4102,0.0288,0.0705,0.4905
HMA-KLS1711-4013451,0.4248,0.0424,0.0259,0.5069
HMA-R154981-2117752,0.001,0.001,0.5324,0.4656
HMA-WAM-R154978-2562207,0.3904,0.0196,0.1181,0.4719
HMA-WAM-R154981-2562169,0.001,0.0008,0.5347,0.4635
HMA-WAMR154978-2117736,0.3983,0.0022,0.181,0.4185
