,0,1,2,3,4
HMA-KLS0629-2117699,0.0043,0.1859,0.3603,0.0159,0.4336
HMA-KLS0630-2117717,0.0082,0.1422,0.2151,0.019,0.6154
HMA-KLS0631-2117697,0.0029,0.1782,0.2694,0.0173,0.5323
HMA-KLS0633-2117719,0.0027,0.2235,0.2999,0.0166,0.4573
HMA-KLS0647-2117698,0.006,0.1371,0.2425,0.0158,0.5986
HMA-KLS0652-2117715,0.0331,0.2012,0.3348,0.015,0.4159
HMA-KLS0662-2117700,0.0041,0.2784,0.2144,0.016,0.4872
HMA-KLS0676-2117735,0.0218,0.3077,0.2357,0.0163,0.4185
HMA-KLS0762-2117712,0.0072,0.1915,0.1683,0.0155,0.6175
HMA-KLS1016-2117701,0.0027,0.2618,0.2396,0.0171,0.4787
HMA-KLS1017-2117720,0.0028,0.1639,0.2384,0.0164,0.5785
HMA-KLS1020-2117696,0.0064,0.1967,0.198,0.017,0.5819
HMA-KLS1379-3593334,0.0033,0.235,0.3736,0.0211,0.367
HMA-KLS1416-3593319,0.0076,0.2654,0.2894,0.0156,0.422
HMA-KLS1421-3593374,0.0086,0.2498,0.2431,0.0175,0.4809
HMA-KLS0798-2117733,0.0068,0.0683,0.116,0.0138,0.7951
HMA-KLS0799-2117731,0.0092,0.1252,0.1233,0.0174,0.7249
HMA-KLS0801-2117727,0.014,0.1481,0.22,0.0136,0.6043
HMA-KLS0808-2117740,0.0069,0.0507,0.1205,0.0159,0.806
HMA-KLS0813-2117730,0.0526,0.1709,0.3385,0.0298,0.4082
HMA-KLS0898-2117745,0.0366,0.1627,0.3259,0.0175,0.4574
HMA-KLS0913-2117749,0.0018,0.078,0.1619,0.0152,0.743
HMA-KLS0933-2117744,0.0061,0.2687,0.2774,0.0195,0.4282
HMA-KLS1514-3593378,0.0079,0.1871,0.3216,0.0156,0.4679
HMA-KLS1522-3593369,0.003,0.0731,0.1041,0.0152,0.8046
HMA-KLS1538-3593349,0.0037,0.1257,0.2096,0.0168,0.6441
HMA-KLS1553-3593325,0.0039,0.065,0.0953,0.0211,0.8147
HMA-KLS1554-3593316,0.0172,0.149,0.3297,0.0142,0.4899
HMA-SS170809_02-2117728,0.0064,0.1311,0.1923,0.0168,0.6534
HMA-SS170820_01-2117747,0.0088,0.1321,0.1656,0.0194,0.6741
HMA-SS171024_01-2117723,0.0051,0.2948,0.2205,0.0173,0.4622
HMA-VU55-2117702,0.0036,0.0559,0.0811,0.0152,0.8442
HMA-VU61-2117705,0.002,0.0953,0.1918,0.0139,0.697
HMA-KLS1692-4013432,0.5947,0.0239,0.0237,0.0199,0.3378
HMA-KLS1694-4013434,0.564,0.035,0.0318,0.0163,0.3529
HMA-KLS1697-4013437,0.542,0.0202,0.0192,0.0801,0.3385
HMA-KLS1699-4013439,0.5293,0.0216,0.0205,0.0807,0.3479
HMA-KLS1703-4013443,0.6158,0.0128,0.0102,0.0312,0.33
HMA-KLS1705-4013445,0.5745,0.0245,0.0162,0.0487,0.3361
HMA-KLS1711-4013451,0.5675,0.0287,0.0286,0.0299,0.3453
HMA-R154981-2117752,0.0549,0.0009,0.001,0.615,0.3282
HMA-WAM-R154978-2562207,0.5434,0.0461,0.0119,0.0732,0.3255
HMA-WAM-R154981-2562169,0.0561,0.0006,0.0007,0.6151,0.3275
HMA-WAMR154978-2117736,0.4938,0.102,0.0021,0.1012,0.3009
