,0,1
HST-KLS1662-4013403,0.9572,0.0428
HST-KLS1665-4013406,0.9552,0.0448
HST-KLS1666-4013407,0.9534,0.0466
HST-KLS1667-4013408,0.9588,0.0412
HST-KLS1668-4013409,0.9516,0.0484
HST-KLS1669-4013410,0.9518,0.0482
HST-KLS1670-4013411,0.9642,0.0358
HST-KLS1671-4013412,0.9628,0.0372
HST-KLS1673-4013414,0.9538,0.0462
HST-KLS1674-4013415,0.9644,0.0356
HST-KLS1675-4013416,0.9664,0.0336
HST-KLS1676-4013417,0.9534,0.0466
HST-KLS1678-4013419,0.9616,0.0384
HST-KLS1680-4013421,0.9574,0.0426
HST-KLS1681-4013422,0.9554,0.0446
HST-KLS1683-4013424,0.9624,0.0376
HST-KLS1684-4013425,0.969,0.031
HST-KLS1685-4013426,0.9502,0.0498
HST-KLS1686-4013427,0.965,0.035
HST-KLS1688-4013428,0.9476,0.0524
HST-KLS1689-4013429,0.9546,0.0454
HST-KLS1691-4013431,0.9644,0.0356
HST-KLS0490-2892498,0.9596,0.0404
HST-KLS0527-2892409,0.9486,0.0514
HST-KLS0528-2892531,0.963,0.037
HST-KLS0566-2892525,0.9694,0.0306
HST-KLS0573-2892480,0.9542,0.0458
HST-KLS0604-2892450,0.9482,0.0518
HST-KLS0635-2562180,0.9572,0.0428
HST-KLS0636-2562216,0.9406,0.0594
HST-KLS0675-2892455,0.9638,0.0362
HST-KLS0677-2892491,0.9664,0.0336
HST-KLS0678-2892468,0.9594,0.0406
HST-KLS0679-2892438,0.9524,0.0476
HST-KLS0680-2892474,0.9662,0.0338
HST-KLS0681-2892443,0.9548,0.0452
HST-KLS0682-2892504,0.9634,0.0366
HST-KLS0686-2892505,0.9598,0.0402
HST-KLS0687-2892451,0.9666,0.0334
HST-KLS1157-3593388,0.9604,0.0396
HST-KLS1158-3593383,0.9566,0.0434
HST-KLS1159-3593340,0.9562,0.0438
HST-KLS1367-3593339,0.956,0.044
HST-KLS1369-3593347,0.9586,0.0414
HST-KLS1370-3593333,0.9662,0.0338
HST-KLS1371-3593312,0.9582,0.0418
HST-KLS1372-3593318,0.9558,0.0442
HST-KLS1380-3593381,0.9586,0.0414
HST-KLS1384-3593379,0.96,0.04
HST-KLS1385-3593310,0.946,0.054
HST-KLS1412-3593322,0.948,0.052
HST-KLS1414-3593346,0.9554,0.0446
HST-KLS1417-3593370,0.9562,0.0438
HST-KLS1418-3593309,0.959,0.041
HST-KLS1419-3593306,0.9598,0.0402
HST-KLS1420-3593353,0.9586,0.0414
HST-KLS1422-3593399,0.9604,0.0396
HST-KLS1424-3593329,0.971,0.029
HST-KLS1429-3593311,0.963,0.037
HST-VU38-2892414,0.9568,0.0432
HST-KLS0794-2562199,0.9654,0.0346
HST-KLS0795-2892379,0.957,0.043
HST-KLS0804-2892392,0.9626,0.0374
HST-KLS0843-2892452,0.9528,0.0472
HST-KLS0847-2892542,0.8822,0.1178
HST-KLS0858-2892456,0.9514,0.0486
HST-KLS0883-2892509,0.961,0.039
HST-KLS0923-2892400,0.9544,0.0456
HST-KLS0938-2892388,0.967,0.033
HST-KLS0983-2892406,0.9652,0.0348
HST-KLS0986-2892407,0.962,0.038
HST-KLS1273-2892431,0.9748,0.0252
HST-KLS1274-2892410,0.9596,0.0404
HST-VU116-2892391,0.9416,0.0584
HST-KLS0559-2892377,0.9638,0.0362
HST-KLS1173-2892444,0.9604,0.0396
HST-KLS1182-2892449,0.962,0.038
HST-KLS1200-2892434,0.9562,0.0438
HST-KLS1206-3593330,0.966,0.034
HST-KLS1227-2892412,0.9604,0.0396
HST-KLS1515-3593385,0.9642,0.0358
HST-KLS1517-3593355,0.9596,0.0404
HST-KLS1528-3593321,0.957,0.043
HST-KLS1541-3593313,0.9666,0.0334
HST-KLS1544-3593344,0.963,0.037
HST-KLS1556-3593324,0.9666,0.0334
HST-SS170814-01-2562208,0.9314,0.0686
HST-SS170820-02-2892469,0.9648,0.0352
